,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3.1,PPA,CrsPA,PrgP,TotDist.1,PrgDist.1,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
108,Kevin Bonifazi,CB,2023-2024,27,Italy,Bologna,Serie A,7,399,4.4,4,3,16,164,758,356,2,1,0,3,2.0,188,2.0,6,7,46.2,0,0,0,0,0.0,0,0.0,195,227,85.9,1,15,1.0,0,8,3288.0,1249.0,96,101,95.0,85,91,93.4,12,25,48.0,9,3,2,7,0.0,3,5,60.0,2,1.0,0,1,3.0,12,16,1.0
109,Leonardo Bonucci,CB,2023-2024,36,Italy,Union Berlin,Bundesliga,7,460,5.1,6,1,5,161,582,287,0,0,0,2,0.0,176,1.0,5,7,41.7,1,0,1,0,1.0,1,0.0,190,248,76.6,2,17,2.0,1,21,4063.0,1911.0,51,58,87.9,105,118,89.0,31,67,46.3,6,5,2,4,0.0,4,4,100.0,0,5.0,3,2,7.0,13,16,0.0
110,Neto Borges,LWB,2023-2024,26,Brazil,Clermont Foot,Ligue 1,28,2516,28.0,28,0,0,1131,7202,3464,58,45,17,31,11.0,1021,165.0,37,45,45.1,0,1,1,0,0.0,0,0.0,1148,1422,80.7,25,62,17.0,10,88,18050.0,6542.0,570,644,88.5,472,572,82.5,60,126,47.6,48,24,25,18,5.0,28,63,44.4,35,28.0,6,22,57.0,105,84,0.0
111,Sebastiaan Bornauw,CB,2023-2024,24,Belgium,Wolfsburg,Bundesliga,20,1431,15.9,16,4,7,539,2020,807,2,5,0,9,1.0,650,2.0,29,24,54.7,0,0,0,0,0.0,0,0.0,737,842,87.5,3,23,0.0,0,41,13040.0,4770.0,301,323,93.2,382,413,92.5,51,97,52.6,26,12,19,7,0.0,13,19,68.4,6,21.0,12,9,18.0,44,81,0.0
112,Adri Bosch,CB,2023-2024,22,Spain,Granada,La Liga,1,26,0.3,0,1,12,8,86,43,1,0,0,0,0.0,9,1.0,0,1,0.0,0,0,0,0,0.0,0,0.0,11,14,78.6,0,2,0.0,0,1,211.0,61.0,6,7,85.7,2,2,100.0,3,5,60.0,1,1,1,0,0.0,0,0,,0,0.0,0,0,0.0,1,1,0.0
113,Sven Botman,CB,2023-2024,23,Netherlands,Newcastle Utd,Premier League,17,1377,15.3,15,2,0,672,2866,1403,0,4,0,5,2.0,822,5.0,34,17,66.7,2,2,4,2,0.0,0,0.0,921,1017,90.6,5,38,1.0,0,35,17027.0,6760.0,357,382,93.5,459,489,93.9,98,132,74.2,20,13,14,6,0.0,8,13,61.5,5,20.0,16,4,9.0,29,61,3.0
114,Domagoj Bradarić,LWB,2023-2024,23,Croatia,Salernitana,Serie A,34,2749,30.5,30,4,0,925,5175,2622,57,38,8,32,17.0,1046,120.0,23,28,45.1,0,3,3,0,0.0,0,0.0,1184,1536,77.1,36,54,18.0,11,76,18474.0,5884.0,637,707,90.1,421,542,77.7,78,185,42.2,29,20,13,10,6.0,15,25,60.0,10,22.0,7,15,32.0,61,62,1.0
115,Conor Bradley,RB,2023-2024,20,Northern Ireland,Liverpool,Premier League,11,753,8.4,10,1,8,373,2144,1085,35,29,12,17,10.0,388,64.0,11,5,68.8,1,3,4,1,0.0,0,0.0,419,530,79.1,15,27,13.0,3,29,6224.0,1849.0,238,275,86.5,149,190,78.4,20,35,57.1,33,25,14,12,7.0,24,38,63.2,14,17.0,1,16,10.0,43,14,0.0
116,Juan Brandáriz,CB,2023-2024,24,Spain,Almería,La Liga,31,2434,27.0,26,5,6,830,3815,1960,11,10,0,14,4.0,944,4.0,43,31,58.1,0,1,1,0,0.0,0,0.0,1044,1208,86.4,4,44,3.0,1,68,18403.0,6336.0,425,465,91.4,537,565,95.0,70,143,49.0,34,22,22,12,0.0,16,26,61.5,10,38.0,23,15,14.0,48,107,3.0
117,Jarrad Branthwaite,CB,2023-2024,21,England,Everton,Premier League,35,3116,34.6,35,0,2,759,3161,1557,2,5,1,20,2.0,903,6.0,94,43,68.6,3,0,3,3,0.0,0,0.0,1105,1385,79.8,4,60,1.0,0,74,20561.0,8048.0,440,507,86.8,531,612,86.8,115,212,54.2,66,32,42,22,2.0,45,62,72.6,17,51.0,36,15,50.0,116,163,2.0
