,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3.1,PPA,CrsPA,PrgP,TotDist.1,PrgDist.1,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
182,Levi Colwill,CB,2023-2024,20,England,Chelsea,Premier League,23,1797,20.0,20,3,4,1,1,2,1,0,0,0,965.0,1163,83.0,7,82,6.0,0,73,16310,5939,444.0,495,89.7,456,508,89.8,51,117,43.6,766,3602,1985.0,23.0,17,2,22.0,4,873,27.0,43,20,68.3,48,30,26,17,5.0,26,34,76.5,8,28.0,10,18,26.0,74,66,0.0
183,Eray Cömert,CB,2023-2024,25,Switzerland,Nantes,Ligue 1,25,1995,22.2,23,2,3,2,0,2,2,0,0,0,941.0,1064,88.4,4,57,4.0,2,57,18882,6076,298.0,320,93.1,506,534,94.8,118,178,66.3,910,4794,2354.0,7.0,6,0,5.0,1,825,3.0,14,27,34.1,42,28,28,13,1.0,28,38,73.7,10,35.0,18,17,36.0,78,77,1.0
184,Pietro Comuzzo,RB,2023-2024,18,Italy,Fiorentina,Serie A,4,43,0.5,0,4,28,0,0,0,0,0,0,0,27.0,38,71.1,0,1,0.0,0,3,550,154,5.0,11,45.5,21,24,87.5,1,2,50.0,17,85,29.0,0.0,0,0,0.0,0,22,0.0,8,3,72.7,1,1,1,0,0.0,1,1,100.0,0,1.0,0,1,1.0,2,2,0.0
185,Copete,CB,2023-2024,23,Spain,Mallorca,La Liga,19,1333,14.8,17,2,16,1,1,2,1,0,0,0,449.0,584,76.9,4,46,6.0,3,52,8887,3089,155.0,180,86.1,230,268,85.8,57,117,48.7,365,1884,1081.0,3.0,5,0,11.0,3,412,2.0,20,16,55.6,45,27,27,17,1.0,30,43,69.8,13,12.0,6,6,32.0,77,47,1.0
186,Diego Coppola,CB,2023-2024,19,Italy,Hellas Verona,Serie A,24,1634,18.2,18,6,13,2,0,2,2,0,0,0,555.0,718,77.3,4,33,0.0,0,40,11563,4450,151.0,189,79.9,324,369,87.8,78,142,54.9,437,1940,806.0,1.0,2,0,8.0,3,467,0.0,82,47,63.6,36,22,25,9,2.0,20,33,60.6,13,26.0,9,17,27.0,63,89,1.0
187,Tommaso Corazza,RB,2023-2024,19,Italy,Bologna,Serie A,9,195,2.2,1,8,26,0,0,0,0,0,0,0,119.0,145,82.1,1,7,4.0,3,14,1781,648,68.0,74,91.9,38,41,92.7,8,17,47.1,96,555,330.0,10.0,6,1,1.0,2,107,9.0,0,1,0.0,10,4,9,1,0.0,4,9,44.4,5,2.0,0,2,5.0,15,3,0.0
188,Thierry Correia,RB,2023-2024,24,Portugal,Valencia,La Liga,31,2154,23.9,25,6,1,0,2,2,0,0,0,0,1017.0,1340,75.9,18,70,29.0,11,80,16699,6810,546.0,608,89.8,369,462,79.9,85,209,40.7,766,3724,2048.0,40.0,27,13,21.0,8,842,56.0,16,32,33.3,63,35,39,20,4.0,28,49,57.1,21,39.0,16,23,33.0,96,61,0.0
189,Danny da Costa,RWB,2023-2024,30,Germany,Mainz 05,Bundesliga,19,830,9.2,9,10,10,0,1,1,0,0,0,0,317.0,470,67.4,9,27,16.0,9,40,5513,2576,144.0,177,81.4,126,193,65.3,37,69,53.6,227,1219,613.0,22.0,9,3,8.0,7,263,53.0,10,20,33.3,18,9,9,7,2.0,9,19,47.4,10,17.0,4,13,16.0,34,24,0.0
190,Jaume Costa,LWB,2023-2024,35,Spain,Mallorca,La Liga,30,1682,18.7,19,11,6,0,1,1,0,0,0,0,615.0,834,73.7,19,36,21.0,14,50,9676,4167,345.0,385,89.6,217,291,74.6,43,115,37.4,457,2191,1221.0,34.0,22,3,14.0,5,525,104.0,13,16,44.8,38,22,23,10,5.0,18,29,62.1,11,14.0,4,10,16.0,54,35,0.0
191,Logan Costa,CB,2023-2024,22,Cape Verde,Toulouse,Ligue 1,31,2650,29.4,29,2,0,1,1,2,1,0,0,0,1491.0,1784,83.6,6,129,6.0,2,145,29121,12198,511.0,559,91.4,768,868,88.5,181,302,59.9,1455,7829,3931.0,19.0,30,2,18.0,3,1360,14.0,64,37,63.4,40,24,31,9,0.0,15,24,62.5,9,42.0,27,15,23.0,63,120,1.0
192,Vladimír Coufal,RB,2023-2024,30,Czech Republic,West Ham,Premier League,36,3132,34.8,36,0,0,0,7,7,0,0,0,0,1154.0,1665,69.3,33,98,38.0,21,119,18778,9229,596.0,669,89.1,448,627,71.5,84,254,33.1,885,4956,2431.0,68.0,35,4,28.0,13,1010,126.0,40,37,51.9,64,41,50,12,2.0,38,75,50.7,37,49.0,15,34,43.0,107,97,0.0
193,Yan Couto,RWB,2023-2024,21,Brazil,Girona,La Liga,34,2245,24.9,24,10,1,1,8,9,1,0,0,0,1057.0,1354,78.1,27,62,34.0,17,97,16640,4090,566.0,644,87.9,406,512,79.3,63,117,53.8,1035,8513,4769.0,151.0,86,41,39.0,37,1086,240.0,4,13,23.5,45,34,25,14,6.0,20,40,50.0,20,14.0,2,12,10.0,55,31,1.0
194,Nicolas Cozza,CB,2023-2024,24,France,Wolfsburg,Bundesliga,19,1171,13.0,13,6,9,0,0,0,0,0,0,0,417.0,558,74.7,5,46,7.0,3,36,7076,2666,203.0,240,84.6,170,219,77.6,35,70,50.0,379,1872,854.0,16.0,10,2,18.0,8,383,38.0,10,21,32.3,43,29,27,14,2.0,19,31,61.3,12,10.0,0,10,18.0,61,38,0.0
195,Aaron Cresswell,LB,2023-2024,33,England,West Ham,Premier League,11,436,4.8,4,7,21,0,0,0,0,0,0,0,254.0,308,82.5,5,15,4.0,0,26,4176,1722,142.0,155,91.6,80,96,83.3,25,48,52.1,169,522,220.0,4.0,5,0,0.0,2,210,6.0,6,3,66.7,3,2,1,1,1.0,2,3,66.7,1,5.0,3,2,3.0,6,7,0.0
196,Juan Cruz Armada,LB,2023-2024,31,Spain,Osasuna,La Liga,26,1667,18.5,18,8,9,0,1,1,0,0,0,0,712.0,941,75.7,5,69,9.0,3,77,12473,5357,345.0,382,90.3,287,387,74.2,75,145,51.7,508,2514,1248.0,16.0,16,0,13.0,6,575,29.0,21,17,55.3,27,15,16,10,1.0,17,25,68.0,8,14.0,7,7,12.0,39,39,1.0
197,Juan Cuadrado,RB,2023-2024,35,Colombia,Inter,Serie A,10,267,3.0,0,10,5,0,2,2,0,0,0,0,158.0,189,83.6,9,11,5.0,2,11,2799,632,73.0,77,94.8,61,76,80.3,16,27,59.3,151,869,513.0,17.0,9,7,3.0,2,169,35.0,0,0,,4,3,2,2,0.0,3,5,60.0,2,6.0,1,5,1.0,5,2,0.0
198,Pau Cubarsí,CB,2023-2024,16,Spain,Barcelona,La Liga,19,1558,17.3,18,1,7,0,0,0,0,0,0,0,1360.0,1487,91.5,5,73,0.0,0,75,25525,8442,493.0,523,94.3,737,772,95.5,122,170,71.8,1076,5220,2658.0,8.0,7,0,4.0,3,1263,2.0,28,26,51.9,22,14,18,3,1.0,13,18,72.2,5,20.0,16,4,12.0,34,65,0.0
199,Marc Cucurella,LB,2023-2024,25,Spain,Chelsea,Premier League,21,1782,19.8,20,1,6,0,2,2,0,0,0,0,1036.0,1196,86.6,19,51,7.0,4,50,15110,4408,595.0,645,92.2,383,430,89.1,32,65,49.2,657,2861,1579.0,31.0,15,3,15.0,6,873,73.0,22,17,56.4,62,38,36,21,5.0,34,64,53.1,30,36.0,13,23,22.0,84,48,0.0
200,Jorge Cuenca,CB,2023-2024,23,Spain,Villarreal,La Liga,29,1963,21.8,21,8,6,3,1,4,3,0,0,0,957.0,1150,83.2,6,62,10.0,6,78,17344,6301,367.0,388,94.6,515,579,88.9,65,154,42.2,668,3349,2078.0,11.0,13,2,10.0,4,861,30.0,60,38,61.2,42,29,26,10,6.0,19,30,63.3,11,26.0,15,11,21.0,63,114,0.0
201,Eric Curbelo,CB,2023-2024,29,Spain,Las Palmas,La Liga,2,102,1.1,1,1,20,0,0,0,0,0,0,0,57.0,59,96.6,0,0,0.0,0,4,885,340,30.0,30,100.0,25,27,92.6,2,2,100.0,39,118,53.0,0.0,0,0,3.0,0,40,0.0,0,1,0.0,4,3,2,2,0.0,3,4,75.0,1,3.0,1,2,2.0,6,5,1.0
202,Sam Curtis,RB,2023-2024,17,Ireland,Sheffield Utd,Premier League,1,28,0.3,0,1,8,0,0,0,0,0,0,0,6.0,10,60.0,0,0,0.0,0,1,98,37,3.0,4,75.0,3,3,100.0,0,2,0.0,1,1,0.0,0.0,0,0,0.0,1,9,1.0,0,0,,1,0,1,0,0.0,1,2,50.0,1,2.0,0,2,0.0,1,0,0.0
203,Danilo D'Ambrosio,RB,2023-2024,34,Italy,Monza,Serie A,24,1536,17.1,16,8,5,0,0,0,0,0,0,0,979.0,1095,89.4,4,61,4.0,1,61,17542,5544,360.0,376,95.7,531,566,93.8,74,124,59.7,787,3641,1763.0,12.0,8,1,12.0,5,904,25.0,27,20,57.4,57,34,34,20,3.0,28,41,68.3,13,22.0,13,9,14.0,71,31,0.0
204,Ameen Al-Dakhil,CB,2023-2024,21,Belgium,Burnley,Premier League,13,1056,11.7,12,1,2,1,0,1,1,0,0,0,537.0,637,84.3,2,13,2.0,0,35,9642,2939,208.0,220,94.5,280,321,87.2,42,77,54.5,491,2471,1351.0,7.0,9,0,8.0,6,495,9.0,14,23,37.8,12,5,4,7,1.0,1,10,10.0,9,13.0,6,7,12.0,24,38,2.0
205,Diogo Dalot,RB,2023-2024,24,Portugal,Manchester Utd,Premier League,36,3174,35.3,35,1,1,2,3,5,2,0,0,0,1486.0,1830,81.2,37,107,31.0,16,124,24927,8066,729.0,817,89.2,574,701,81.9,139,213,65.3,1149,5413,2901.0,52.0,43,10,24.0,11,1255,111.0,32,25,56.1,81,51,58,12,11.0,51,74,68.9,23,44.0,16,28,37.0,118,111,0.0
206,Flavius Daniliuc,CB,2023-2024,22,Austria,Salernitana,Serie A,14,744,8.3,8,6,3,0,0,0,0,0,0,0,350.0,411,85.2,5,31,2.0,0,37,5932,2368,157.0,180,87.2,157,170,92.4,27,39,69.2,235,1145,561.0,8.0,7,0,7.0,4,282,2.0,20,15,57.1,19,11,12,5,2.0,9,19,47.4,10,13.0,4,9,8.0,27,15,0.0
207,Danilo,CB,2023-2024,32,Brazil,Juventus,Serie A,29,2452,27.2,27,2,1,1,1,2,1,0,0,0,1591.0,1849,86.0,21,148,14.0,4,161,31356,11027,541.0,580,93.3,839,916,91.6,195,303,64.4,1060,4741,2503.0,18.0,14,2,13.0,3,1345,21.0,37,27,57.8,60,36,38,18,4.0,32,48,66.7,16,34.0,15,19,37.0,97,94,0.0
208,Kevin Danso,CB,2023-2024,24,Austria,Lens,Ligue 1,30,2655,29.5,30,0,0,1,0,1,1,0,0,0,1508.0,1719,87.7,8,122,6.0,0,133,27659,10926,573.0,622,92.1,779,856,91.0,128,196,65.3,1411,8880,5038.0,27.0,29,0,24.0,8,1236,3.0,55,27,67.1,24,14,12,11,1.0,15,30,50.0,15,43.0,30,13,23.0,47,115,1.0
209,Dante,CB,2023-2024,39,Brazil,Nice,Ligue 1,32,2843,31.6,32,0,0,1,1,2,1,0,0,0,2540.0,2803,90.6,13,170,7.0,1,185,43573,17293,1157.0,1213,95.4,1141,1202,94.9,183,303,60.4,2477,12006,6060.0,13.0,20,1,14.0,5,2315,6.0,55,31,64.0,62,30,44,16,2.0,38,52,73.1,14,43.0,22,21,37.0,99,77,2.0
210,Achraf Dari,CB,2023-2024,24,Morocco,Brest,Ligue 1,4,121,1.3,1,3,11,0,0,0,0,0,0,0,73.0,85,85.9,0,4,0.0,0,8,1773,564,11.0,14,78.6,45,47,95.7,17,23,73.9,71,330,155.0,0.0,0,0,2.0,0,63,0.0,4,0,100.0,1,1,1,0,0.0,0,2,0.0,2,2.0,0,2,5.0,6,9,1.0
211,Matteo Darmian,RB,2023-2024,33,Italy,Inter,Serie A,33,2404,26.7,27,6,5,2,1,3,2,0,0,0,1181.0,1389,85.0,22,64,14.0,6,72,20253,6795,512.0,565,90.6,558,611,91.3,83,144,57.6,832,3149,1584.0,18.0,15,2,18.0,1,1082,82.0,20,17,54.1,48,22,23,15,10.0,20,53,37.7,33,27.0,11,16,13.0,61,55,0.0
212,Juan David Cabal,CB,2023-2024,22,Colombia,Hellas Verona,Serie A,22,1497,16.6,17,5,8,0,0,0,0,0,0,0,561.0,790,71.0,12,57,10.0,6,70,9888,4415,265.0,306,86.6,228,302,75.5,56,126,44.4,412,1922,1152.0,26.0,17,1,22.0,11,467,48.0,58,21,73.4,36,27,19,14,3.0,18,29,62.1,11,30.0,9,21,26.0,62,55,2.0
213,Alphonso Davies,LB,2023-2024,22,Canada,Bayern Munich,Bundesliga,29,2065,22.9,24,5,2,2,5,7,2,0,0,0,1440.0,1642,87.7,37,88,31.0,7,117,20701,5332,847.0,929,91.2,536,589,91.0,27,52,51.9,1225,7683,4482.0,121.0,93,35,40.0,24,1339,139.0,14,9,60.9,47,24,29,13,5.0,30,53,56.6,23,30.0,4,26,26.0,73,49,1.0
214,Ben Davies,LB,2023-2024,30,Wales,Tottenham,Premier League,17,1090,12.1,12,5,13,1,0,1,1,0,0,0,766.0,850,90.1,4,80,4.0,0,71,13839,5258,303.0,324,93.5,388,413,93.9,60,81,74.1,593,3265,2044.0,13.0,13,1,2.0,3,685,20.0,29,21,58.0,24,17,13,8,3.0,16,21,76.2,5,17.0,15,2,10.0,34,35,0.0
215,Paweł Dawidowicz,CB,2023-2024,28,Poland,Hellas Verona,Serie A,28,2143,23.8,25,3,2,0,0,0,0,0,0,0,972.0,1173,82.9,2,60,2.0,0,89,20339,7048,247.0,302,81.8,587,647,90.7,131,199,65.8,749,3833,1819.0,11.0,8,0,13.0,5,787,5.0,67,30,69.1,53,30,33,18,2.0,17,29,58.6,12,17.0,9,8,24.0,77,114,1.0
216,Craig Dawson,CB,2023-2024,33,England,Wolves,Premier League,25,2209,24.5,25,0,2,1,1,2,1,0,0,0,1104.0,1277,86.5,9,52,2.0,0,49,23417,8062,296.0,333,88.9,640,679,94.3,158,237,66.7,896,4227,1932.0,1.0,7,0,5.0,2,997,4.0,63,32,66.3,30,20,23,6,1.0,22,34,64.7,12,51.0,39,12,16.0,46,120,1.0
217,Mattia De Sciglio,RB,2023-2024,30,Italy,Juventus,Serie A,1,45,0.5,1,0,6,0,0,0,0,0,0,0,17.0,19,89.5,0,2,1.0,0,3,296,124,7.0,7,100.0,9,10,90.0,1,1,100.0,15,50,15.0,0.0,2,0,1.0,0,15,1.0,0,0,,0,0,0,0,0.0,0,0,,0,1.0,0,1,1.0,1,2,0.0
218,Lorenzo De Silvestri,RB,2023-2024,35,Italy,Bologna,Serie A,15,674,7.5,7,8,20,2,0,2,2,0,0,0,373.0,432,86.3,0,20,1.0,1,27,5791,1916,181.0,195,92.8,168,189,88.9,14,29,48.3,256,1526,732.0,14.0,4,0,4.0,1,320,12.0,9,5,64.3,10,8,5,2,3.0,4,7,57.1,3,9.0,4,5,6.0,16,27,0.0
219,Thibault De Smet,LB,2023-2024,25,Belgium,Reims,Ligue 1,27,1831,20.3,22,5,3,0,0,0,0,0,0,0,837.0,1046,80.0,14,80,14.0,4,104,13947,4928,395.0,448,88.2,364,427,85.2,62,126,49.2,809,4641,1984.0,23.0,30,1,14.0,7,742,66.0,17,21,44.7,56,35,36,16,4.0,33,59,55.9,26,25.0,5,20,21.0,77,51,1.0
220,Koni De Winter,CB,2023-2024,21,Belgium,Genoa,Serie A,29,2380,26.4,26,3,5,0,1,1,0,0,0,0,1122.0,1269,88.4,5,54,5.0,0,76,19280,6416,465.0,509,91.4,568,615,92.4,67,99,67.7,853,4867,2480.0,21.0,13,1,25.0,10,913,15.0,58,38,60.4,44,25,26,13,5.0,21,31,67.7,10,30.0,10,20,21.0,65,78,0.0
221,Thomas Delaine,LB,2023-2024,31,France,Strasbourg,Ligue 1,27,2044,22.7,24,3,3,1,1,2,1,0,0,0,638.0,882,72.3,26,30,23.0,12,52,10860,3569,284.0,336,84.5,288,388,74.2,53,110,48.2,692,4524,2037.0,63.0,45,5,33.0,11,627,151.0,17,17,50.0,38,19,29,8,1.0,20,42,47.6,22,18.0,2,16,17.0,55,51,0.0
222,Hannes Delcroix,LB,2023-2024,24,Belgium,Burnley,Premier League,12,589,6.5,5,7,10,0,0,0,0,0,0,0,300.0,350,85.7,4,24,3.0,2,18,4932,1666,145.0,155,93.5,135,154,87.7,16,31,51.6,241,847,451.0,2.0,2,0,5.0,3,268,6.0,8,9,47.1,10,6,6,4,0.0,3,4,75.0,1,9.0,3,6,9.0,19,26,0.0
223,Alessandro Dellavalle,CB,2023-2024,19,Italy,Torino,Serie A,1,15,0.2,0,1,3,0,0,0,0,0,0,0,5.0,6,83.3,0,1,0.0,0,1,132,51,3.0,3,100.0,0,0,,2,2,100.0,4,29,2.0,0.0,0,0,0.0,0,3,0.0,1,0,100.0,0,0,0,0,0.0,0,0,,0,1.0,1,0,1.0,1,0,0.0
224,Olivier Deman,LWB,2023-2024,23,Belgium,Werder Bremen,Bundesliga,29,1365,15.2,14,15,1,2,1,3,2,0,0,0,543.0,730,74.4,13,34,15.0,8,40,9637,3323,244.0,284,85.9,226,289,78.2,63,111,56.8,447,2075,1023.0,26.0,11,6,24.0,6,505,53.0,16,18,47.1,28,15,21,4,3.0,18,38,47.4,20,24.0,8,16,14.0,42,49,1.0
225,Sepp van den Berg,CB,2023-2024,21,Netherlands,Mainz 05,Bundesliga,33,2839,31.5,31,2,0,3,0,3,3,0,0,0,1190.0,1469,81.0,7,86,4.0,0,95,21938,7392,421.0,497,84.7,657,764,86.0,94,163,57.7,720,3108,1384.0,7.0,4,0,11.0,4,912,6.0,171,78,68.7,38,23,20,15,3.0,15,26,57.7,11,66.0,36,30,43.0,81,159,2.0
226,Mikkel Desler,RB,2023-2024,28,Denmark,Toulouse,Ligue 1,24,1544,17.2,19,5,2,0,1,1,0,0,0,0,788.0,944,83.5,8,49,5.0,2,81,11478,3595,440.0,489,90.0,288,342,84.2,26,53,49.1,702,3760,1657.0,30.0,27,9,18.0,10,663,96.0,22,17,56.4,18,12,8,7,3.0,9,17,52.9,8,32.0,13,19,19.0,37,38,0.0
227,Giovanni Di Lorenzo,RB,2023-2024,29,Italy,Napoli,Serie A,36,3234,35.9,36,0,0,1,6,7,1,0,0,0,2314.0,2732,84.7,51,230,86.0,16,304,36941,13552,1255.0,1357,92.5,835,982,85.0,170,254,66.9,1815,8286,4442.0,95.0,63,16,28.0,23,2213,250.0,27,39,40.9,58,36,26,26,6.0,32,68,47.1,36,43.0,16,27,24.0,82,45,0.0
228,Alessandro Di Pardo,RB,2023-2024,24,Italy,Cagliari,Serie A,15,359,4.0,2,13,18,0,0,0,0,0,0,0,115.0,175,65.7,5,5,7.0,4,11,1822,700,65.0,82,79.3,41,57,71.9,6,24,25.0,99,480,223.0,6.0,2,0,1.0,4,106,19.0,4,2,66.7,4,1,3,0,1.0,0,3,0.0,3,9.0,2,7,5.0,9,7,0.0
229,Mouctar Diakhaby,CB,2023-2024,26,Guinea,Valencia,La Liga,14,1073,11.9,12,2,2,1,0,1,1,0,0,0,475.0,546,87.0,2,23,2.0,0,29,9314,2704,152.0,160,95.0,272,294,92.5,43,76,56.6,388,1858,866.0,7.0,6,0,9.0,4,414,1.0,25,13,65.8,18,11,9,9,0.0,11,13,84.6,2,17.0,7,10,11.0,29,62,0.0
230,Bafodé Diakité,CB,2023-2024,22,France,Lille,Ligue 1,21,1696,18.8,19,2,4,5,2,7,5,0,0,0,1206.0,1311,92.0,13,91,1.0,0,95,20793,7113,503.0,545,92.3,596,633,94.2,77,92,83.7,1127,5724,2977.0,15.0,15,2,8.0,5,1067,16.0,32,19,62.7,29,20,12,15,2.0,24,32,75.0,8,16.0,8,8,21.0,50,49,1.0
231,Ibrahim Diakité,RWB,2023-2024,19,Guinea,Reims,Ligue 1,5,109,1.2,1,4,5,0,0,0,0,0,0,0,57.0,85,67.1,2,6,2.0,1,7,894,329,28.0,39,71.8,19,28,67.9,6,9,66.7,57,385,192.0,7.0,5,1,1.0,0,46,9.0,3,2,60.0,1,0,0,1,0.0,0,1,0.0,1,3.0,0,3,2.0,3,5,0.0
232,Moussa Diarra,CB,2023-2024,22,Mali,Toulouse,Ligue 1,22,1397,15.5,15,7,4,1,2,3,1,0,0,0,550.0,680,80.9,10,56,19.0,4,70,9600,3899,223.0,266,83.8,282,326,86.5,34,57,59.6,528,2705,1283.0,18.0,18,2,22.0,6,479,12.0,21,16,56.8,32,12,16,15,1.0,13,27,48.1,14,30.0,14,16,20.0,52,43,0.0
233,Rúben Dias,CB,2023-2024,26,Portugal,Manchester City,Premier League,30,2559,28.4,28,2,5,0,0,0,0,0,0,0,2469.0,2635,93.7,7,220,12.0,3,173,42764,13568,1039.0,1076,96.6,1256,1306,96.2,146,204,71.6,1996,10862,6693.0,34.0,70,1,10.0,7,2301,16.0,47,42,52.8,39,20,14,21,4.0,19,26,73.1,7,32.0,17,15,30.0,69,77,0.0
234,Krépin Diatta,RB,2023-2024,24,Senegal,Monaco,Ligue 1,26,1206,13.4,12,14,1,0,2,2,0,0,0,0,602.0,787,76.5,23,46,22.0,5,80,9825,3682,294.0,352,83.5,245,315,77.8,41,76,53.9,586,3880,1707.0,48.0,30,10,24.0,20,545,95.0,30,19,61.2,37,20,17,16,4.0,27,49,55.1,22,17.0,2,15,16.0,53,22,0.0
235,Víctor Díaz,CB,2023-2024,35,Spain,Granada,La Liga,4,162,1.8,2,2,14,0,0,0,0,0,0,0,47.0,74,63.5,0,2,0.0,0,2,1009,359,12.0,15,80.0,28,32,87.5,7,20,35.0,39,148,85.0,0.0,0,0,2.0,0,48,0.0,3,1,75.0,5,3,2,3,0.0,1,3,33.3,2,1.0,0,1,1.0,6,8,0.0
236,Eric Dier,CB,2023-2024,29,England,Bayern Munich,Bundesliga,19,1367,15.2,14,5,11,0,0,0,0,0,0,0,1167.0,1284,90.9,2,64,1.0,1,56,22784,9139,379.0,409,92.7,680,711,95.6,105,144,72.9,894,4274,2323.0,8.0,13,0,3.0,0,1057,1.0,37,20,64.9,13,9,7,5,1.0,7,8,87.5,1,23.0,15,8,12.0,25,60,1.0
237,Lucas Digne,LB,2023-2024,30,France,Aston Villa,Premier League,33,2410,26.8,27,6,0,1,3,4,1,0,0,0,1015.0,1351,75.1,37,49,34.0,15,77,16244,5595,524.0,594,88.2,406,529,76.7,66,148,44.6,840,3630,1786.0,42.0,19,4,16.0,15,925,200.0,42,24,63.6,47,19,35,9,3.0,25,44,56.8,19,20.0,2,18,26.0,73,67,0.0
238,Federico Dimarco,LB,2023-2024,25,Italy,Inter,Serie A,30,2077,23.1,29,1,6,5,6,11,5,0,0,0,1027.0,1328,77.3,61,60,57.0,30,100,17596,5513,495.0,541,91.5,390,491,79.4,111,211,52.6,841,3487,1924.0,51.0,34,10,29.0,7,1057,198.0,6,9,40.0,42,25,19,14,9.0,17,35,48.6,18,18.0,3,15,9.0,51,34,1.0
239,Sinaly Diomande,CB,2023-2024,22,Ivory Coast,Lyon,Ligue 1,10,889,9.9,10,0,6,0,0,0,0,0,0,0,521.0,570,91.4,3,34,2.0,1,43,9695,3841,175.0,184,95.1,288,302,95.4,46,64,71.9,505,2509,1321.0,5.0,8,1,6.0,2,441,0.0,16,13,55.2,10,4,5,3,2.0,9,16,56.3,7,12.0,9,3,15.0,25,26,1.0
240,Issa Diop,CB,2023-2024,26,France,Fulham,Premier League,18,1424,15.8,16,2,3,0,0,0,0,0,0,0,950.0,1080,88.0,0,60,3.0,0,66,17646,6371,333.0,358,93.0,555,594,93.4,53,98,54.1,794,4396,2661.0,11.0,8,0,3.0,5,884,1.0,25,17,59.5,30,16,23,5,2.0,15,20,75.0,5,28.0,19,9,17.0,47,80,1.0
241,Axel Disasi,CB,2023-2024,25,France,Chelsea,Premier League,31,2579,28.7,29,2,4,2,0,2,2,0,0,0,2031.0,2256,90.0,3,115,8.0,1,112,34081,11464,877.0,913,96.1,1050,1124,93.4,86,168,51.2,1613,7182,4223.0,30.0,20,3,16.0,12,1892,21.0,72,31,69.9,33,19,20,10,3.0,23,30,76.7,7,26.0,19,7,18.0,51,102,2.0
242,Tiago Djaló,Cb,2023-2024,23,Portugal,Juventus,Serie A,1,17,0.2,0,1,15,0,0,0,0,0,0,0,12.0,13,92.3,0,0,0.0,0,2,232,68,3.0,3,100.0,8,8,100.0,1,1,100.0,8,104,64.0,1.0,1,1,0.0,0,9,0.0,0,1,0.0,0,0,0,0,0.0,0,0,,0,1.0,0,1,0.0,0,1,0.0
243,Djené,CB,2023-2024,31,Togo,Getafe,La Liga,33,2484,27.6,30,3,0,0,0,0,0,0,0,0,861.0,1121,76.8,7,64,11.0,5,98,15810,5814,335.0,386,86.8,415,505,82.2,92,182,50.5,661,3334,1637.0,13.0,14,1,24.0,13,690,19.0,37,29,56.1,34,19,18,13,3.0,15,26,57.7,11,31.0,15,16,23.0,57,70,0.0
244,Koffi Djidji,CB,2023-2024,30,Ivory Coast,Torino,Serie A,13,759,8.4,8,5,4,0,0,0,0,0,0,0,372.0,434,85.7,0,17,0.0,0,19,6282,2034,154.0,171,90.1,186,202,92.1,24,44,54.5,309,1128,436.0,4.0,4,1,5.0,2,326,3.0,8,6,57.1,14,9,9,5,0.0,3,4,75.0,1,10.0,5,5,10.0,24,20,0.0
245,Berat Djimsiti,CB,2023-2024,30,Albania,Atalanta,Serie A,37,2832,31.5,32,5,1,0,1,1,0,0,0,0,1454.0,1661,87.5,7,40,5.0,1,79,27563,8404,488.0,555,87.9,808,870,92.9,136,187,72.7,953,4836,2044.0,6.0,10,0,7.0,3,1167,10.0,92,55,62.6,42,24,29,12,1.0,19,31,61.3,12,53.0,33,20,57.0,99,100,0.0
246,Dodô,RB,2023-2024,24,Brazil,Fiorentina,Serie A,9,523,5.8,7,2,8,0,0,0,0,0,0,0,278.0,347,80.1,10,25,9.0,3,39,5196,1670,105.0,120,87.5,141,168,83.9,29,42,69.0,244,1563,857.0,20.0,10,4,9.0,1,251,21.0,4,2,66.7,5,3,1,4,0.0,2,5,40.0,3,2.0,0,2,5.0,10,11,0.0
247,Danilho Doekhi,CB,2023-2024,25,Netherlands,Union Berlin,Bundesliga,24,2160,24.0,24,0,3,2,0,2,2,0,0,0,738.0,919,80.3,4,67,9.0,1,65,13735,5232,273.0,311,87.8,379,434,87.3,72,146,49.3,585,2763,1599.0,7.0,16,1,9.0,2,726,6.0,53,42,55.8,34,23,18,16,0.0,15,21,71.4,6,46.0,25,21,38.0,72,111,1.0
248,Matt Doherty,RB,2023-2024,31,Ireland,Wolves,Premier League,30,1150,12.8,9,21,8,1,0,1,1,0,0,0,515.0,653,78.9,12,22,7.0,1,31,7798,2105,296.0,348,85.1,174,212,82.1,31,55,56.4,325,1293,597.0,12.0,8,3,17.0,6,481,64.0,38,33,53.5,31,18,17,10,4.0,12,23,52.2,11,15.0,5,10,7.0,38,47,0.0
249,Josh Doig,LB,2023-2024,21,Scotland,Sassuolo,Serie A,28,2173,24.1,26,2,5,0,2,2,0,0,0,0,655.0,929,70.5,19,54,14.0,11,48,10893,4282,336.0,387,86.8,255,347,73.5,50,136,36.8,510,3518,1571.0,53.0,33,5,36.0,15,560,67.0,20,21,48.8,41,26,25,16,0.0,28,44,63.6,16,43.0,13,30,20.0,61,55,1.0
