Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Dango Ouattara,LW,2023-2024,21,bf BFA,Bournemouth,eng Premier League,30,1229,13.7,12,18,371,558,66.5,17,11,5,35,190,255,74.5,147,201,73.1,25,57,43.9,2.6,2.6,1.5,4.1,1.4,4.1,-1.6,-1.6,0.09,30,0.03,7,23.3,15.2,0,30,0.03,0.14,7,23.3,1,2,3,1,0,0,0,783,37,317,783,1,2,3,0,0,0,473,35,32,52.2
Adam Ounas,LW,2023-2024,26,dz ALG,Lille,fr Ligue 1,17,418,4.6,3,14,138,194,71.1,13,11,5,20,70,84,83.3,47,64,73.4,16,29,55.2,0.6,0.6,1.9,2.6,1.8,2.6,+0.4,+0.4,0.07,9,0.11,3,33.3,18.6,1,9,0.11,0.33,3,33.3,1,0,1,1,0,0,0,253,2,133,253,1,0,1,0,0,0,181,6,6,50
Patrick Ouotro,ST,2023-2024,17,ci CIV,Strasbourg,fr Ligue 1,1,8,0.1,0,1,1,2,50,0,0,0,1,0,1,0,1,1,100,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,2,0,1,0
Mikel Oyarzabal,LW,2023-2024,26,es ESP,Real Sociedad,es La Liga,33,2156,24,23,10,373,507,73.6,21,13,0,39,230,283,81.3,106,137,77.4,13,23,56.5,9.1,7.5,1.7,10.8,1.3,9.2,-0.1,-0.5,0.2,38,0.18,16,42.1,15.2,3,38,0.18,0.44,16,42.1,9,3,12,7,2,2,0,728,13,317,726,9,3,12,2,2,0,476,26,51,33.8
Gonçalo Paciência,ST,2023-2024,28,pt POR,2 Teams,2 Comps,19,650,7.2,6,13,111,176,63.1,9,7,2,21,64,84,76.2,26,37,70.3,10,19,52.6,3,3,1.3,,0.6,4.3,0,0,0.08,38,0.08,12,31.6,17.9,1,38,0.08,0.25,12,31.6,3,1,4,3,0,0,0,301,8,141,301,3,1,4,0,0,0,161,20,34,37
Cole Palmer,RW,2023-2024,21,eng ENG,Chelsea,eng Premier League,33,2607,29,29,4,1121,1415,79.2,72,69,5,197,574,636,90.3,407,479,85,101,186,54.3,18.2,11.1,11.1,29.3,8.7,22.2,+3.8,+1.9,0.11,100,0.13,37,37,22.1,11,100,0.13,0.35,37,37,22,11,33,13,9,9,0,1754,22,852,1745,22,11,33,9,9,0,1294,1,4,20
Joaquín Panichelli,ST,2023-2024,20,ar ARG,Alavés,es La Liga,8,226,2.5,2,6,29,46,63,2,1,0,6,16,21,76.2,11,15,73.3,0,3,0,0.6,0.6,0.1,0.7,0.1,0.7,-0.6,-0.6,0.06,9,0,2,22.2,17.8,0,9,0,0,2,22.2,0,0,0,0,0,0,0,81,6,32,81,0,0,0,0,0,0,43,17,5,77.3
Lucas Paquetá,LW,2023-2024,25,br BRA,West Ham,eng Premier League,31,2622,29.1,31,0,1082,1465,73.9,43,50,8,187,598,714,83.8,334,435,76.8,95,173,54.9,5.4,3.8,5.4,10.8,5.1,9.2,-1.4,-1.8,0.1,40,0.05,8,20,17.8,1,40,0.05,0.25,8,20,4,6,10,2,2,2,0,1845,42,533,1843,4,6,10,2,2,0,1397,59,59,50
Kevin Paredes,LW,2023-2024,20,us USA,Wolfsburg,de Bundesliga,28,1432,15.9,15,13,455,592,76.9,17,17,5,50,260,301,86.4,148,191,77.5,27,52,51.9,3,3,1.4,4.3,1.9,4.3,0,0,0.16,19,0.16,7,36.8,16.7,0,19,0.16,0.43,7,36.8,3,0,3,3,0,0,0,809,24,311,809,3,0,3,0,0,0,542,10,14,41.7
Ben Parkinson,ST,2023-2024,18,eng ENG,Newcastle Utd,eng Premier League,1,25,0.3,0,1,1,3,33.3,0,0,0,0,0,1,0,1,2,50,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,6,2,3,6,0,0,0,0,0,0,2,0,2,0
Leonardo Pavoletti,ST,2023-2024,34,it ITA,Cagliari,it Serie A,19,628,7,5,14,87,157,55.4,7,4,0,16,53,81,65.4,27,50,54,4,9,44.4,2.6,2.6,0.3,2.9,0.3,2.9,+1.4,+1.4,0.1,25,0.16,9,36,11.3,0,25,0.16,0.44,9,36,4,1,5,4,0,0,0,232,8,111,232,4,1,5,0,0,0,152,57,41,58.2
Pedro,LW,2023-2024,36,es ESP,Lazio,it Serie A,33,816,9.1,5,28,357,431,82.8,17,13,4,33,214,236,90.7,109,132,82.6,17,33,51.5,1.5,1.5,2.1,3.6,1.5,3.6,-0.5,-0.5,0.14,11,0.09,4,36.4,20,1,11,0.09,0.25,4,36.4,1,1,2,1,0,0,0,551,4,203,551,1,1,2,0,0,0,422,2,10,16.7
Jordan Pefok,ST,2023-2024,27,us USA,2 Teams,de Bundesliga,26,1447,16.1,18,8,223,286,78,22,4,0,22,125,156,80.1,65,74,87.8,12,16,75,6.5,6.5,2.6,8.9,1.9,9,-1.5,-1.5,0.2,35,0.14,9,25.7,10.9,0,35,0.14,0.56,9,25.7,5,3,8,5,0,0,0,482,35,150,482,5,3,8,0,0,0,264,47,47,50
Dženan Pejčinović,ST,2023-2024,18,de GER,Wolfsburg,de Bundesliga,4,37,0.4,0,4,6,10,60,2,0,0,0,4,6,66.7,2,3,66.7,0,0,,0.1,0.1,0.1,0.3,0,0.3,-0.1,-0.1,0.06,2,0,0,0,13.8,0,2,0,,0,0,0,0,0,0,0,0,0,16,0,9,16,0,0,0,0,0,0,10,1,2,33.3
Pietro Pellegri,ST,2023-2024,22,it ITA,Torino,it Serie A,24,756,8.4,7,17,86,138,62.3,4,0,0,8,60,81,74.1,16,30,53.3,4,7,57.1,1,1,0.3,1.4,0.1,1.4,0,0,0.08,13,0.08,4,30.8,10.2,0,13,0.08,0.25,4,30.8,1,1,2,1,0,0,0,231,5,123,231,1,1,2,0,0,0,124,23,38,37.7
Facundo Pellistri,RW,2023-2024,21,uy URU,2 Teams,2 Comps,24,1404,15.6,15,9,273,384,71.1,19,16,5,28,178,212,84,74,104,71.2,6,12,50,3.2,3.2,1.3,0.8,1.5,4.5,-1.2,-1.2,0.15,21,0.1,8,38.1,13.9,0,21,0.1,0.25,8,38.1,2,2,4,2,0,0,0,577,14,318,577,2,2,4,0,0,0,365,15,26,36.6
Faris Pemi Moumbagna,ST,2023-2024,23,cm CMR,Marseille,fr Ligue 1,13,547,6.1,5,8,74,107,69.2,4,4,1,16,45,62,72.6,26,35,74.3,1,3,33.3,1.7,1.7,1.1,2.8,0.3,2.8,+1.3,+1.3,0.11,16,0.19,5,31.3,13.9,0,16,0.19,0.6,5,31.3,3,1,4,3,0,0,0,168,1,88,168,3,1,4,0,0,0,99,7,16,30.4
Mathias Pereira Lage,LW,2023-2024,26,pt POR,Brest,fr Ligue 1,30,1187,13.2,12,18,266,395,67.3,14,5,2,23,136,174,78.2,78,118,66.1,26,67,38.8,3.5,3.5,1.7,5.2,1.7,5.2,-0.5,-0.5,0.1,36,0.08,16,44.4,17.9,4,36,0.08,0.19,16,44.4,3,2,5,3,0,0,0,564,15,285,564,3,2,5,0,0,0,342,30,37,44.8
Roberto Pereyra,RW,2023-2024,32,ar ARG,Udinese,it Serie A,27,1858,20.6,22,5,472,598,78.9,25,21,6,70,252,287,87.8,172,210,81.9,33,49,67.3,3.5,2.7,1.9,5.5,2,4.7,+0.5,+0.3,0.11,26,0.12,8,30.8,15.9,0,26,0.12,0.38,8,30.8,4,3,7,3,1,1,0,806,36,253,805,4,3,7,1,1,0,554,4,8,33.3
Ayoze Pérez,RW,2023-2024,30,es ESP,Betis,es La Liga,31,2294,25.5,29,2,572,738,77.5,29,22,0,80,377,433,87.1,139,177,78.5,15,26,57.7,7.4,7.4,3.9,11.3,3,11.3,+1.6,+1.6,0.11,68,0.13,26,38.2,13.5,0,68,0.13,0.35,26,38.2,9,1,10,9,0,0,0,1125,19,513,1125,9,1,10,0,0,0,721,20,34,37
Ivan Perišić,LW,2023-2024,34,hr CRO,Tottenham,eng Premier League,5,103,1.1,0,5,53,76,69.7,5,6,2,9,31,39,79.5,14,22,63.6,7,13,53.8,0.1,0.1,0.9,1,0.7,1,-0.1,-0.1,0.06,2,0,0,0,13,0,2,0,,0,0,0,1,1,0,0,0,0,93,3,49,93,0,1,1,0,0,0,72,5,0,100
Andrea Petagna,ST,2023-2024,28,it ITA,2 Teams,it Serie A,18,995,11.1,13,5,170,239,71.1,18,5,0,14,95,123,77.2,51,72,70.8,13,18,72.2,1.6,1.6,1,,1.1,2.6,-0.6,-0.6,0.08,20,0.05,8,40,13.7,0,20,0.05,0.13,8,40,1,1,2,1,0,0,0,328,8,153,328,1,1,2,0,0,0,215,26,30,46.4
Luca Pfeiffer,ST,2023-2024,26,de GER,Darmstadt 98,de Bundesliga,24,1619,18,20,4,290,414,70,19,8,1,37,169,216,78.2,96,137,70.1,16,32,50,4.6,4.6,1.7,6.3,1,6.3,-3.6,-3.6,0.1,48,0.02,18,37.5,15.7,0,48,0.02,0.06,18,37.5,1,4,5,1,0,0,0,565,25,237,565,1,4,5,0,0,0,378,54,55,49.5
Maximilian Philipp,ST,2023-2024,29,de GER,Freiburg,de Bundesliga,17,323,3.6,1,16,81,109,74.3,3,2,1,6,47,54,87,24,32,75,2,3,66.7,0.5,0.5,0.4,0.9,0.4,0.9,+0.5,+0.5,0.05,9,0.11,3,33.3,12.7,0,9,0.11,0.33,3,33.3,1,0,1,1,0,0,0,155,4,57,155,1,0,1,0,0,0,106,7,14,33.3
Jaden Philogene Bidace,LW,2023-2024,21,eng ENG,Aston Villa,eng Premier League,1,4,0,0,1,3,4,75,0,0,0,0,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,4,0,0,
Roberto Piccoli,ST,2023-2024,22,it ITA,2 Teams,it Serie A,37,1417,15.7,12,25,151,252,59.9,10,2,0,20,95,146,65.1,37,60,61.7,5,10,50,6.5,5.7,0.9,0.1,0.6,6.6,-1.5,-1.7,0.1,57,0.07,20,35.1,16.5,1,57,0.07,0.2,20,35.1,5,0,5,4,1,1,0,488,15,230,487,5,0,5,1,1,0,234,54,86,38.6
Andrea Pinamonti,ST,2023-2024,24,it ITA,Sassuolo,it Serie A,38,3076,34.2,37,1,411,630,65.2,18,11,0,45,236,315,74.9,130,194,67,12,33,36.4,8.9,6.6,1.9,10.8,2.2,8.4,+2.1,+2.4,0.08,80,0.11,19,23.8,16.4,0,80,0.11,0.47,19,23.8,11,1,12,9,2,3,1,939,44,420,936,11,1,12,2,3,1,553,79,159,33.2
Alassane Pléa,ST,2023-2024,30,fr FRA,Gladbach,de Bundesliga,27,1913,21.3,24,3,541,774,69.9,36,38,3,115,282,345,81.7,186,267,69.7,52,87,59.8,7,6.2,4,11,4.1,10.2,0,-0.2,0.11,57,0.11,18,31.6,17.6,0,57,0.11,0.33,18,31.6,7,4,11,6,1,1,0,972,6,446,971,7,4,11,1,1,0,720,15,27,35.7
Matteo Politano,RW,2023-2024,29,it ITA,Napoli,it Serie A,37,2360,26.2,31,6,994,1292,76.9,71,76,23,164,526,581,90.5,315,403,78.2,115,207,55.6,7.1,4.8,6.6,13.8,6,11.4,+0.9,+1.2,0.07,72,0.08,15,20.8,21.5,4,72,0.08,0.4,15,20.8,8,7,15,6,2,3,1,1550,14,845,1547,8,7,15,2,3,1,1137,3,12,20
Sebastian Polter,ST,2023-2024,32,de GER,Darmstadt 98,de Bundesliga,9,446,5,4,5,65,112,58,3,2,1,13,31,52,59.6,26,39,66.7,1,1,100,1,1,0.6,1.5,0.5,1.5,-1,-1,0.1,10,0,3,30,11.9,0,10,0,0,3,30,0,1,1,0,0,0,0,161,6,73,161,0,1,1,0,0,0,103,20,14,58.8
Portu,SS,2023-2024,31,es ESP,2 Teams,es La Liga,36,1285,14.3,11,25,249,331,75.2,18,11,2,35,136,164,82.9,88,105,83.8,8,20,40,3.5,3.5,3.6,0.3,2.5,7.1,+3.5,+3.5,0.16,22,0.32,11,50,11.4,0,22,0.32,0.64,11,50,7,5,12,7,0,0,0,462,4,235,462,7,5,12,0,0,0,312,8,22,26.7
Yussuf Poulsen,ST,2023-2024,29,dk DEN,RB Leipzig,de Bundesliga,28,1217,13.5,12,16,207,289,71.6,13,5,2,16,130,164,79.3,48,66,72.7,6,10,60,5.7,5.7,1,6.8,2.3,6.8,-0.7,-0.7,0.2,29,0.17,16,55.2,10.6,0,29,0.17,0.31,16,55.2,5,2,7,5,0,0,0,424,16,175,424,5,2,7,0,0,0,272,19,34,35.8
Abdón Prats,ST,2023-2024,30,es ESP,Mallorca,es La Liga,34,1270,14.1,11,23,132,240,55,14,8,0,26,73,110,66.4,42,71,59.2,12,23,52.2,3.2,3.2,2.4,5.6,1.2,5.6,+2.8,+2.8,0.1,33,0.18,14,42.4,14.8,2,33,0.18,0.43,14,42.4,6,1,7,6,0,0,0,376,16,181,376,6,1,7,0,0,0,228,39,60,39.4
Arnau Puigmal,RW,2023-2024,22,es ESP,Almería,es La Liga,11,255,2.8,3,8,65,93,69.9,3,4,1,8,42,46,91.3,16,22,72.7,5,17,29.4,0,0,0.3,0.3,0.2,0.3,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,122,2,48,122,0,0,0,0,0,0,80,1,3,25
Christian Pulisic,RW,2023-2024,24,us USA,Milan,it Serie A,36,2602,28.9,32,4,832,1074,77.5,44,43,18,87,483,555,87,282,348,81,32,63,50.8,8,8,4.8,12.8,4.5,12.8,+4.0,+4.0,0.12,65,0.18,31,47.7,15.7,0,65,0.18,0.39,31,47.7,12,8,20,12,0,0,0,1389,15,709,1389,12,8,20,0,0,0,1035,16,26,38.1
George Pușcaș,ST,2023-2024,27,ro ROU,Genoa,it Serie A,8,191,2.1,1,7,34,61,55.7,1,1,0,3,24,37,64.9,8,14,57.1,0,1,0,2.1,2.1,0.1,2.2,0.1,2.2,-2.1,-2.1,0.19,11,0,5,45.5,12.9,0,11,0,0,5,45.5,0,0,0,0,0,0,0,92,2,46,92,0,0,0,0,0,0,58,12,8,60
Largie Ramazani,LW,2023-2024,22,be BEL,Almería,es La Liga,29,1555,17.3,16,13,203,340,59.7,26,16,2,42,109,150,72.7,64,108,59.3,19,43,44.2,4.7,4.7,5.7,10.5,2.4,10.5,-1.7,-1.7,0.12,40,0.08,12,30,17.5,1,40,0.08,0.25,12,30,3,5,8,3,0,0,0,578,11,263,578,3,5,8,0,0,0,331,5,25,16.7
Benito Ramírez,LW,2023-2024,28,es ESP,Las Palmas,es La Liga,20,384,4.3,2,18,136,196,69.4,2,5,3,5,99,109,90.8,23,37,62.2,8,29,27.6,0.4,0.4,0.5,0.9,0.4,0.9,+0.6,+0.6,0.04,10,0.1,3,30,22.5,1,10,0.1,0.33,3,30,1,1,2,1,0,0,0,245,6,112,245,1,1,2,0,0,0,170,2,11,15.4
Sandro Ramírez,ST,2023-2024,28,es ESP,Las Palmas,es La Liga,27,1808,20.1,21,6,516,690,74.8,32,25,4,54,302,353,85.6,148,178,83.1,47,92,51.1,3.7,3,2.6,6.4,3,5.6,-2.7,-2,0.06,51,0.02,18,35.3,21.7,5,51,0.02,0.06,18,35.3,1,3,4,1,0,1,1,901,17,515,900,1,3,4,0,1,1,574,7,11,38.9
Chris Ramos,ST,2023-2024,26,es ESP,Cádiz,es La Liga,37,2612,29,30,7,274,486,56.4,14,9,1,28,181,275,65.8,65,129,50.4,7,16,43.8,10.1,10.1,1.7,11.7,1.4,11.7,-5.1,-5.1,0.13,76,0.07,27,35.5,12,0,76,0.07,0.19,27,35.5,5,1,6,5,0,0,0,896,51,479,896,5,1,6,0,0,0,469,172,164,51.2
Gonçalo Ramos,ST,2023-2024,22,pt POR,Paris S-G,fr Ligue 1,29,1419,15.8,16,13,304,397,76.6,15,9,0,29,199,245,81.2,67,90,74.4,7,11,63.6,10.9,10.2,2.4,13.3,1.6,12.5,+0.1,-0.2,0.19,54,0.19,20,37,13.2,0,54,0.19,0.5,20,37,11,1,12,10,1,1,0,592,17,282,591,11,1,12,1,1,0,389,30,23,56.6
Jacob Ramsey,LW,2023-2024,22,eng ENG,Aston Villa,eng Premier League,16,853,9.5,8,8,257,322,79.8,10,5,0,28,143,173,82.7,97,115,84.3,9,12,75,2.2,2.2,1,3.2,1.4,3.2,-1.2,-1.2,0.11,19,0.05,4,21.1,15.9,0,19,0.05,0.25,4,21.1,1,1,2,1,0,0,0,433,10,195,433,1,1,2,0,0,0,310,5,3,62.5
Raphinha,LW,2023-2024,26,br BRA,Barcelona,es La Liga,28,1368,15.2,17,11,522,693,75.3,41,32,8,57,261,313,83.4,182,222,82,63,114,55.3,7.4,6.6,5.7,13,5,12.3,-1.4,-1.6,0.12,58,0.09,20,34.5,19.8,10,58,0.09,0.25,20,34.5,6,9,15,5,1,1,0,894,11,484,893,6,9,15,1,1,0,600,9,5,64.3
Marcus Rashford,LW,2023-2024,25,eng ENG,Manchester Utd,eng Premier League,33,2271,25.2,26,7,559,742,75.3,23,30,1,65,351,418,84,139,192,72.4,33,61,54.1,7.4,5.8,2.3,9.7,2.8,8.1,-0.4,-0.8,0.1,60,0.08,19,31.7,16.8,1,60,0.08,0.26,19,31.7,7,2,9,5,2,2,0,1024,24,570,1022,7,2,9,2,2,0,708,15,26,36.6
Giacomo Raspadori,ST,2023-2024,23,it ITA,Napoli,it Serie A,37,1584,17.6,14,23,525,709,74,36,15,5,54,242,289,83.7,198,258,76.7,67,113,59.3,5.9,4.5,4,9.9,3,8.5,-0.9,+0.5,0.07,60,0.08,24,40,18.8,4,60,0.08,0.21,24,40,5,3,8,5,0,1,1,886,5,449,885,5,3,8,0,1,1,638,7,18,28
Raúl,ST,2023-2024,22,es ESP,Osasuna,es La Liga,35,1355,15.1,13,22,191,306,62.4,10,6,0,22,128,190,67.4,46,68,67.6,6,10,60,4.9,4.9,0.6,5.5,0.8,5.5,+1.1,+1.1,0.15,33,0.18,12,36.4,11.6,0,33,0.18,0.5,12,36.4,6,1,7,6,0,0,0,455,12,224,455,6,1,7,0,0,0,285,50,69,42
Abderrahman Rebbach,LW,2023-2024,24,dz ALG,Alavés,es La Liga,23,722,8,6,17,124,225,55.1,18,6,3,14,63,84,75,40,67,59.7,17,45,37.8,0.8,0.8,1.8,2.6,1.7,2.6,+0.2,+0.2,0.05,17,0.06,4,23.5,19.4,1,17,0.06,0.25,4,23.5,1,0,1,1,0,0,0,343,6,198,343,1,0,1,0,0,0,179,7,13,35
Nathan Redmond,RW,2023-2024,29,eng ENG,Burnley,eng Premier League,12,142,1.6,0,12,48,73,65.8,3,4,1,8,30,36,83.3,11,19,57.9,4,9,44.4,0,0,0.3,0.3,0.4,0.3,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,88,3,50,88,0,0,0,0,0,0,71,1,1,50
Bobby Reid,RW,2023-2024,30,jm JAM,Fulham,eng Premier League,33,1423,15.8,17,16,364,487,74.7,17,17,5,47,211,240,87.9,112,157,71.3,17,37,45.9,4.6,4.6,1.8,6.4,1.2,6.4,+1.4,+1.4,0.14,33,0.18,8,24.2,15.7,0,33,0.18,0.75,8,24.2,6,2,8,6,0,0,0,671,23,277,671,6,2,8,0,0,0,474,13,24,35.1
Mateo Retegui,ST,2023-2024,24,it ITA,Genoa,it Serie A,29,2216,24.6,26,3,265,412,64.3,11,5,0,17,177,233,76,61,104,58.7,6,15,40,5.8,5,0.7,6.6,0.6,5.8,+1.2,+1.0,0.08,62,0.1,22,35.5,14.3,0,62,0.1,0.27,22,35.5,7,2,9,6,1,1,0,685,33,308,684,7,2,9,1,1,0,381,60,61,49.6
Gio Reyna,RW,2023-2024,20,us USA,2 Teams,2 Comps,20,515,5.7,3,17,284,333,85.3,14,9,2,32,174,186,93.5,91,108,84.3,12,20,60,1.1,1.1,1.2,0.8,1.5,2.4,-1.1,-1.1,0.09,13,0,4,30.8,18.9,0,13,0,0,4,30.8,0,1,1,0,0,0,0,412,11,187,412,0,1,1,0,0,0,317,11,14,44
Richarlison,ST,2023-2024,26,br BRA,Tottenham,eng Premier League,28,1491,16.6,18,10,267,392,68.1,15,13,1,38,153,193,79.3,85,119,71.4,10,15,66.7,9.6,9.6,2.1,11.7,1.4,11.7,+1.4,+1.4,0.15,62,0.18,25,40.3,12.9,0,62,0.18,0.44,25,40.3,11,4,15,11,0,0,0,652,33,322,652,11,4,15,0,0,0,360,25,57,30.5
Luis Rioja,LW,2023-2024,29,es ESP,Alavés,es La Liga,37,2498,27.8,31,6,551,855,64.4,41,38,19,77,280,351,79.8,193,279,69.2,56,133,42.1,6.1,3,3.9,10,4.2,6.9,-1.1,-1,0.06,53,0.04,15,28.3,21.6,4,53,0.04,0.13,15,28.3,5,4,9,2,3,4,1,1123,24,619,1119,5,4,9,3,4,1,757,10,23,30.3
Matt Ritchie,RW,2023-2024,33,sct SCO,Newcastle Utd,eng Premier League,13,128,1.4,0,13,70,93,75.3,0,3,0,8,45,53,84.9,22,26,84.6,2,9,22.2,1,1,0,1,0.1,1,0,0,0.16,6,0.17,4,66.7,12,0,6,0.17,0.25,4,66.7,1,0,1,1,0,0,0,125,6,57,125,1,0,1,0,0,0,91,0,3,0
Sergio Rodelas,LW,2023-2024,18,es ESP,Granada,es La Liga,3,122,1.4,2,1,27,33,81.8,2,1,1,1,16,17,94.1,8,10,80,1,2,50,0,0,1.1,1.2,0.8,1.2,0,0,0.02,2,0,0,0,27.3,0,2,0,,0,0,0,1,1,0,0,0,0,53,0,24,53,0,1,1,0,0,0,30,0,2,0
Rodri,RW,2023-2024,23,es ESP,Betis,es La Liga,29,1051,11.7,9,20,449,570,78.8,15,32,6,65,258,286,90.2,144,183,78.7,27,48,56.3,1.1,1.1,1.2,2.2,2.2,2.2,-1.1,-1.1,0.06,18,0,5,27.8,18.6,0,18,0,0,5,27.8,0,0,0,0,0,0,0,711,3,299,711,0,0,0,0,0,0,544,0,9,0
Álvaro Rodríguez,ST,2023-2024,19,uy URU,Real Madrid,es La Liga,1,1,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,
Jay Rodriguez,ST,2023-2024,34,eng ENG,Burnley,eng Premier League,21,822,9.1,7,14,142,216,65.7,4,2,0,17,89,119,74.8,36,52,69.2,9,27,33.3,3.5,2.7,0.2,3.7,0.1,2.9,-1.5,-1.7,0.13,21,0.05,7,33.3,12.9,0,21,0.05,0.14,7,33.3,2,1,3,1,1,1,0,314,11,101,313,2,1,3,1,1,0,216,21,38,35.6
Rodrygo,RW,2023-2024,22,br BRA,Real Madrid,es La Liga,34,2380,26.4,28,6,883,1007,87.7,46,44,4,90,639,683,93.6,166,202,82.2,19,33,57.6,11.7,10.9,4,15.7,4.2,14.9,-1.7,-0.9,0.13,86,0.12,35,40.7,15.2,4,86,0.12,0.29,35,40.7,10,5,15,10,0,1,1,1352,3,905,1351,10,5,15,0,1,1,961,5,21,19.2
Isaac Romero,ST,2023-2024,23,es ESP,Sevilla,es La Liga,14,1039,11.5,14,0,146,209,69.9,11,9,1,16,83,105,79,46,64,71.9,5,12,41.7,7.3,7.3,1.7,9,1,9,-3.3,-3.3,0.17,42,0.1,17,40.5,14.8,0,42,0.1,0.24,17,40.5,4,4,8,4,0,0,0,370,9,202,370,4,4,8,0,0,0,187,16,19,45.7
Luka Romero,RW,2023-2024,18,ar ARG,2 Teams,2 Comps,17,526,5.8,5,12,170,187,90.9,2,3,1,17,113,120,94.2,48,53,90.6,1,1,100,1.4,1.4,0.1,0.1,0.2,1.5,+1.6,+1.6,0.17,9,0.33,3,33.3,15.2,0,9,0.33,1,3,33.3,3,0,3,3,0,0,0,274,6,90,274,3,0,3,0,0,0,182,3,7,30
Vitor Roque,ST,2023-2024,18,br BRA,Barcelona,es La Liga,14,328,3.6,2,12,49,67,73.1,1,0,0,2,34,41,82.9,11,15,73.3,1,1,100,2.5,2.5,0,2.6,0,2.6,-0.5,-0.5,0.2,13,0.15,6,46.2,13.7,0,13,0.15,0.33,6,46.2,2,0,2,2,0,0,0,126,5,74,126,2,0,2,0,0,0,65,3,6,33.3
Emmanuel Sabbi,LW,2023-2024,25,us USA,Le Havre,fr Ligue 1,30,1584,17.6,18,12,258,368,70.1,10,9,3,36,147,190,77.4,82,112,73.2,10,20,50,4.1,2.5,1.4,5.6,1.1,4,+0.9,+0.5,0.09,29,0.1,10,34.5,16.4,0,29,0.1,0.3,10,34.5,5,1,6,3,2,2,0,630,17,272,628,5,1,6,2,2,0,353,12,33,26.7
Umar Sadiq,ST,2023-2024,26,ng NGA,Real Sociedad,es La Liga,26,1077,12,12,14,131,192,68.2,10,4,1,13,74,96,77.1,42,58,72.4,6,12,50,3.6,3.6,1.1,4.7,0.9,4.7,-0.6,-0.6,0.12,33,0.09,10,30.3,14.7,0,33,0.09,0.3,10,30.3,3,1,4,3,0,0,0,363,8,206,363,3,1,4,0,0,0,176,29,51,36.3
Alexis Saelemaekers,ST,2023-2024,24,be BEL,Bologna,it Serie A,30,1887,21,21,9,786,1008,78,44,35,5,77,431,487,88.5,233,288,80.9,77,133,57.9,2.6,2.6,2.8,5.5,3.5,5.5,+1.4,+1.4,0.09,29,0.14,10,34.5,23.2,4,29,0.14,0.4,10,34.5,4,2,6,4,0,0,0,1271,7,558,1271,4,2,6,0,0,0,908,8,7,53.3
Wesley Saïd,ST,2023-2024,28,fr FRA,Lens,fr Ligue 1,27,1020,11.3,11,16,193,268,72,12,12,2,26,101,132,76.5,55,79,69.6,15,26,57.7,5.7,5.7,0.9,6.6,1.2,6.6,+1.3,+1.3,0.13,45,0.16,18,40,13.6,0,45,0.16,0.39,18,40,7,1,8,7,0,0,0,386,2,209,386,7,1,8,0,0,0,239,8,23,25.8
Bukayo Saka,RW,2023-2024,21,eng ENG,Arsenal,eng Premier League,35,2919,32.4,35,0,1143,1512,75.6,91,73,12,126,705,793,88.9,331,427,77.5,80,183,43.7,15.5,10.8,10.5,26,11,21.2,+0.5,-0.8,0.11,102,0.1,31,30.4,16.3,0,102,0.1,0.32,31,30.4,16,9,25,10,6,6,0,1952,37,1310,1946,16,9,25,6,6,0,1365,23,36,39
Ibrahim Salah,LW,2023-2024,21,ma MAR,Rennes,fr Ligue 1,23,524,5.8,4,19,17,0.24,0.44,9,15.5,0,3.1,3.6,1.2,3.6,+0.9,+0.9,+0.5,0.19,17,0.24,0.44,9,52.9,15.5,0,341,14,59,159,18,341,1,5,4,0,0,0,177,232,76.3,7,2,18,2754,612,97,111,87.4,60,12,52.2,4,1,5,0,0,0,230,4,1,5
Mohamed Salah,RW,2023-2024,31,eg EGY,Liverpool,eng Premier League,32,2534,28.2,28,4,107,0.12,0.28,47,15.5,1,21.2,33,7.5,27.3,-3.2,-2.5,-1.8,0.15,107,0.12,0.28,47,43.9,15.5,1,1359,4,47,866,241,1352,10,28,13,5,7,2,737,1010,73,68,6,147,10826,3213,433,510,84.9,234,43,66.2,18,10,28,5,7,2,968,18,10,28
