Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Reiss Nelson,RW,2023-2024,23,eng ENG,Arsenal,eng Premier League,15,268,3,1,14,127,144,88.2,5,6,2,5,80,83,96.4,31,36,86.1,6,12,50,0.2,0.2,0.6,0.8,0.4,0.8,-0.2,-0.2,0.05,4,0,1,25,19.7,0,4,0,0,1,25,0,0,0,0,0,0,0,188,8,96,188,0,0,0,0,0,0,132,0,5,0
Pedro Neto,RW,2023-2024,23,pt POR,Wolves,eng Premier League,20,1516,16.8,18,2,538,722,74.5,38,29,12,54,308,354,87,154,210,73.3,49,98,50,3.5,3.5,4.4,7.9,3.7,7.9,-1.5,-1.5,0.1,36,0.06,12,33.3,16.8,3,36,0.06,0.17,12,33.3,2,9,11,2,0,0,0,904,4,505,904,2,9,11,0,0,0,645,4,18,18.2
Jessic Ngankam,ST,2023-2024,23,de GER,2 Teams,de Bundesliga,22,464,5.2,4,18,46,69,66.7,5,1,0,2,30,42,71.4,11,18,61.1,0,0,,2.1,1.3,0.3,0.9,0.7,1.6,-2.1,-1.3,0.09,14,0,5,35.7,16.9,0,14,0,0,5,35.7,0,0,0,0,0,1,1,142,2,70,141,0,0,0,0,1,1,64,5,21,19.2
Cyril Ngonge,RW,2023-2024,23,be BEL,2 Teams,it Serie A,32,1746,19.4,18,14,341,505,67.5,30,18,10,55,162,212,76.4,128,170,75.3,43,84,51.2,5.2,4.4,2.5,5.9,2.1,6.9,+1.8,+2.6,0.07,59,0.12,19,32.2,18,6,59,0.12,0.37,19,32.2,7,2,9,7,0,0,0,765,18,419,765,7,2,9,0,0,0,455,28,44,38.9
Steve Ngoura,ST,2023-2024,18,fr FRA,Le Havre,fr Ligue 1,12,223,2.5,1,11,33,50,66,1,2,0,9,15,22,68.2,16,24,66.7,2,3,66.7,0.5,0.5,0.1,0.6,0.2,0.6,-0.5,-0.5,0.07,7,0,2,28.6,16.8,0,7,0,0,2,28.6,0,1,1,0,0,0,0,83,3,41,83,0,1,1,0,0,0,48,3,10,23.1
M'Baye Niang,ST,2023-2024,28,sn SEN,Empoli,it Serie A,14,708,7.9,5,9,90,140,64.3,9,3,2,11,50,72,69.4,28,39,71.8,8,18,44.4,5.4,2.3,0.9,6.3,0.2,3.2,+0.6,-0.3,0.11,20,0.1,5,25,16.9,0,20,0.1,0.4,5,25,6,1,7,2,4,4,0,253,15,118,249,6,1,7,4,4,0,132,24,38,38.7
Shamar Nicholson,ST,2023-2024,26,jm JAM,Clermont Foot,fr Ligue 1,26,1484,16.5,17,9,272,386,70.5,18,6,0,33,143,200,71.5,87,126,69,20,25,80,5.9,4.4,1.1,7,1,5.4,-1.9,-1.4,0.12,38,0.08,17,44.7,15.9,1,38,0.08,0.18,17,44.7,4,3,7,3,1,2,1,536,18,223,534,4,3,7,1,2,1,353,47,60,43.9
Justin Njinmah,ST,2023-2024,22,de GER,Werder Bremen,de Bundesliga,24,1016,11.3,10,14,146,215,67.9,13,9,1,13,89,121,73.6,43,58,74.1,6,9,66.7,4.9,4.9,2.4,7.3,2.2,7.3,+1.1,+1.1,0.15,33,0.18,14,42.4,16.2,0,33,0.18,0.43,14,42.4,6,2,8,6,0,0,0,378,5,206,378,6,2,8,0,0,0,211,8,15,34.8
Eddie Nketiah,ST,2023-2024,24,eng ENG,Arsenal,eng Premier League,27,1082,12,10,17,168,215,78.1,9,5,0,20,98,118,83.1,60,72,83.3,3,4,75,4.5,4.5,0.8,5.4,0.7,5.4,+0.5,+0.5,0.12,38,0.13,12,31.6,12.7,0,38,0.13,0.42,12,31.6,5,2,7,5,0,0,0,371,5,207,371,5,2,7,0,0,0,199,23,27,46
Christopher Nkunku,SS,2023-2024,25,fr FRA,Chelsea,eng Premier League,11,443,4.9,2,9,159,183,86.9,3,7,0,19,101,109,92.7,39,43,90.7,4,10,40,2.3,2.3,0.2,2.5,0.5,2.5,+0.7,+0.7,0.14,16,0.19,7,43.8,11.4,0,16,0.19,0.43,7,43.8,3,0,3,3,0,0,0,244,5,128,244,3,0,3,0,0,0,166,10,6,62.5
Lukas Nmecha,LW,2023-2024,24,de GER,Wolfsburg,de Bundesliga,3,42,0.5,0,3,6,12,50,1,0,0,1,2,6,33.3,1,1,100,1,1,100,0.1,0.1,0,0.2,0,0.2,+0.9,+0.9,0.14,1,1,1,100,7.8,0,1,1,1,1,100,1,0,1,1,0,0,0,22,0,14,22,1,0,1,0,0,0,11,3,3,50
Arnaud Nordin,RW,2023-2024,25,fr FRA,Montpellier,fr Ligue 1,20,1246,13.8,15,5,304,390,77.9,21,22,4,52,151,182,83,113,134,84.3,21,34,61.8,3.6,3.6,3,6.5,1.4,6.5,+1.4,+1.4,0.12,29,0.17,11,37.9,16,0,29,0.17,0.45,11,37.9,5,3,8,5,0,0,0,551,6,271,551,5,3,8,0,0,0,376,9,10,47.4
