,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Att,Launch%,AvgLen,Opp,Stp,Stp%,PSxG,PSxG/SoT,PSxG+/-,PKatt,PKA,PKsv,PKm,Save%.1,#OPA,AvgDist
25,Marko Dmitrović,GK,2023-2024,31,Serbia,Sevilla,La Liga,13,1170,13.0,13,0,25,68,44,66.2,2,2,9,2,15.4,79,58.2,45.9,152,11,7.2,22.6,0.3,-1.4,2,2,0,0,0.0,15,15.4
26,Gianluigi Donnarumma,GK,2023-2024,24,Italy,Paris S-G,Ligue 1,25,2169,24.1,25,0,20,110,89,84.5,18,6,1,10,40.0,131,16.0,23.0,294,15,5.1,30.3,0.25,10.3,4,3,1,0,25.0,23,13.2
27,Martin Dúbravka,GK,2023-2024,34,Slovakia,Newcastle Utd,Premier League,23,1985,22.1,22,1,42,130,87,70.8,9,4,9,5,22.7,169,53.3,39.1,296,20,6.8,42.2,0.29,0.2,5,4,1,0,20.0,22,12.9
28,Ederson,GK,2023-2024,29,Brazil,Manchester City,Premier League,33,2785,30.9,33,0,27,82,56,70.7,24,6,3,10,30.3,114,36.0,36.3,247,25,10.1,27.2,0.3,1.2,3,3,0,0,0.0,50,17.3
29,Łukasz Fabiański,GK,2023-2024,38,Poland,West Ham,Premier League,10,721,8.0,7,3,21,53,33,66.0,3,1,3,1,14.3,56,57.1,45.1,114,8,7.0,19.8,0.33,-0.2,3,3,0,0,0.0,1,7.6
30,Wladimiro Falcone,GK,2023-2024,28,Italy,Lecce,Serie A,38,3420,38.0,38,0,54,173,119,71.7,8,14,16,7,18.4,248,44.0,35.2,522,20,3.8,53.2,0.28,0.2,6,5,1,0,16.7,20,11.0
31,Aitor Fernández,GK,2023-2024,32,Spain,Osasuna,La Liga,7,551,6.1,6,1,9,20,11,60.0,0,2,4,1,16.7,22,68.2,49.7,69,1,1.4,6.1,0.26,-2.9,1,1,0,0,0.0,15,24.8
32,André Ferreira,GK,2023-2024,27,Portugal,Granada,La Liga,15,1340,14.9,14,1,29,77,49,66.2,0,5,9,0,0.0,110,58.2,44.3,195,6,3.1,27.8,0.33,-0.2,3,3,0,0,0.0,13,12.6
33,Mark Flekken,GK,2023-2024,30,Netherlands,Brentford,Premier League,37,3285,36.5,37,0,63,176,113,65.3,10,9,18,7,18.9,289,60.9,46.7,568,44,7.7,55.4,0.31,-7.6,2,2,0,0,0.0,37,12.6
34,Wes Foderingham,GK,2023-2024,32,England,Sheffield Utd,Premier League,30,2649,29.4,29,1,79,204,130,63.7,3,4,22,1,3.4,262,73.3,52.3,468,28,6.0,70.5,0.33,-3.5,6,5,0,1,0.0,42,14.7
35,Paulo Gazzaniga,GK,2023-2024,31,Argentina,Girona,La Liga,38,3420,38.0,38,0,46,168,121,75.6,25,6,7,12,31.6,246,52.0,44.8,534,41,7.7,51.1,0.28,5.1,7,5,1,1,16.7,33,13.2
36,Luca Gemello,GK,2023-2024,23,Italy,Torino,Serie A,2,180,2.0,2,0,5,9,4,55.6,0,0,2,0,0.0,12,8.3,19.7,24,3,12.5,3.6,0.31,-1.4,1,1,0,0,0.0,3,12.0
37,Mathieu Gorgelin,GK,2023-2024,32,France,Le Havre,Ligue 1,1,90,1.0,1,0,2,5,3,80.0,0,0,1,0,0.0,2,50.0,32.5,12,0,0.0,2.9,0.39,0.9,1,1,0,0,0.0,1,14.5
38,Vicente Guaita,GK,2023-2024,36,Spain,Celta Vigo,La Liga,27,2403,26.7,26,1,39,120,83,70.8,8,7,11,6,23.1,213,58.2,45.3,420,23,5.5,39.7,0.31,2.7,5,4,0,1,0.0,27,13.3
39,Dean Henderson,GK,2023-2024,26,England,Crystal Palace,Premier League,18,1620,18.0,18,0,30,86,57,66.3,8,4,6,4,22.2,105,65.7,47.0,246,5,2.0,27.4,0.31,-1.6,1,1,0,0,0.0,17,13.8
40,Sergio Herrera,GK,2023-2024,30,Spain,Osasuna,La Liga,32,2869,31.9,32,0,47,132,84,64.4,12,7,13,9,28.1,222,71.2,51.2,468,29,6.2,45.6,0.34,-1.4,1,0,1,0,100.0,43,16.4
41,Sam Johnstone,GK,2023-2024,30,England,Crystal Palace,Premier League,20,1796,20.0,20,0,27,67,41,62.7,5,6,9,6,30.0,141,75.2,52.8,339,24,7.1,20.0,0.27,-6.0,2,2,0,0,0.0,12,11.2
42,Filip Jørgensen,GK,2023-2024,21,Denmark,Villarreal,La Liga,36,3240,36.0,36,0,63,205,143,72.2,13,10,13,6,16.7,245,41.6,37.8,650,34,5.2,59.8,0.27,-2.2,6,6,0,0,0.0,36,13.4
43,Thomas Kaminski,GK,2023-2024,30,Belgium,Luton Town,Premier League,38,3405,37.8,38,0,85,221,140,63.3,6,8,24,2,5.3,341,66.0,47.5,558,16,2.9,77.6,0.34,-3.4,4,4,0,0,0.0,76,20.5
44,Gregor Kobel,GK,2023-2024,25,Switzerland,Dortmund,Bundesliga,27,2365,26.3,27,0,34,118,84,75.4,14,8,5,7,25.9,165,43.0,38.5,359,7,1.9,36.8,0.28,3.8,6,5,1,0,16.7,17,12.5
45,Philipp Köhn,GK,2023-2024,25,Switzerland,Monaco,Ligue 1,22,1980,22.0,22,0,32,97,65,72.2,11,5,6,5,22.7,130,57.7,43.5,282,22,7.8,32.0,0.27,1.0,6,5,1,0,16.7,19,11.3
46,Alban Lafont,GK,2023-2024,24,France,Nantes,Ligue 1,28,2496,27.7,28,0,43,118,75,70.3,7,4,17,7,25.0,166,60.8,46.9,385,33,8.6,42.4,0.31,-0.6,8,8,0,0,0.0,33,13.0
47,Benjamin Lecomte,GK,2023-2024,32,France,Montpellier,Ligue 1,30,2700,30.0,30,0,37,137,102,75.9,9,11,10,10,33.3,221,41.2,36.4,471,29,6.2,36.8,0.24,2.8,5,4,1,0,20.0,13,9.5
48,Jeremías Ledesma,GK,2023-2024,30,Argentina,Cádiz,La Liga,34,3048,33.9,34,0,47,151,104,70.2,6,12,16,9,26.5,284,85.6,62.1,526,53,10.1,46.4,0.3,-0.6,2,2,0,0,0.0,45,12.9
49,Bernd Leno,GK,2023-2024,31,Germany,Fulham,Premier League,38,3420,38.0,38,0,61,190,133,72.1,13,8,17,10,26.3,201,56.7,44.7,472,19,4.0,55.7,0.26,-1.3,8,8,0,0,0.0,40,14.2
50,Anthony Lopes,GK,2023-2024,32,Portugal,Lyon,Ligue 1,31,2790,31.0,31,0,49,155,106,71.0,16,4,11,9,29.0,196,38.8,34.1,438,36,8.2,43.5,0.25,-4.5,6,4,1,1,20.0,28,12.4
51,Pau López,GK,2023-2024,28,Spain,Marseille,Ligue 1,33,2939,32.7,33,0,39,124,86,71.0,13,11,9,7,21.2,149,44.3,37.3,406,15,3.7,32.6,0.24,-5.4,3,3,0,0,0.0,25,13.9
52,Andriy Lunin,GK,2023-2024,24,Ukraine,Real Madrid,La Liga,21,1890,21.0,21,0,17,65,48,75.4,16,5,0,10,47.6,116,20.7,28.7,283,27,9.5,21.2,0.31,4.2,1,1,0,0,0.0,23,12.2
53,Mike Maignan,GK,2023-2024,28,France,Milan,Serie A,29,2609,29.0,29,0,34,120,86,77.5,19,5,5,10,34.5,147,39.5,38.0,339,37,10.9,29.8,0.19,-4.2,7,7,0,0,0.0,36,15.2
54,Giorgi Mamardashvili,GK,2023-2024,22,Georgia,Valencia,La Liga,37,3284,36.5,37,0,41,145,103,73.8,13,10,14,13,35.1,245,71.8,53.4,530,45,8.5,49.2,0.31,10.2,6,3,3,0,50.0,31,12.3
55,Steve Mandanda,GK,2023-2024,38,France,Rennes,Ligue 1,34,3060,34.0,34,0,46,147,104,70.7,12,10,12,7,20.6,192,58.3,43.1,451,36,8.0,38.2,0.25,-4.8,3,3,0,0,0.0,37,15.1
56,Diego Mariño,GK,2023-2024,33,Spain,Almería,La Liga,1,90,1.0,1,0,2,4,2,100.0,0,0,1,0,0.0,2,0.0,16.5,6,0,0.0,2.1,0.02,0.1,2,2,0,0,0.0,2,22.7
57,Unai Marrero,GK,2023-2024,21,Spain,Real Sociedad,La Liga,2,142,1.6,1,1,3,5,2,60.0,0,0,1,0,0.0,8,100.0,63.4,27,1,3.7,2.9,0.37,-0.1,1,1,0,0,0.0,4,20.1
58,Emiliano Martínez,GK,2023-2024,30,Argentina,Aston Villa,Premier League,34,3015,33.5,34,0,48,139,95,66.2,19,8,7,8,23.5,159,40.9,36.1,373,45,12.1,50.8,0.37,6.8,1,1,0,0,0.0,69,17.5
59,Josep Martinez,GK,2023-2024,25,Spain,Genoa,Serie A,36,3239,36.0,36,0,43,130,87,69.2,11,13,12,8,22.2,171,66.7,49.4,580,45,7.8,38.9,0.28,-3.1,4,3,1,0,25.0,40,12.2
60,Marc Martínez,GK,2023-2024,33,Spain,Granada,La Liga,3,270,3.0,3,0,11,23,12,60.9,0,0,3,0,0.0,24,58.3,46.3,30,0,0.0,12.1,0.46,1.1,2,2,0,0,0.0,10,23.0
61,Luís Maximiano,GK,2023-2024,24,Portugal,Almería,La Liga,33,2970,33.0,33,0,63,175,111,66.3,2,11,20,6,18.2,264,61.0,46.3,551,25,4.5,59.7,0.32,-3.3,7,4,1,2,20.0,38,14.5
62,Alex Meret,GK,2023-2024,26,Italy,Napoli,Serie A,31,2773,30.8,31,0,40,104,62,63.5,10,13,8,5,16.1,137,22.6,29.5,334,9,2.7,38.0,0.33,-2.0,4,2,2,0,50.0,29,15.4
63,Vanja Milinković-Savić,GK,2023-2024,26,Serbia,Torino,Serie A,36,3240,36.0,36,0,31,134,103,81.3,13,14,9,18,50.0,239,86.2,66.6,407,38,9.3,33.8,0.21,2.8,6,6,0,0,0.0,37,13.6
64,Lorenzo Montipò,GK,2023-2024,27,Italy,Hellas Verona,Serie A,37,3330,37.0,37,0,49,153,105,69.3,9,10,18,8,21.6,305,78.7,56.4,487,22,4.5,40.7,0.26,-7.3,2,2,0,0,0.0,43,15.3
65,Kevin Müller,GK,2023-2024,32,Germany,Heidenheim,Bundesliga,34,3060,34.0,34,0,55,174,121,72.4,10,12,12,6,17.6,316,58.5,46.1,495,24,4.8,53.6,0.27,1.6,10,7,1,2,12.5,17,13.2
66,Arijanet Muric,GK,2023-2024,24,Kosovo,Burnley,Premier League,10,900,10.0,10,0,16,78,62,80.8,2,4,4,0,0.0,33,60.6,45.1,143,20,14.0,21.7,0.26,6.7,2,1,1,0,50.0,31,17.2
67,Juan Musso,GK,2023-2024,29,Argentina,Atalanta,Serie A,11,990,11.0,11,0,12,34,23,70.6,6,1,4,6,54.5,70,67.1,48.6,110,10,9.1,9.8,0.23,-1.2,2,2,0,0,0.0,16,16.7
68,Yvon Mvogo,GK,2023-2024,29,Switzerland,Lorient,Ligue 1,34,3060,34.0,34,0,66,207,142,72.0,7,8,19,4,11.8,228,48.2,38.8,591,24,4.1,63.1,0.27,-1.9,8,8,0,0,0.0,13,8.9
69,Keylor Navas,GK,2023-2024,36,Costa Rica,Paris S-G,Ligue 1,4,360,4.0,4,0,6,12,6,58.3,2,2,0,1,25.0,18,5.6,22.2,37,0,0.0,4.7,0.31,-1.3,1,1,0,0,0.0,5,16.3
70,Massamba Ndiaye,GK,2023-2024,21,Senegal,Clermont Foot,Ligue 1,4,360,4.0,4,0,6,24,18,79.2,1,2,1,0,0.0,24,45.8,35.1,75,7,9.3,7.8,0.29,1.8,1,1,0,0,0.0,3,10.1
71,Neto,GK,2023-2024,34,Brazil,Bournemouth,Premier League,32,2880,32.0,32,0,55,165,110,69.7,10,9,13,7,21.9,223,57.0,44.2,413,26,6.3,55.2,0.31,1.2,6,5,1,0,16.7,34,13.7
72,Manuel Neuer,GK,2023-2024,37,Germany,Bayern Munich,Bundesliga,23,2053,22.8,23,0,33,93,59,66.7,16,1,6,6,26.1,97,14.4,26.0,231,9,3.9,29.1,0.29,-3.9,3,2,1,0,33.3,32,17.5
73,Moritz Nicolas,GK,2023-2024,25,Germany,Gladbach,Bundesliga,27,2430,27.0,27,0,49,160,111,71.9,6,11,10,4,14.8,161,52.2,42.5,460,21,4.6,45.1,0.26,-3.9,4,4,0,0,0.0,22,13.2
74,Alexander Nübel,GK,2023-2024,26,Germany,Stuttgart,Bundesliga,30,2700,30.0,30,0,36,107,74,69.2,20,3,7,11,36.7,112,32.1,32.7,341,30,8.8,30.8,0.27,-2.2,3,3,0,0,0.0,57,17.3
75,Ørjan Nyland,GK,2023-2024,32,Norway,Sevilla,La Liga,24,2160,24.0,24,0,27,104,78,76.9,8,9,7,6,25.0,201,78.6,56.4,359,20,5.6,29.8,0.26,3.8,3,3,0,0,0.0,17,13.5
76,Jan Oblak,GK,2023-2024,30,Slovenia,Atlético Madrid,La Liga,38,3420,38.0,38,0,43,144,101,70.8,24,4,10,13,34.2,283,46.6,38.7,579,36,6.2,39.8,0.28,-3.2,2,1,0,1,0.0,22,11.8
77,Guillermo Ochoa,GK,2023-2024,38,Mexico,Salernitana,Serie A,21,1890,21.0,21,0,44,115,72,67.8,0,6,15,1,4.8,171,59.1,44.4,342,9,2.6,37.2,0.27,-5.8,7,7,0,0,0.0,11,13.6
78,Maduka Okoye,GK,2023-2024,23,Nigeria,Udinese,Serie A,21,1890,21.0,21,0,25,89,65,75.3,5,8,8,5,23.8,161,64.0,49.0,365,7,1.9,23.9,0.24,-0.1,3,3,0,0,0.0,2,8.7
79,Robin Olsen,GK,2023-2024,33,Sweden,Aston Villa,Premier League,5,405,4.5,4,1,13,34,20,61.8,1,0,3,0,0.0,27,44.4,35.9,46,6,13.0,11.1,0.3,-1.9,1,0,1,0,100.0,1,8.4
80,Jonas Omlin,GK,2023-2024,29,Switzerland,Gladbach,Bundesliga,7,630,7.0,7,0,18,47,29,66.0,1,2,4,0,0.0,34,50.0,41.8,78,7,9.0,13.3,0.24,-4.7,2,2,0,0,0.0,12,15.3
81,André Onana,GK,2023-2024,27,Cameroon,Manchester Utd,Premier League,38,3420,38.0,38,0,58,203,146,74.9,18,6,14,9,23.7,162,58.0,44.6,601,42,7.0,59.1,0.27,2.1,7,7,0,0,0.0,37,12.9
82,Alexandre Oukidja,GK,2023-2024,35,Algeria,Metz,Ligue 1,34,2987,33.2,34,0,57,185,128,72.4,8,5,21,6,17.6,292,89.0,59.0,569,46,8.1,52.3,0.26,-4.7,6,6,0,0,0.0,22,10.3
83,Rui Patrício,GK,2023-2024,35,Portugal,Roma,Serie A,23,2070,23.0,23,0,27,74,49,66.2,11,5,7,6,26.1,137,40.9,34.9,309,16,5.2,23.4,0.29,-1.6,3,2,0,1,0.0,8,11.7
84,Jiří Pavlenka,GK,2023-2024,31,Czech Republic,Werder Bremen,Bundesliga,7,630,7.0,7,0,17,38,21,60.5,2,0,5,1,14.3,69,26.1,32.5,109,7,6.4,13.1,0.3,-3.9,2,2,0,0,0.0,9,14.4
85,Đorđe Petrović,GK,2023-2024,23,Serbia,Chelsea,Premier League,23,1987,22.1,22,1,38,108,73,65.7,13,5,4,5,22.7,149,46.3,37.8,312,20,6.4,28.3,0.26,-6.7,2,1,0,1,0.0,20,12.7
86,Jordan Pickford,GK,2023-2024,29,England,Everton,Premier League,38,3420,38.0,38,0,51,165,117,73.9,13,9,16,13,34.2,273,60.8,48.3,570,30,5.3,52.4,0.28,4.4,8,8,0,0,0.0,54,15.9
87,Ivan Provedel,GK,2023-2024,29,Italy,Lazio,Serie A,30,2699,30.0,30,0,33,119,86,73.9,12,6,12,9,30.0,176,35.2,37.0,377,15,4.0,31.3,0.24,-1.7,3,2,0,1,0.0,18,13.0
88,Predrag Rajković,GK,2023-2024,27,Serbia,Mallorca,La Liga,36,3240,36.0,36,0,43,138,95,71.7,7,15,14,9,25.0,300,73.0,54.3,502,33,6.6,41.8,0.27,-0.2,5,4,1,0,20.0,28,13.7
89,Federico Ravaglia,GK,2023-2024,23,Italy,Bologna,Serie A,6,535,5.9,6,0,3,18,13,83.3,4,1,1,4,66.7,34,52.9,41.0,73,1,1.4,5.5,0.25,2.5,1,0,1,0,100.0,4,17.1
90,David Raya,GK,2023-2024,27,Spain,Arsenal,Premier League,32,2880,32.0,32,0,24,69,45,68.1,23,4,5,16,50.0,96,62.5,47.5,329,40,12.2,20.4,0.26,-2.6,3,2,1,0,33.3,50,17.9
91,Álex Remiro,GK,2023-2024,28,Spain,Real Sociedad,La Liga,37,3275,36.4,37,0,36,130,94,76.2,16,12,9,15,40.5,163,65.6,50.9,383,18,4.7,37.9,0.26,2.9,6,5,1,0,16.7,54,16.9
92,Guillaume Restes,GK,2023-2024,18,France,Toulouse,Ligue 1,34,3060,34.0,34,0,46,139,93,69.8,11,10,13,6,17.6,193,48.2,38.9,490,7,1.4,45.3,0.3,-0.7,4,4,0,0,0.0,16,10.7
93,Manuel Riemann,GK,2023-2024,34,Germany,Bochum,Bundesliga,33,2970,33.0,33,0,70,185,116,67.0,7,12,14,4,12.1,208,61.1,46.9,510,35,6.9,59.6,0.27,-7.4,11,9,2,0,18.2,104,19.8
94,Frederik Rønnow,GK,2023-2024,30,Denmark,Union Berlin,Bundesliga,33,2970,33.0,33,0,56,162,105,68.5,9,6,18,7,21.2,218,63.8,47.4,539,54,10.0,51.7,0.28,-3.3,7,5,2,0,28.6,37,12.9
95,José Sá,GK,2023-2024,30,Portugal,Wolves,Premier League,35,3037,33.7,35,0,58,188,131,73.4,12,7,16,4,11.4,253,56.9,42.6,522,45,8.6,65.9,0.31,8.9,8,8,0,0,0.0,28,12.6
96,Brice Samba,GK,2023-2024,29,France,Lens,Ligue 1,33,2970,33.0,33,0,35,136,101,78.7,14,8,11,14,42.4,170,40.0,33.5,388,32,8.2,42.3,0.27,8.3,8,6,1,1,14.3,39,14.8
97,Robert Sánchez,GK,2023-2024,25,Spain,Chelsea,Premier League,16,1433,15.9,16,0,25,78,52,70.5,5,4,7,3,18.8,91,40.7,33.7,202,19,9.4,24.2,0.28,-0.8,3,2,1,0,33.3,27,15.8
98,Marcel Schuhen,GK,2023-2024,30,Germany,Darmstadt 98,Bundesliga,31,2790,31.0,31,0,76,198,123,62.1,3,7,21,3,9.7,289,62.6,48.5,453,24,5.3,68.0,0.34,-6.0,2,1,1,0,50.0,51,16.5
99,Marvin Schwäbe,GK,2023-2024,28,Germany,Köln,Bundesliga,34,3060,34.0,34,0,60,168,108,66.1,5,12,17,4,11.8,149,30.9,34.3,504,14,2.8,62.0,0.36,2.0,3,3,0,0,0.0,21,13.4
100,Simone Scuffet,GK,2023-2024,27,Italy,Cagliari,Serie A,31,2789,31.0,31,0,55,129,76,59.7,8,10,13,3,9.7,243,64.2,46.9,482,22,4.6,45.1,0.33,-7.9,3,3,0,0,0.0,20,12.1
101,Matz Sels,GK,2023-2024,31,Belgium,Nott'ham Forest,Premier League,35,3150,35.0,35,0,51,123,76,60.2,10,11,14,4,11.4,206,41.7,37.2,480,17,3.5,37.2,0.29,-9.8,2,2,0,0,0.0,23,12.1
102,Rui Silva,GK,2023-2024,29,Portugal,Betis,La Liga,28,2475,27.5,28,0,36,120,85,75.8,10,9,9,9,32.1,183,55.7,43.0,375,31,8.3,37.5,0.26,3.5,8,7,1,0,12.5,34,14.9
103,Marco Silvestri,GK,2023-2024,32,Italy,Udinese,Serie A,17,1530,17.0,17,0,28,68,40,67.6,1,11,5,4,23.5,105,49.5,42.1,282,5,1.8,25.7,0.29,-2.3,6,6,0,0,0.0,7,13.1
104,Unai Simón,GK,2023-2024,26,Spain,Athletic Club,La Liga,36,3182,35.4,36,0,33,122,90,73.8,18,11,7,16,44.4,240,84.6,60.9,450,31,6.9,38.0,0.28,9.0,5,1,3,1,75.0,46,16.3
105,Antonio Sivera,GK,2023-2024,26,Spain,Alavés,La Liga,34,3060,34.0,34,0,38,123,87,75.6,11,8,15,10,29.4,295,67.1,47.8,501,25,5.0,38.4,0.25,2.4,8,8,0,0,0.0,29,13.1
106,Łukasz Skorupski,GK,2023-2024,32,Poland,Bologna,Serie A,32,2880,32.0,32,0,29,106,77,75.5,14,13,5,13,40.6,188,42.0,38.7,432,12,2.8,26.6,0.23,-1.4,6,3,1,2,25.0,15,12.2
107,Yann Sommer,GK,2023-2024,34,Switzerland,Inter,Serie A,34,3060,34.0,34,0,19,98,78,82.7,27,6,1,19,55.9,201,22.9,27.9,395,18,4.6,25.5,0.23,6.5,4,2,1,1,33.3,14,12.1
108,David Soria,GK,2023-2024,30,Spain,Getafe,La Liga,38,3413,37.9,38,0,52,171,118,72.5,10,13,15,10,26.3,310,83.9,57.3,458,17,3.7,53.9,0.29,1.9,7,5,1,1,16.7,62,17.3
109,Alessandro Sorrentino,GK,2023-2024,21,Italy,Monza,Serie A,7,548,6.1,5,2,16,32,16,62.5,0,1,4,0,0.0,42,38.1,36.1,62,3,4.8,14.4,0.34,-1.6,4,4,0,0,0.0,3,16.8
110,Marco Sportiello,GK,2023-2024,31,Italy,Milan,Serie A,7,630,7.0,7,0,11,33,23,69.7,3,3,1,2,28.6,17,23.5,29.1,81,5,6.2,8.9,0.25,-1.1,1,1,0,0,0.0,9,15.4
111,Jason Steele,GK,2023-2024,32,England,Brighton,Premier League,17,1530,17.0,17,0,34,74,42,58.1,5,4,8,2,11.8,54,14.8,18.8,173,7,4.0,25.7,0.32,-6.3,3,3,0,0,0.0,41,20.6
112,Mile Svilar,GK,2023-2024,23,Serbia,Roma,Serie A,15,1350,15.0,15,0,19,77,58,76.6,7,4,4,5,33.3,89,38.2,36.2,208,16,7.7,20.2,0.24,2.2,2,1,1,0,50.0,7,12.0
