Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Koffi Djidji,CB,2023-2024,30,ci CIV,Torino,it Serie A,13,759,8.4,8,5,4,0,0,0,0,0,0,0,372,434,85.7,0,17,0,0,19,6282,2034,154,171,90.1,186,202,92.1,24,44,54.5,309,1128,436,4,4,1,5,2,326,3,8,6,57.1,14,9,9,5,0,3,4,75,1,10,5,5,10,24,20,0
Berat Djimsiti,CB,2023-2024,30,al ALB,Atalanta,it Serie A,37,2832,31.5,32,5,1,0,1,1,0,0,0,0,1454,1661,87.5,7,40,5,1,79,27563,8404,488,555,87.9,808,870,92.9,136,187,72.7,953,4836,2044,6,10,0,7,3,1167,10,92,55,62.6,42,24,29,12,1,19,31,61.3,12,53,33,20,57,99,100,0
Dodô,RB,2023-2024,24,br BRA,Fiorentina,it Serie A,9,523,5.8,7,2,8,0,0,0,0,0,0,0,278,347,80.1,10,25,9,3,39,5196,1670,105,120,87.5,141,168,83.9,29,42,69,244,1563,857,20,10,4,9,1,251,21,4,2,66.7,5,3,1,4,0,2,5,40,3,2,0,2,5,10,11,0
Danilho Doekhi,CB,2023-2024,25,nl NED,Union Berlin,de Bundesliga,24,2160,24,24,0,3,2,0,2,2,0,0,0,738,919,80.3,4,67,9,1,65,13735,5232,273,311,87.8,379,434,87.3,72,146,49.3,585,2763,1599,7,16,1,9,2,726,6,53,42,55.8,34,23,18,16,0,15,21,71.4,6,46,25,21,38,72,111,1
Matt Doherty,RB,2023-2024,31,ie IRL,Wolves,eng Premier League,30,1150,12.8,9,21,8,1,0,1,1,0,0,0,515,653,78.9,12,22,7,1,31,7798,2105,296,348,85.1,174,212,82.1,31,55,56.4,325,1293,597,12,8,3,17,6,481,64,38,33,53.5,31,18,17,10,4,12,23,52.2,11,15,5,10,7,38,47,0
Josh Doig,LB,2023-2024,21,sct SCO,Sassuolo,it Serie A,28,2173,24.1,26,2,5,0,2,2,0,0,0,0,655,929,70.5,19,54,14,11,48,10893,4282,336,387,86.8,255,347,73.5,50,136,36.8,510,3518,1571,53,33,5,36,15,560,67,20,21,48.8,41,26,25,16,0,28,44,63.6,16,43,13,30,20,61,55,1
Carlos Dominguez,CB,2023-2024,22,es ESP,Celta Vigo,es La Liga,22,1584,17.6,18,4,15,0,0,0,0,0,0,0,681,864,78.8,3,72,3,0,63,12595,4749,257,302,85.1,353,398,88.7,63,134,47,592,2792,1490,11,11,1,17,2,629,3,36,30,54.5,33,21,17,9,7,23,37,62.2,14,24,12,12,22,55,78,0
Giulio Donati,CB,2023-2024,33,it ITA,Monza,it Serie A,4,36,0.4,0,4,28,0,0,0,0,0,0,0,38,46,82.6,3,0,1,1,3,656,213,18,21,85.7,18,21,85.7,2,3,66.7,30,120,58,0,2,0,3,0,39,5,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Patrick Dorgu,LB,2023-2024,18,dk DEN,Lecce,it Serie A,32,1564,17.4,17,15,4,2,0,2,2,0,0,0,582,729,79.8,18,31,13,7,49,9119,2695,305,338,90.2,215,266,80.8,40,77,51.9,535,2892,1460,37,34,4,41,20,567,86,27,25,51.9,43,22,22,17,4,22,34,64.7,12,16,5,11,9,52,45,2
Alberto Dossena,CB,2023-2024,24,it ITA,Cagliari,it Serie A,35,2977,33.1,33,2,1,2,4,6,2,0,0,0,1042,1305,79.8,12,71,4,0,89,22274,7809,279,324,86.1,597,680,87.8,158,271,58.3,774,3763,2159,9,6,0,22,10,849,2,118,68,63.4,55,35,43,12,0,32,48,66.7,16,50,27,23,45,100,172,2
Guela Doué,RB,2023-2024,20,ci CIV,Rennes,fr Ligue 1,24,1234,13.7,13,11,7,0,2,2,0,0,0,0,502,669,75,17,47,13,6,53,9050,2831,202,240,84.2,229,297,77.1,55,100,55,509,3429,1708,41,41,9,19,15,442,85,18,19,48.6,28,21,14,12,2,22,32,68.8,10,12,1,11,15,43,65,1
Alfie Doughty,LWB,2023-2024,23,eng ENG,Luton Town,eng Premier League,37,2925,32.5,34,3,0,2,8,10,2,0,0,0,1121,1686,66.5,70,71,43,24,106,20956,8325,496,571,86.9,431,571,75.5,166,426,39,897,5522,2794,94,52,28,51,13,968,164,23,12,65.7,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4
Radu Drăgușin,CB,2023-2024,21,ro ROU,Tottenham,eng Premier League,28,2139,23.8,23,5,9,2,1,3,2,0,0,0,918,1091,84.1,7,32,2,0,37,16093,5154,363,418,86.8,493,541,91.1,49,99,49.5,731,3448,1660,11,8,2,6,5,807,14,67,31,68.4,21,14,14,6,1,11,12,91.7,1,23,16,7,29,50,106,3
Tim Drexler,CB,2023-2024,18,de GER,Hoffenheim,de Bundesliga,8,573,6.4,6,2,3,0,0,0,0,0,0,0,315,349,90.3,1,14,0,0,12,5021,1532,158,168,94,141,148,95.3,11,22,50,263,1190,603,6,2,0,4,1,289,0,3,14,17.6,16,9,12,4,0,8,17,47.1,9,12,8,4,8,24,14,0
Domingos Duarte,CB,2023-2024,28,pt POR,Getafe,es La Liga,15,907,10.1,11,4,12,0,0,0,0,0,0,0,294,380,77.4,2,40,1,1,47,6753,2583,67,87,77,168,201,83.6,59,85,69.4,211,1150,728,7,1,0,5,2,236,0,14,10,58.3,7,4,6,0,1,5,7,71.4,2,7,5,2,8,15,27,0
Rubén Duarte,LB,2023-2024,27,es ESP,Alavés,es La Liga,28,1878,20.9,21,7,6,2,1,3,2,0,0,0,566,827,68.4,17,58,15,10,81,11070,5341,226,262,86.3,254,331,76.7,80,198,40.4,395,1913,981,16,15,2,10,4,468,39,27,26,50.9,39,20,21,16,2,21,31,67.7,10,21,6,15,23,62,69,0
Denzel Dumfries,RB,2023-2024,27,nl NED,Inter,it Serie A,31,1639,18.2,19,12,3,4,4,8,4,0,0,0,614,801,76.7,27,34,29,13,51,9956,2925,287,345,83.2,265,335,79.1,41,70,58.6,502,2532,1121,50,19,11,29,9,626,147,36,18,66.7,22,13,9,11,2,9,23,39.1,14,15,6,9,12,34,33,1
Paul Dummett,LB,2023-2024,31,wls WAL,Newcastle Utd,eng Premier League,5,20,0.2,0,5,24,0,0,0,0,0,0,0,21,23,91.3,0,2,0,0,1,320,76,10,10,100,11,12,91.7,0,1,0,12,54,33,1,0,0,0,0,20,0,1,0,100,1,0,1,0,0,1,1,100,0,0,0,0,0,1,1,0
Lewis Dunk,CB,2023-2024,31,eng ENG,Brighton,eng Premier League,33,2869,31.9,33,0,0,3,1,4,3,0,0,0,2977,3233,92.1,13,204,8,1,152,50791,19478,1343,1382,97.2,1340,1417,94.6,216,340,63.5,2417,10752,5605,33,18,2,9,2,2681,13,57,32,64,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1
Jean-Kevin Duverne,CB,2023-2024,26,ht HAI,Nantes,fr Ligue 1,19,1348,15,15,4,8,0,0,0,0,0,0,0,597,743,80.3,3,45,8,3,64,10059,4272,273,302,90.4,263,315,83.5,47,94,50,621,3240,1644,18,28,1,21,8,556,23,15,15,50,37,19,16,17,4,18,44,40.9,26,17,5,12,18,55,34,0
Enzo Ebosse,CB,2023-2024,24,cm CMR,Udinese,it Serie A,1,8,0.1,0,1,0,0,0,0,0,0,0,0,12,15,80,0,1,0,0,1,222,57,4,4,100,7,9,77.8,1,2,50,12,38,21,0,0,0,0,0,12,0,0,0,,1,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0
Tyronne Ebuehi,RB ,2023-2024,27,ng NGA,Empoli,it Serie A,15,1099,12.2,11,4,7,0,1,1,0,0,0,0,426,570,74.7,11,22,9,4,37,6790,2586,233,260,89.6,152,205,74.1,29,66,43.9,345,2020,1217,34,14,6,19,4,360,35,8,18,30.8,14,9,9,5,0,7,11,63.6,4,9,4,5,6,20,27,1
John Egan,CB,2023-2024,30,ie IRL,Sheffield Utd,eng Premier League,6,482,5.4,6,0,0,0,0,0,0,0,0,0,128,185,69.2,0,5,1,0,5,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,106,485,233,0,2,0,2,1,133,1,14,8,63.6,6,4,4,2,0,4,11,36.4,7,10,4,6,13,19,39,1
Kingsley Ehizibue,RWB,2023-2024,28,nl NED,Udinese,it Serie A,23,955,10.6,11,12,1,0,1,1,0,0,0,0,175,257,68.1,8,10,7,5,15,2722,928,100,119,84,57,84,67.9,11,25,44,200,1268,596,18,10,7,17,10,198,44,12,13,48,22,14,16,4,2,11,18,61.1,7,21,3,18,8,30,36,0
Hjalmar Ekdal,CB,2023-2024,24,se SWE,Burnley,eng Premier League,8,437,4.9,5,3,12,0,0,0,0,0,0,0,191,217,88,1,8,0,0,11,3404,938,66,71,93,109,120,90.8,12,17,70.6,142,885,523,5,4,0,2,1,150,1,4,9,30.8,4,2,2,2,0,2,4,50,2,10,5,5,6,10,21,0
Aritz Elustondo,CB,2023-2024,29,es ESP,Real Sociedad,es La Liga,15,812,9,7,8,10,0,1,1,0,0,0,0,402,468,85.9,7,22,0,0,31,7493,2576,141,163,86.5,232,255,91,26,43,60.5,273,1407,661,4,5,1,3,3,322,2,29,13,69,11,7,5,4,2,6,14,42.9,8,12,10,2,7,18,26,0
Nico Elvedi,CB,2023-2024,26,ch SUI,Gladbach,de Bundesliga,30,2482,27.6,28,2,1,2,1,3,2,0,0,0,1500,1690,88.8,3,74,4,1,109,26281,8034,585,646,90.6,821,874,93.9,72,124,58.1,1184,6532,3837,37,19,0,7,4,1270,6,72,46,61,33,18,22,10,1,18,24,75,6,40,25,15,43,76,150,2
Emerson,LB,2023-2024,24,br BRA,Tottenham,eng Premier League,22,1161,12.9,11,11,16,1,0,1,1,0,0,0,937,1038,90.3,3,42,7,2,57,13652,3714,529,558,94.8,339,362,93.6,32,45,71.1,686,2759,1292,21,19,2,15,12,814,35,15,21,41.7,36,24,23,10,3,21,43,48.8,22,23,10,13,20,56,50,1
Martin Erlic,CB,2023-2024,25,hr CRO,Sassuolo,it Serie A,32,2618,29.1,31,1,3,1,0,1,1,0,0,0,972,1214,80.1,0,76,6,0,78,19654,7045,307,357,86,530,594,89.2,129,243,53.1,690,3537,2051,19,8,1,10,0,824,11,55,48,53.4,37,22,26,8,3,20,30,66.7,10,31,16,15,28,65,128,1
Alfonso Espino,LB,2023-2024,31,uy URU,Rayo Vallecano,es La Liga,31,2507,27.9,29,2,6,0,1,1,0,0,0,0,1061,1423,74.6,28,74,25,10,113,17681,7831,522,588,88.8,436,559,78,79,182,43.4,725,3497,1887,41,26,10,42,18,887,89,13,26,33.3,67,45,43,22,2,30,82,36.6,52,26,4,22,40,107,63,0
Bernardo Espinosa,CB,2023-2024,34,co COL,Girona,es La Liga,2,2,0,0,2,11,0,0,0,0,0,0,0,7,8,87.5,0,0,0,0,0,141,46,3,3,100,4,4,100,0,1,0,5,11,5,0,0,0,0,0,6,0,1,1,50,1,1,1,0,0,1,1,100,0,0,0,0,0,1,2,0
Maxime Estève,CB,2023-2024,21,fr FRA,Burnley,eng Premier League,28,2304,25.6,27,1,5,1,1,2,1,0,0,0,979,1190,82.3,6,57,0,0,63,16822,4824,418,473,88.4,478,542,88.2,64,134,47.8,796,4127,2363,23,22,3,10,4,849,13,44,35,55.7,43,22,26,17,0,28,47,59.6,19,34,19,15,45,88,106,0
Pervis Estupiñán,LB,2023-2024,25,ec ECU,Brighton,eng Premier League,19,1243,13.8,15,4,1,2,3,5,2,0,0,0,809,962,84.1,26,66,25,11,83,11736,3617,480,524,91.6,270,313,86.3,32,64,50,693,3046,1806,47,30,13,20,6,735,88,12,14,46.2,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0
Jonny Evans,CB,2023-2024,35,nir NIR,Manchester Utd,eng Premier League,23,1392,15.5,15,8,3,0,1,1,0,0,0,0,729,832,87.6,6,29,3,0,37,11952,3843,323,350,92.3,344,374,92,40,72,55.6,567,2683,1441,7,5,0,5,3,625,1,36,18,66.7,22,14,20,2,0,12,21,57.1,9,25,18,7,23,45,76,0
Fali,CB,2023-2024,29,es ESP,Cádiz,es La Liga,30,2547,28.3,30,0,4,0,0,0,0,0,0,0,799,1050,76.1,4,76,5,1,82,17510,6817,215,243,88.5,440,505,87.1,137,278,49.3,643,3354,2047,16,8,0,6,2,696,10,39,39,50,41,26,29,11,1,21,36,58.3,15,38,24,14,27,68,120,0
Davide Faraoni,RWB,2023-2024,31,it ITA,Hellas Verona,it Serie A,19,994,11,11,8,14,0,2,2,0,0,0,0,418,552,75.7,12,43,11,6,45,7572,2905,173,198,87.4,174,219,79.5,57,99,57.6,349,1624,808,20,9,2,18,4,387,47,13,14,48.1,22,14,10,8,4,12,21,57.1,9,12,6,6,11,33,35,0
Federico Fazio,CB,2023-2024,36,ar ARG,Salernitana,it Serie A,17,1355,15.1,15,2,8,1,0,1,1,0,0,0,440,587,75,3,26,1,0,27,8392,3494,163,194,84,217,265,81.9,55,108,50.9,325,1521,825,2,0,0,8,3,370,2,50,21,70.4,18,11,14,4,0,8,14,57.1,6,22,19,3,17,35,99,1
Felipe,CB,2023-2024,34,br BRA,Nott'ham Forest,eng Premier League,7,375,4.2,4,3,5,0,0,0,0,0,0,0,183,215,85.1,2,10,0,0,6,3654,1412,61,70,87.1,97,105,92.4,21,33,63.6,147,692,361,1,1,0,3,1,156,0,14,6,70,12,9,9,3,0,9,12,75,3,4,1,3,4,16,12,0
Luiz Felipe,CB,2023-2024,26,it ITA,Betis,es La Liga,4,360,4,4,0,0,0,0,0,0,0,0,0,151,169,89.3,1,4,0,0,4,2591,996,59,62,95.2,78,86,90.7,9,14,64.3,106,499,145,0,0,0,1,0,129,0,2,6,25,7,3,5,2,0,4,5,80,1,10,4,6,4,11,16,0
Ohis Felix Uduokhai,CB,2023-2024,25,de GER,Augsburg,de Bundesliga,33,2921,32.5,33,0,0,2,0,2,2,0,0,0,1349,1658,81.4,9,93,5,0,101,25826,9681,477,549,86.9,725,815,89,132,261,50.6,1077,5100,2608,25,11,1,17,7,1202,6,111,68,62,37,21,18,14,5,16,25,64,9,45,35,10,46,83,178,2
Kiko Femenía,RB,2023-2024,32,es ESP,Villarreal,es La Liga,23,1583,17.6,16,7,13,0,0,0,0,0,0,0,939,1121,83.8,7,84,6,3,100,15374,5968,468,497,94.2,403,467,86.3,58,120,48.3,627,3750,2073,46,27,1,18,5,743,45,10,11,47.6,35,25,19,13,3,19,34,55.9,15,21,6,15,31,66,45,0
Edimilson Fernandes,CB,2023-2024,27,ch SUI,Mainz 05,de Bundesliga,21,1290,14.3,13,8,5,0,2,2,0,0,0,0,615,801,76.8,18,54,11,3,53,12814,5042,214,242,88.4,295,335,88.1,98,200,49,483,2609,1467,9,12,1,6,5,532,9,19,19,50,25,16,15,9,1,16,24,66.7,8,14,6,8,22,47,52,0
João Ferreira,CB,2023-2024,22,pt POR,Udinese,it Serie A,35,1822,20.2,18,17,2,0,1,1,0,0,0,0,649,858,75.6,13,60,11,6,61,12106,5431,282,325,86.8,263,326,80.7,88,158,55.7,515,2764,1488,19,21,4,22,8,533,45,18,14,56.3,58,42,36,18,4,34,58,58.6,24,27,6,21,29,87,89,0
Max Finkgräfe,LB,2023-2024,19,de GER,Köln,de Bundesliga,24,1756,19.5,18,6,2,1,0,1,1,0,0,0,598,859,69.6,23,46,12,7,53,10280,4077,277,339,81.7,270,355,76.1,45,118,38.1,495,3461,1845,51,35,11,37,24,527,59,23,27,46,65,39,40,25,0,39,74,52.7,35,35,10,25,22,87,39,0
Alessandro Florenzi,RB,2023-2024,32,it ITA,Milan,it Serie A,31,1732,19.2,19,12,5,1,4,5,1,0,0,0,1055,1277,82.6,45,97,25,9,106,19865,6858,433,459,94.3,454,519,87.5,144,250,57.6,816,4084,2195,29,28,1,17,5,916,50,7,17,29.2,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1
Jonas Föhrenbach,LB,2023-2024,27,de GER,Heidenheim,de Bundesliga,33,2788,31,32,1,0,0,0,0,0,0,0,0,1046,1462,71.5,13,74,24,13,96,20703,9260,382,457,83.6,508,652,77.9,146,288,50.7,777,4085,2496,44,32,2,22,11,860,69,37,22,62.7,44,24,24,14,6,19,36,52.8,17,34,19,15,31,75,70,0
Thomas Foket,RB,2023-2024,28,be BEL,Reims,fr Ligue 1,27,1833,20.4,22,5,5,0,1,1,0,0,0,0,862,1069,80.6,11,52,10,7,65,14686,4219,408,463,88.1,369,435,84.8,70,115,60.9,796,4095,1848,24,24,1,27,10,730,84,16,19,45.7,32,17,21,8,3,20,45,44.4,25,34,12,22,25,57,36,0
Héctor Fort,RB,2023-2024,16,es ESP,Barcelona,es La Liga,7,318,3.5,4,3,17,0,2,2,0,0,0,0,200,230,87,3,10,3,1,7,3004,748,121,129,93.8,65,76,85.5,11,19,57.9,144,572,197,3,3,0,1,2,174,38,0,3,0,6,5,5,1,0,4,10,40,6,0,0,0,2,8,4,0
Dimitri Foulquier,RB,2023-2024,30,fr FRA,Valencia,es La Liga,33,1842,20.5,19,14,0,0,0,0,0,0,0,0,766,1042,73.5,14,47,14,6,72,11858,4675,394,463,85.1,308,382,80.6,42,118,35.6,577,3158,1668,42,32,6,34,16,659,64,10,17,37,39,22,22,13,4,18,26,69.2,8,10,1,9,16,55,49,1
Juan Foyth,RB,2023-2024,25,ar ARG,Villarreal,es La Liga,12,1062,11.8,12,0,0,1,1,2,1,0,0,0,565,690,81.9,5,50,7,2,51,9309,3470,290,320,90.6,226,270,83.7,40,66,60.6,426,2278,1192,19,28,3,17,7,494,28,26,16,61.9,26,15,18,8,0,12,27,44.4,15,17,4,13,12,38,44,0
Przemysław Frankowski,RWB,2023-2024,28,pl POL,Lens,fr Ligue 1,30,2192,24.4,24,6,2,3,2,5,2,1,2,1,1008,1320,76.4,39,75,43,15,112,16279,5614,503,580,86.7,406,525,77.3,70,137,51.1,1056,5787,2415,56,42,6,36,15,997,210,17,26,39.5,60,39,25,26,9,31,74,41.9,43,30,7,23,25,85,36,0
Marco Friedl,CB,2023-2024,25,at AUT,Werder Bremen,de Bundesliga,25,2197,24.4,25,0,0,1,0,1,1,0,0,0,930,1081,86,1,49,4,1,59,19543,6566,250,275,90.9,536,572,93.7,141,215,65.6,751,3710,1801,4,6,0,13,5,786,2,40,41,49.4,53,32,38,15,0,36,48,75,12,45,29,16,35,88,129,0
Marvin Friedrich,CB,2023-2024,27,de GER,Gladbach,de Bundesliga,24,1566,17.4,17,7,9,0,0,0,0,0,0,0,755,905,83.4,5,29,1,0,34,12979,5177,315,334,94.3,390,429,90.9,39,111,35.1,652,2780,1267,2,7,1,10,1,725,4,37,19,66.1,23,15,16,6,1,12,20,60,8,28,20,8,17,40,87,0
Jeremie Frimpong,RWB,2023-2024,22,nl NED,Leverkusen,de Bundesliga,31,2251,25,27,4,2,9,7,16,9,0,0,0,797,1026,77.7,45,20,36,15,49,10923,2301,541,622,87,206,279,73.8,29,49,59.2,824,6275,3756,153,62,73,51,37,941,348,13,13,50,26,17,12,7,7,8,20,40,12,26,0,26,7,33,17,0
Matteo Gabbia,CB,2023-2024,23,it ITA,Milan,it Serie A,25,1752,19.5,20,5,9,2,1,3,2,0,0,0,1082,1201,90.1,4,61,1,0,51,21384,6691,313,339,92.3,645,681,94.7,117,157,74.5,816,4060,2182,12,5,0,9,2,963,2,52,23,69.3,39,26,19,19,1,23,32,71.9,9,16,8,8,18,57,84,1
Javi Galán,LB,2023-2024,28,es ESP,Atlético Madrid,es La Liga,19,1163,12.9,13,6,15,0,1,1,0,0,0,0,571,717,79.6,12,36,17,11,49,9591,3034,281,312,90.1,241,296,81.4,40,80,50,479,2950,1739,49,18,5,21,14,521,83,10,7,58.8,43,26,17,21,5,19,35,54.3,16,25,1,24,15,58,20,1
Antonino Gallo,LB,2023-2024,23,it ITA,Lecce,it Serie A,35,2490,27.7,30,5,3,0,3,3,0,0,0,0,995,1408,70.7,47,85,44,32,125,18535,7959,418,478,87.4,422,560,75.4,130,290,44.8,804,4815,2858,69,53,12,27,13,848,101,25,33,43.1,43,27,31,11,1,31,49,63.3,18,34,9,25,25,68,67,0
Cristian Gamboa,RB,2023-2024,33,cr CRC,Bochum,de Bundesliga,22,1187,13.2,12,10,10,0,1,1,0,0,0,0,350,475,73.7,10,28,12,6,33,6353,2438,155,175,88.6,146,187,78.1,43,97,44.3,276,1235,527,12,11,0,11,3,282,16,12,9,57.1,24,18,12,11,1,14,33,42.4,19,20,7,13,15,39,34,1
David García,CB,2023-2024,29,es ESP,Osasuna,es La Liga,27,2334,25.9,27,0,2,0,1,1,0,0,0,0,1109,1339,82.8,5,129,5,0,133,21953,8473,361,399,90.5,614,693,88.6,128,218,58.7,796,4308,2698,21,12,0,9,2,914,4,93,35,72.7,29,18,19,9,1,16,26,61.5,10,40,19,21,18,47,115,2
Eric García,CB,2023-2024,22,es ESP,Barcelona,es La Liga,32,2694,29.9,30,2,2,5,0,5,5,0,0,0,2110,2354,89.6,10,227,17,2,226,38033,15047,832,889,93.6,1080,1144,94.4,172,256,67.2,1638,7662,4784,45,34,1,17,9,1937,18,50,37,57.5,55,37,34,18,3,34,49,69.4,15,37,19,18,30,85,79,2
Fran Garcia,LB,2023-2024,23,es ESP,Real Madrid,es La Liga,25,1398,15.5,15,10,13,1,5,6,1,0,0,0,841,997,84.4,16,38,14,6,60,12143,3312,518,554,93.5,280,327,85.6,28,68,41.2,686,3666,1956,53,30,4,22,8,747,139,7,15,31.8,25,17,11,12,2,13,31,41.9,18,16,3,13,19,44,28,1
Ulisses Garcia,LB,2023-2024,27,ch SUI,Marseille,fr Ligue 1,13,906,10.1,10,3,3,0,0,0,0,0,0,0,449,570,78.8,8,30,7,5,52,7183,1975,224,249,90,186,233,79.8,27,54,50,423,2330,1157,21,18,2,9,14,394,66,17,10,63,21,16,6,13,2,13,20,65,7,8,3,5,7,28,13,2
Unai García,CB,2023-2024,31,es ESP,Osasuna,es La Liga,9,560,6.2,6,3,17,1,0,1,1,0,0,0,158,202,78.2,1,6,0,0,12,3503,1226,46,51,90.2,88,99,88.9,24,49,49,104,379,183,2,2,0,3,3,136,1,4,7,36.4,12,9,9,2,1,5,10,50,5,7,1,6,8,20,18,0
Federico Gatti,CB,2023-2024,25,it ITA,Juventus,it Serie A,32,2637,29.3,30,2,5,4,0,4,4,0,0,0,1166,1370,85.1,10,103,7,5,122,21805,7166,432,475,90.9,613,669,91.6,112,177,63.3,963,5225,3233,52,31,1,24,12,1115,43,50,31,61.7,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90,1
Federico Gattoni,CB,2023-2024,24,ar ARG,Sevilla,es La Liga,2,10,0.1,0,2,15,0,0,0,0,0,0,0,7,9,77.8,0,0,0,0,0,137,21,2,3,66.7,2,3,66.7,2,2,100,3,15,12,0,0,0,0,0,3,0,2,1,66.7,1,0,1,0,0,1,1,100,0,0,0,0,0,1,1,0
Valentin Gendrey,RB,2023-2024,23,fr FRA,Lecce,it Serie A,37,3044,33.8,35,2,0,2,3,5,2,0,0,0,1031,1380,74.7,24,106,18,7,116,17674,8250,512,593,86.3,425,541,78.6,83,192,43.2,807,4816,2894,76,32,6,38,20,849,86,53,39,57.6,55,33,35,16,4,30,46,65.2,16,40,11,29,35,90,99,0
Lautaro Gianetti,CB,2023-2024,29,ar ARG,Udinese,it Serie A,7,630,7,7,0,9,1,0,1,1,0,0,0,263,300,87.7,1,7,0,0,4,5442,2072,73,80,91.3,151,164,92.1,36,48,75,195,720,262,2,1,0,2,0,215,0,8,8,50,9,4,7,2,0,4,5,80,1,10,6,4,19,28,39,0
Samuel Gigot,CB,2023-2024,29,fr FRA,Marseille,fr Ligue 1,21,1726,19.2,20,1,2,3,0,3,3,0,0,0,846,964,87.8,7,31,3,2,54,14333,4728,349,383,91.1,436,480,90.8,36,64,56.3,776,4259,2453,10,17,2,9,2,710,8,47,16,74.6,33,22,16,13,4,13,19,68.4,6,28,18,10,25,58,93,1
Mario Gila,CB ,2023-2024,22,es ESP,Lazio,it Serie A,21,1809,20.1,21,0,13,0,0,0,0,0,0,0,1161,1294,89.7,7,70,10,3,93,21517,7790,454,483,94,545,583,93.5,135,181,74.6,875,4688,2725,21,26,0,11,6,1035,12,29,43,40.3,32,14,23,8,1,19,34,55.9,15,27,14,13,20,52,69,0
Alfie Gilchrist,CB,2023-2024,19,eng ENG,Chelsea,eng Premier League,11,207,2.3,2,9,14,1,0,1,1,0,0,0,121,141,85.8,0,5,1,0,7,1893,468,63,73,86.3,55,61,90.2,3,6,50,78,263,130,1,1,0,2,2,96,4,2,4,33.3,4,0,4,0,0,2,5,40,3,6,3,3,3,7,11,0
Benedikt Gimber,CB,2023-2024,26,de GER,Heidenheim,de Bundesliga,24,2021,22.5,24,0,5,1,1,2,1,0,0,0,681,846,80.5,3,14,0,0,25,14351,4173,160,192,83.3,429,476,90.1,91,156,58.3,568,3261,1456,3,1,0,13,4,588,6,48,41,53.9,40,24,25,14,1,19,35,54.3,16,27,17,10,16,56,101,1
Matthias Ginter,CB,2023-2024,29,de GER,Freiburg,de Bundesliga,23,1913,21.3,22,1,0,0,2,2,0,0,0,0,1039,1250,83.1,5,86,9,2,136,19708,7154,346,378,91.5,605,682,88.7,82,165,49.7,886,5290,3308,23,15,0,8,2,965,20,50,29,63.3,29,15,19,9,1,16,29,55.2,13,40,26,14,16,45,93,0
Klaus Gjasula,CB,2023-2024,33,al ALB,Darmstadt 98,de Bundesliga,22,1363,15.1,17,5,5,0,0,0,0,0,0,0,615,746,82.4,6,58,13,3,70,12270,4995,211,237,89,308,354,87,86,128,67.2,462,2524,1196,8,8,0,7,6,560,7,34,27,55.7,44,22,18,25,1,17,30,56.7,13,26,14,12,19,63,42,2
Ben Godfrey,CB,2023-2024,25,eng ENG,Everton,eng Premier League,15,1120,12.4,13,2,23,0,0,0,0,0,0,0,336,484,69.4,3,32,6,2,43,5725,2373,147,180,81.7,157,204,77,23,62,37.1,233,1158,571,11,12,0,10,6,283,26,25,24,51,30,20,17,8,5,15,28,53.6,13,14,8,6,16,46,57,0
Edoardo Goldaniga,CB,2023-2024,29,it ITA,Cagliari,it Serie A,13,1011,11.2,12,1,8,0,0,0,0,0,0,0,438,553,79.2,4,37,6,3,50,9533,3744,116,132,87.9,251,284,88.4,68,130,52.3,318,1757,1217,9,6,0,7,0,386,3,18,18,50,12,7,9,3,0,4,10,40,6,11,7,4,15,27,37,1
Toti Gomes,CB,2023-2024,24,pt POR,Wolves,eng Premier League,35,2772,30.8,31,4,3,1,3,4,1,0,0,0,1516,1847,82.1,6,78,6,1,79,23316,8336,782,859,91,631,748,84.4,60,153,39.2,1113,4427,2325,22,16,2,17,6,1394,11,56,30,65.1,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2
Joe Gomez,CB,2023-2024,26,eng ENG,Liverpool,eng Premier League,32,1786,19.8,17,15,4,0,1,1,0,0,0,0,1114,1345,82.8,22,83,20,7,100,18984,5116,519,574,90.4,497,585,85,83,131,63.4,891,4686,2313,44,34,3,25,11,979,105,31,10,75.6,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2
