Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
George Baldock,RB,2023-2024,30,gr GRE,Sheffield Utd,eng Premier League,13,969,10.8,11,2,1,238,988,463,9,3,4,9,9,258,24,13,13,50,0,1,1,0,0,0,0,291,397,73.3,7,18,11,4,31,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,18,10,10,7,1,6,15,40,9,14,8,6,10,28,33,0
Leonardo Balerdi,CB,2023-2024,24,ar ARG,Marseille,fr Ligue 1,27,2271,25.2,26,1,3,1412,7846,4056,19,23,0,17,10,1271,6,57,36,61.3,2,0,2,2,0,0,0,1402,1628,86.1,5,115,3,0,122,26569,9543,520,562,92.5,678,753,90,169,260,65,79,50,55,23,1,49,67,73.1,18,38,15,23,51,130,91,0
Iván Balliu,RB,2023-2024,31,al ALB,Rayo Vallecano,es La Liga,33,2873,31.9,32,1,4,708,3600,1825,50,29,5,28,11,876,100,30,27,52.6,0,1,1,0,0,0,0,1116,1487,75.1,24,77,18,10,98,18841,8333,553,626,88.3,443,566,78.3,97,206,47.1,44,31,20,24,0,22,39,56.4,17,27,11,16,29,73,66,1
Fodé Ballo-Touré,RB,2023-2024,26,sn SEN,Fulham,eng Premier League,6,71,0.8,0,6,16,48,300,163,5,2,1,0,0,50,4,0,2,0,0,0,0,0,0,0,0,56,78,71.8,0,3,0,0,0,1002,224,23,30,76.7,26,33,78.8,6,8,75,4,2,1,3,0,1,2,50,1,1,0,1,3,7,2,0
Mattia Bani,CB,2023-2024,29,it ITA,Genoa,it Serie A,27,2306,25.6,27,0,3,749,3417,1524,5,2,0,10,2,834,4,49,42,53.8,2,0,2,2,0,0,0,962,1152,83.5,2,36,1,0,37,18643,6794,325,356,91.3,533,586,91,95,181,52.5,26,10,18,7,1,11,22,50,11,51,31,20,22,48,116,1
Valentín Barco,LB,2023-2024,19,ar ARG,Brighton,eng Premier League,6,307,3.4,3,3,4,181,697,367,8,4,0,5,4,188,20,1,7,12.5,0,0,0,0,0,0,0,179,233,76.8,4,10,3,0,14,2509,864,120,131,91.6,47,64,73.4,7,23,30.4,11,5,4,5,2,6,8,75,2,3,0,3,4,15,3,1
Melvin Bard,LB,2023-2024,22,fr FRA,Nice,fr Ligue 1,32,2654,29.5,31,1,0,1447,8425,3915,60,87,7,41,14,1263,99,23,29,44.2,1,2,3,1,0,0,0,1457,1784,81.7,18,77,26,14,111,23609,6956,719,805,89.3,607,702,86.5,86,192,44.8,69,38,28,30,11,37,63,58.7,26,46,12,34,42,111,46,0
Davide Bartesaghi,CB,2023-2024,17,it ITA,Milan,it Serie A,6,79,0.9,0,6,18,23,157,53,1,3,0,1,2,29,4,3,0,100,0,0,0,0,0,0,0,28,35,80,0,1,0,0,3,493,221,10,11,90.9,15,16,93.8,3,6,50,2,0,1,1,0,2,4,50,2,1,1,0,0,2,7,0
Marc Bartra,CB,2023-2024,32,es ESP,Betis,es La Liga,3,225,2.5,3,0,2,91,406,215,2,3,0,1,2,90,0,4,4,50,0,0,0,0,0,0,0,101,118,85.6,0,5,0,0,5,1910,620,39,42,92.9,48,52,92.3,13,21,61.9,4,3,3,1,0,4,5,80,1,3,1,2,3,7,10,0
Federico Baschirotto,CB,2023-2024,26,it ITA,Lecce,it Serie A,37,3294,36.6,37,0,0,1138,6160,3312,28,9,0,12,4,1290,3,93,70,57.1,0,1,1,0,0,0,0,1516,1808,83.8,2,71,1,0,96,30369,9843,431,494,87.2,867,944,91.8,191,318,60.1,21,12,16,5,0,8,15,53.3,7,42,26,16,23,44,144,1
Steven Baseya,CB,2023-2024,18,fr FRA,Strasbourg,fr Ligue 1,2,6,0.1,0,2,10,9,38,7,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,11,12,91.7,0,0,0,0,0,203,78,3,3,100,8,8,100,0,1,0,2,1,1,1,0,1,1,100,0,0,0,0,0,2,1,0
Chris Basham,CB,2023-2024,35,eng ENG,Sheffield Utd,eng Premier League,8,321,3.6,3,5,0,72,320,163,1,4,0,2,2,89,6,7,8,46.7,0,0,0,0,0,0,0,103,138,74.6,2,7,2,0,7,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,7,2,4,3,0,2,9,22.2,7,9,4,5,5,12,17,0
Calvin Bassey,CB,2023-2024,23,ng NGA,Fulham,eng Premier League,29,2303,25.6,25,4,4,1179,6037,3035,15,11,2,12,8,1291,4,30,25,54.5,1,0,1,1,0,0,0,1440,1674,86,1,80,2,0,62,27276,9421,483,514,94,787,855,92,141,246,57.3,49,29,33,15,1,21,29,72.4,8,32,11,21,28,77,84,4
Alessandro Bastoni,CB,2023-2024,24,it ITA,Inter,it Serie A,28,2268,25.2,28,0,6,1434,7294,4361,63,66,6,12,10,1612,77,37,29,56.1,1,3,4,1,0,0,0,1671,1935,86.4,22,135,35,14,142,32047,10473,671,716,93.7,765,834,91.7,211,312,67.6,46,33,31,12,3,26,40,65,14,25,11,14,23,69,48,1
Simone Bastoni,LB,2023-2024,26,it ITA,Empoli,it Serie A,16,745,8.3,9,7,15,206,995,465,12,11,0,12,9,240,26,8,11,42.1,1,0,1,1,0,0,0,246,360,68.3,12,25,6,2,31,4104,1653,116,141,82.3,93,121,76.9,28,69,40.6,22,13,12,7,3,11,22,50,11,8,0,8,11,33,18,0
Maximilian Bauer,CB,2023-2024,23,de GER,Augsburg,de Bundesliga,14,810,9,9,5,15,350,1664,896,2,4,0,6,0,373,1,17,17,50,1,0,1,1,0,0,0,423,491,86.2,0,28,0,0,25,7834,2619,146,159,91.8,240,265,90.6,30,55,54.5,19,12,13,4,2,9,17,52.9,8,14,8,6,11,30,30,1
