Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Pos
Rasmus Højlund,2025-2026,22,dk DEN,Napoli,it Serie A,33,2750,30.6,32,1,0,12,5,17,11,1,1,0,60,0.18,0.44,25,41.7,FW
Niclas Füllkrug,2023-2024,30,de GER,2 Teams,de Bundesliga,31,2392,26.6,29,2,2,12,8,20,9,3,3,0,58,0.16,0.31,29,50,FW
Jean-Philippe Mateta,2025-2026,28,fr FRA,Crystal Palace,eng Premier League,32,2218,24.6,25,7,0,12,0,12,8,4,4,0,63,0.13,0.25,32,50.8,FW
Domenico Berardi,2022-2023,27,it ITA,Sassuolo,it Serie A,26,1866,20.7,22,4,1,12,7,19,5,7,8,1,83,0.06,0.19,27,32.5,"FW,MF"
Artem Dovbyk,2024-2025,27,ua UKR,Roma,it Serie A,32,2418,26.9,27,5,3,12,2,14,10,2,2,0,63,0.16,0.37,27,42.9,FW
Lassine Sinayoko,2025-2026,25,ml MLI,Auxerre,fr Ligue 1,32,2770,30.8,32,0,0,12,4,16,9,3,4,1,93,0.1,0.23,39,41.9,"FW,MF"
Andrej Kramarić,2022-2023,31,hr CRO,Hoffenheim,de Bundesliga,32,2386,26.5,26,6,1,12,4,16,8,4,6,2,63,0.13,0.31,26,41.3,"MF,FW"
Marvin Ducksch,2022-2023,28,de GER,Werder Bremen,de Bundesliga,34,2852,31.7,34,0,0,12,6,18,12,0,1,1,94,0.13,0.27,44,46.8,FW
Marvin Ducksch,2023-2024,29,de GER,Werder Bremen,de Bundesliga,33,2696,30,32,1,0,12,9,21,7,5,6,1,80,0.09,0.18,38,47.5,FW
Nick Woltemade,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,1622,18,17,11,5,12,2,14,10,2,3,1,49,0.2,0.38,26,53.1,"FW,MF"
Iago Aspas,2022-2023,34,es ESP,Celta Vigo,es La Liga,37,2868,31.9,31,6,0,12,3,15,10,2,3,1,78,0.13,0.3,33,42.3,FW
