,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live.1,Dead,FK.1,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
10,Simon Adingra,RW,2023-2024,21.0,Ivory Coast,Brighton,Premier League,31,2222,24.7,25,6,634.0,840.0,75.5,33.0,33.0,11.0,50.0,412.0,491.0,83.9,185.0,245.0,75.5,20.0,38,52.6,6.0,1.0,7.0,6.0,0.0,0.0,0.0,1159.0,187.0,364.0,627.0,1159.0,773.0,5063.0,2996.0,111.0,48.0,63.0,48,28.0,52.0,0.12,0.27,22,42.3,15.9,0,4.3,4.3,3.5,1.7,815,23,3,2,76,15,5,8,12,40.0
11,Brandon Aguilera,RW,2023-2024,20.0,Costa Rica,Nott'ham Forest,Premier League,1,5,0.1,0,1,4.0,8.0,50.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,4.0,4.0,11.0,4.0,16.0,12.0,0.0,1.0,0.0,0,0.0,0.0,,,0,,,0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,
12,Ludovic Ajorque,ST,2023-2024,29.0,France,Mainz 05,Bundesliga,26,1360,15.1,15,11,318.0,453.0,70.2,16.0,3.0,0.0,21.0,172.0,241.0,71.4,105.0,145.0,72.4,15.0,19,78.9,2.0,0.0,2.0,2.0,0.0,2.0,2.0,603.0,53.0,314.0,238.0,601.0,260.0,904.0,291.0,5.0,6.0,1.0,42,10.0,27.0,0.07,0.33,6,22.2,13.1,0,5.3,3.7,1.6,-3.3,423,28,2,4,3,0,0,78,91,46.2
13,Marley Aké,LW,2023-2024,22.0,France,Udinese,Serie A,1,10,0.1,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,,,0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0
14,David Akpan Ankeye,ST,2023-2024,21.0,Nigeria,Genoa,Serie A,6,57,0.6,0,6,8.0,9.0,88.9,0.0,1.0,0.0,1.0,2.0,3.0,66.7,3.0,3.0,100.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,6.0,10.0,17.0,12.0,109.0,61.0,3.0,1.0,1.0,2,0.0,0.0,,,0,,,0,0.0,0.0,0.4,0.0,9,0,0,0,1,0,0,0,1,0.0
15,Mohamed Ali Cho,LW,2023-2024,19.0,France,2 Teams,2 Comps,28,1110,12.3,12,16,231.0,334.0,69.2,15.0,11.0,2.0,28.0,134.0,165.0,81.2,78.0,108.0,72.2,12.0,36,33.3,1.0,2.0,3.0,1.0,0.0,0.0,0.0,477.0,51.0,192.0,247.0,477.0,357.0,2796.0,1599.0,64.0,40.0,19.0,29,18.0,21.0,0.05,0.17,6,28.6,20.6,0,1.5,1.5,1.7,-0.5,311,22,6,0,55,0,16,8,18,30.8
16,Faride Alidou,RW,2023-2024,22.0,Germany,Köln,Bundesliga,26,1282,14.2,14,12,196.0,305.0,64.3,14.0,7.0,3.0,33.0,97.0,134.0,72.4,69.0,100.0,69.0,20.0,41,48.8,4.0,0.0,4.0,4.0,0.0,0.0,0.0,522.0,77.0,210.0,243.0,522.0,312.0,2561.0,1191.0,51.0,23.0,18.0,39,27.0,33.0,0.12,0.36,11,33.3,14.5,0,3.0,3.0,0.7,1.0,293,12,0,2,39,7,1,18,28,39.1
17,Domingos André Ribeiro Almeida,ST,2023-2024,23.0,Portugal,Valencia,La Liga,18,965,10.7,12,6,315.0,399.0,78.9,13.0,10.0,0.0,50.0,183.0,202.0,90.6,99.0,124.0,79.8,23.0,40,57.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,514.0,72.0,245.0,203.0,514.0,292.0,1847.0,861.0,24.0,27.0,6.0,20,17.0,10.0,0.2,0.5,4,40.0,19.3,0,0.6,0.6,0.9,1.4,375,24,12,4,18,2,7,4,15,21.1
18,Miguel Almirón,RW,2023-2024,29.0,Paraguay,Newcastle Utd,Premier League,33,1937,21.5,23,10,668.0,801.0,83.4,24.0,21.0,3.0,78.0,411.0,456.0,90.1,208.0,250.0,83.2,21.0,38,55.3,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1029.0,137.0,430.0,475.0,1029.0,652.0,4488.0,2276.0,78.0,43.0,22.0,30,27.0,41.0,0.07,0.25,12,29.3,16.1,0,4.5,4.5,2.4,-1.5,788,10,2,0,24,7,1,6,7,46.2
19,Pontus Almqvist,RW,2023-2024,24.0,Sweden,Lecce,Serie A,30,2107,23.4,25,5,351.0,478.0,73.4,27.0,12.0,4.0,32.0,224.0,282.0,79.4,85.0,120.0,70.8,17.0,20,85.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,779.0,105.0,332.0,360.0,779.0,505.0,4048.0,1930.0,72.0,47.0,35.0,59,39.0,40.0,0.05,0.13,15,37.5,19.7,0,2.3,2.3,1.8,-0.3,472,6,2,0,21,3,1,14,22,38.9
20,Papa Amadou Diallo,LW,2023-2024,19.0,Senegal,Metz,Ligue 1,16,889,9.9,9,7,167.0,257.0,65.0,12.0,6.0,2.0,30.0,86.0,121.0,71.1,64.0,98.0,65.3,12.0,24,50.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,405.0,97.0,177.0,146.0,405.0,259.0,1839.0,806.0,25.0,18.0,5.0,28,9.0,13.0,0.15,0.4,5,38.5,14.7,0,2.6,2.6,0.7,-0.6,255,2,1,0,14,1,0,30,36,45.5
21,Selim Amallah,SS,2023-2024,26.0,Morocco,Valencia,La Liga,20,604,6.7,7,13,120.0,164.0,73.2,4.0,3.0,0.0,21.0,69.0,83.0,83.1,32.0,46.0,69.6,7.0,14,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,293.0,48.0,133.0,117.0,293.0,172.0,954.0,358.0,7.0,13.0,2.0,29,15.0,11.0,0.0,0.0,4,36.4,21.9,0,0.4,0.4,0.3,-0.4,162,2,0,0,4,0,0,11,15,42.3
22,Amath,RW,2023-2024,27.0,Senegal,Mallorca,La Liga,15,394,4.4,3,12,76.0,113.0,67.3,3.0,4.0,2.0,13.0,42.0,55.0,76.4,24.0,38.0,63.2,6.0,8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,32.0,79.0,90.0,198.0,119.0,830.0,478.0,19.0,8.0,9.0,22,8.0,12.0,0.0,0.0,2,16.7,14.1,0,1.6,1.6,0.3,-1.6,110,2,1,0,7,1,0,6,5,54.5
23,Zeki Amdouni,ST,2023-2024,22.0,Switzerland,Burnley,Premier League,34,1953,21.7,27,7,396.0,500.0,79.2,16.0,9.0,0.0,49.0,216.0,265.0,81.5,141.0,161.0,87.6,24.0,35,68.6,5.0,1.0,6.0,4.0,1.0,1.0,0.0,789.0,94.0,379.0,337.0,788.0,468.0,3229.0,1654.0,63.0,30.0,20.0,67,32.0,48.0,0.08,0.19,21,43.8,17.8,0,5.8,5.0,1.3,-0.8,445,51,2,1,8,0,3,15,56,21.1
24,Felipe Anderson,RW,2023-2024,30.0,Brazil,Lazio,Serie A,38,2770,30.8,33,5,1012.0,1336.0,75.7,42.0,50.0,4.0,126.0,601.0,690.0,87.1,320.0,411.0,77.9,47.0,96,49.0,5.0,6.0,11.0,5.0,0.0,0.0,0.0,1756.0,252.0,792.0,742.0,1756.0,897.0,5493.0,2896.0,108.0,62.0,26.0,65,32.0,43.0,0.12,0.45,11,25.6,17.3,1,4.4,4.4,4.7,0.6,1299,29,5,6,57,18,6,15,16,48.4
25,Komnen Andrić,ST,2023-2024,28.0,Serbia,Clermont Foot,Ligue 1,7,169,1.9,1,6,45.0,59.0,76.3,4.0,1.0,0.0,5.0,26.0,33.0,78.8,15.0,18.0,83.3,1.0,2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,3.0,44.0,36.0,83.0,59.0,272.0,42.0,0.0,4.0,1.0,8,6.0,2.0,0.0,,0,0.0,19.1,0,0.1,0.1,0.1,-0.1,54,5,0,0,1,0,0,2,8,20.0
26,Jaidon Anthony,LW,2023-2024,23.0,England,Bournemouth,Premier League,3,152,1.7,2,1,30.0,45.0,66.7,0.0,1.0,0.0,8.0,17.0,20.0,85.0,10.0,14.0,71.4,1.0,6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,15.0,27.0,27.0,69.0,36.0,160.0,77.0,2.0,2.0,0.0,5,2.0,2.0,0.0,0.0,1,50.0,24.5,0,0.1,0.1,0.0,-0.1,42,3,2,0,2,0,1,1,3,25.0
