Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PSxG,PSxG/SoT,PSxG+/-,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Pos
401,Wojciech Szczęsny,2023-2024,33,pl POL,Juventus,it Serie A,35,3150,35,35,0,1,30,108,79,74.1,17,13,5,15,42.9,28.33709473,0.24,0.3,828,134,32,32.8,174,43.1,40.2,555,26,4.7,20,11.6,GK
402,Wojciech Szczęsny,2024-2025,34,pl POL,Barcelona,es La Liga,15,1350,15,15,0,14,12,33,21,66.7,14,1,0,8,53.3,11.95718047,0.35,0,398,61,12.3,25.1,54,25.9,31,130,7,5.4,56,20.2,GK
403,Ciprian Tătărușanu,2022-2023,36,ro ROU,Milan,it Serie A,16,1440,16,16,0,22,22,61,40,67.2,9,3,4,4,25,16.8370804,0.25,-4.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,14.4,GK
404,Arnau Tenas,2023-2024,22,es ESP,Paris S-G,fr Ligue 1,6,529,5.9,5,1,13,7,25,18,72,2,2,1,1,20,5.99447132,0.24,-1,174,19,23,29.6,37,16.2,27.1,71,2,2.8,5,14.8,GK
405,Marc-André ter Stegen,2022-2023,30,de GER,Barcelona,es La Liga,38,3347,37.2,38,0,0,18,98,83,84.7,28,4,6,26,68.4,23.66767389,0.21,8.7,1215,185,22.1,28.9,197,34,35.2,368,18,4.9,41,16.4,GK
406,Marc-André ter Stegen,2023-2024,31,de GER,Barcelona,es La Liga,28,2520,28,28,0,0,27,102,75,75.5,20,5,3,15,53.6,27.71808733,0.25,0.7,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,15.6,GK
407,Marc-André ter Stegen,2024-2025,32,de GER,Barcelona,es La Liga,8,674,7.5,8,0,3,9,22,13,63.6,7,0,1,1,12.5,6.44451435,0.26,-2.6,224,40,12.1,26.5,27,14.8,32,83,5,6,13,17,GK
408,Pietro Terracciano,2022-2023,32,it ITA,Fiorentina,it Serie A,29,2610,29,29,0,8,38,96,59,66.7,9,8,12,5,17.2,33.08049394,0.28,-2.9,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,18.4,GK
409,Pietro Terracciano,2023-2024,33,it ITA,Fiorentina,it Serie A,33,2970,33,33,0,5,35,126,90,77,15,8,10,8,24.2,40.17188874,0.27,5.2,1051,120,29,32.1,176,43.8,38.2,307,7,2.3,23,14.6,GK
410,James Trafford,2023-2024,20,eng ENG,Burnley,eng Premier League,28,2520,28,28,0,8,62,166,106,65.7,3,5,20,2,7.1,54.07416441,0.3,-5.9,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,15,GK
