,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
717,Mihailo Ristić,LB,2023-2024,27,Celta Vigo,La Liga,Wing Back
718,Connor Roberts,RB,2023-2024,27,Burnley,Premier League,Wing Back
719,Andrew Robertson,LB,2023-2024,29,Liverpool,Premier League,Full Back
720,Antonee Robinson,LB,2023-2024,25,Fulham,Premier League,Full Back
722,Ricardo Rodríguez,LB,2023-2024,30,Torino,Serie A,Full Back
723,Mads Roerslev,RWB,2023-2024,24,Brentford,Premier League,Full Back
724,Rogério,LB,2023-2024,25,Wolfsburg,Bundesliga,Wing Back
727,Carlos Romero,LB,2023-2024,21,Villarreal,La Liga,Wing Back
729,Frank Ronstadt,RWB,2023-2024,26,Darmstadt 98,Bundesliga,Wing Back
730,Valentin Rosier,RB,2023-2024,26,Nice,Ligue 1,Wing Back
738,Mário Rui,LB,2023-2024,32,Napoli,Serie A,Full Back
739,Aitor Ruibal,RB,2023-2024,27,Betis,La Liga,Full Back
740,Julian Ryerson,RB,2023-2024,25,Dortmund,Bundesliga,Full Back
741,Youssouf Sabaly,RB,2023-2024,30,Betis,La Liga,Wing Back
742,Stefano Sabelli,RB,2023-2024,30,Genoa,Serie A,Full Back
745,Théo Sainte-Luce,LB,2023-2024,24,Montpellier,Ligue 1,Wing Back
751,Junior Sambia,RWB,2023-2024,26,Salernitana,Serie A,Wing Back
752,Ricard Sánchez,RB,2023-2024,23,Granada,La Liga,Full Back
754,Juanlu Sánchez,RB,2023-2024,19,Sevilla,La Liga,Full Back
755,Manu Sánchez,LB,2023-2024,22,Celta Vigo,La Liga,Full Back
756,Alex Sandro,LB,2023-2024,32,Juventus,Serie A,Wing Back
759,Tiago Santos,RB,2023-2024,21,Lille,Ligue 1,Full Back
761,Bouna Sarr,RB,2023-2024,31,Bayern Munich,Bundesliga,Wing Back
765,Joe Scally,RB,2023-2024,20,Gladbach,Bundesliga,Full Back
771,Benno Schmitz,RB,2023-2024,28,Köln,Bundesliga,Wing Back
775,Nélson Semedo,RB,2023-2024,29,Wolves,Premier League,Full Back
776,Marvin Senaya,RB,2023-2024,22,Strasbourg,Ligue 1,Full Back
778,Luke Shaw,LB,2023-2024,28,Manchester Utd,Premier League,Wing Back
780,Kiliann Sildillia,RB,2023-2024,21,Freiburg,Bundesliga,Full Back
781,Caio Henrique Oliveira Silva,LWB,2023-2024,26,Monaco,Ligue 1,Wing Back
786,Daley Sinkgraven,LB,2023-2024,28,Las Palmas,La Liga,Wing Back
791,Adam Smith,RB,2023-2024,32,Bournemouth,Premier League,Full Back
793,Cédric Soares,RB,2023-2024,31,Arsenal,Premier League,Wing Back
794,Danilo Soares,LB,2023-2024,31,Bochum,Bundesliga,Wing Back
795,Eduard Sobol,LB,2023-2024,28,Strasbourg,Ligue 1,Wing Back
796,Brandon Soppy,RWB,2023-2024,21,Torino,Serie A,Wing Back
799,Djed Spence,RB,2023-2024,22,Genoa,Serie A,Wing Back
800,Leonardo Spinazzola,LB,2023-2024,30,Roma,Serie A,Full Back
804,Pascal Stenzel,RB,2023-2024,27,Stuttgart,Bundesliga,Wing Back
807,Álex Suárez,RB,2023-2024,30,Las Palmas,La Liga,Full Back
808,Damián Suárez,RB,2023-2024,35,Getafe,La Liga,Full Back
809,Gabriel Suazo,LB,2023-2024,25,Toulouse,Ligue 1,Full Back
812,Dembo Sylla,RB,2023-2024,20,Lorient,Ligue 1,Wing Back
813,Issiaga Sylla,LB,2023-2024,29,Montpellier,Ligue 1,Full Back
815,Nicolás Tagliafico,LB,2023-2024,30,Lyon,Ligue 1,Full Back
820,Matt Targett,LB,2023-2024,27,Newcastle Utd,Premier League,Wing Back
823,Nuno Tavares,LB,2023-2024,23,Nott'ham Forest,Premier League,Wing Back
824,Charlie Taylor,LB,2023-2024,29,Burnley,Premier League,Full Back
825,Jackson Tchatchoua,RB,2023-2024,21,Hellas Verona,Serie A,Full Back
826,Enzo Tchato,RB,2023-2024,20,Montpellier,Ligue 1,Wing Back
827,Nathan Tella,RWB,2023-2024,24,Leverkusen,Bundesliga,Wing Back
829,Filippo Terracciano,LB,2023-2024,20,Hellas Verona,Serie A,Full Back
830,Kenny Tete,RB,2023-2024,27,Fulham,Premier League,Wing Back
833,Luke Thomas,LB,2023-2024,22,Sheffield Utd,Premier League,Wing Back
834,Kieran Tierney,LB,2023-2024,26,Real Sociedad,La Liga,Full Back
838,Harry Toffolo,LB,2023-2024,27,Nott'ham Forest,Premier League,Wing Back
839,Jeremy Toljan,RB,2023-2024,28,Sassuolo,Serie A,Wing Back
841,Takehiro Tomiyasu,RB,2023-2024,24,Arsenal,Premier League,Wing Back
848,Hamari Traoré,RB,2023-2024,31,Real Sociedad,La Liga,Full Back
850,Omar Traoré,RB,2023-2024,25,Heidenheim,Bundesliga,Full Back
851,Christopher Trimmel,RWB,2023-2024,36,Union Berlin,Bundesliga,Wing Back
852,Kieran Trippier,RB,2023-2024,32,Newcastle Utd,Premier League,Full Back
853,Adrien Truffert,LB,2023-2024,21,Rennes,Ligue 1,Full Back
855,Kostas Tsimikas,LB,2023-2024,27,Liverpool,Premier League,Wing Back
857,Destiny Udogie,LB,2023-2024,20,Tottenham,Premier League,Full Back
858,Matthieu Udol,LB,2023-2024,27,Metz,Ligue 1,Full Back
859,Lukas Ullrich,LB,2023-2024,19,Gladbach,Bundesliga,Wing Back
862,Josha Vagnoman,RB,2023-2024,22,Stuttgart,Bundesliga,Wing Back
863,Emanuele Valeri,LWB,2023-2024,24,Frosinone,Serie A,Wing Back
868,Vanderson,RB,2023-2024,22,Monaco,Ligue 1,Wing Back
871,Jesus Vazquez,LB,2023-2024,20,Valencia,La Liga,Wing Back
872,Kevin Vázquez,RB,2023-2024,30,Celta Vigo,La Liga,Wing Back
873,Lucas Vázquez,RB,2023-2024,32,Real Madrid,La Liga,Wing Back
875,Joël Veltman,RB,2023-2024,31,Brighton,Premier League,Wing Back
877,Lorenzo Venuti,RB,2023-2024,28,Lecce,Serie A,Wing Back
878,Nacho Vidal,RWB,2023-2024,28,Osasuna,La Liga,Wing Back
879,Matías Viña,LB,2023-2024,25,Sassuolo,Serie A,Wing Back
880,Rúben Vinagre,LB,2023-2024,24,Hellas Verona,Serie A,Wing Back
883,Vitinho,RB,2023-2024,24,Burnley,Premier League,Wing Back
887,Mërgim Vojvoda,LWB,2023-2024,28,Torino,Serie A,Wing Back
889,Kyle Walker,RB,2023-2024,33,Manchester City,Premier League,Wing Back
891,Aaron Wan-Bissaka,RB,2023-2024,25,Manchester Utd,Premier League,Wing Back
892,Joel Ward,RB,2023-2024,33,Crystal Palace,Premier League,Wing Back
893,Timothy Weah,RWB,2023-2024,23,Juventus,Serie A,Wing Back
895,Mitchell Weiser,RWB,2023-2024,29,Werder Bremen,Bundesliga,Full Back
896,Noah Weißhaupt,LWB,2023-2024,21,Freiburg,Bundesliga,Wing Back
897,Ben White,RB,2023-2024,25,Arsenal,Premier League,Full Back
898,Silvan Widmer,RWB,2023-2024,30,Mainz 05,Bundesliga,Wing Back
900,Neco Williams,LB,2023-2024,22,Nott'ham Forest,Premier League,Wing Back
901,Josh Wilson-Esbrand,LB,2023-2024,20,Reims,Ligue 1,Wing Back
903,Maximilian Wittek,LB,2023-2024,27,Bochum,Bundesliga,Wing Back
905,Marius Wolf,RB,2023-2024,28,Dortmund,Bundesliga,Wing Back
909,Darlin Yongwa,LWB,2023-2024,22,Lorient,Ligue 1,Wing Back
911,Ashley Young,LWB,2023-2024,38,Everton,Premier League,Wing Back
915,Yoram Zague,RB,2023-2024,17,Paris S-G,Ligue 1,Wing Back
916,Joseba Zaldúa,RB,2023-2024,31,Cádiz,La Liga,Wing Back
917,Nicola Zalewski,LB,2023-2024,21,Roma,Serie A,Wing Back
918,Alessandro Zanoli,RWB,2023-2024,22,Salernitana,Serie A,Wing Back
919,Gabriele Zappa,RB,2023-2024,23,Cagliari,Serie A,Wing Back
920,Davide Zappacosta,RWB,2023-2024,31,Atalanta,Serie A,Wing Back
921,Mehdi Zeffane,RWB,2023-2024,31,Clermont Foot,Ligue 1,Wing Back
922,Jordan Zemura,LB,2023-2024,23,Udinese,Serie A,Wing Back
927,Oleksandr Zinchenko,LB,2023-2024,26,Arsenal,Premier League,Full Back
928,Luc Zogbé,RB,2023-2024,18,Brest,Ligue 1,Wing Back
929,Nadir Zortea,RWB,2023-2024,24,Frosinone,Serie A,Wing Back
931,Igor Zubeldia,RB,2023-2024,26,Real Sociedad,La Liga,Wing Back
