,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
283,Ohis Felix Uduokhai,CB,2023-2024,25,Augsburg,Bundesliga,Central Defender
285,Edimilson Fernandes,CB,2023-2024,27,Mainz 05,Bundesliga,Central Defender
286,João Ferreira,CB,2023-2024,22,Udinese,Serie A,Central Defender
295,Marco Friedl,CB,2023-2024,25,Werder Bremen,Bundesliga,Central Defender
296,Marvin Friedrich,CB,2023-2024,27,Gladbach,Bundesliga,Central Defender
298,Matteo Gabbia,CB,2023-2024,23,Milan,Serie A,Central Defender
302,David García,CB,2023-2024,29,Osasuna,La Liga,Central Defender
303,Eric García,CB,2023-2024,22,Barcelona,La Liga,Central Defender
306,Unai García,CB,2023-2024,31,Osasuna,La Liga,Central Defender
307,Federico Gatti,CB,2023-2024,25,Juventus,Serie A,Central Defender
308,Federico Gattoni,CB,2023-2024,24,Sevilla,La Liga,Central Defender
310,Lautaro Gianetti,CB,2023-2024,29,Udinese,Serie A,Central Defender
311,Samuel Gigot,CB,2023-2024,29,Marseille,Ligue 1,Central Defender
313,Alfie Gilchrist,CB,2023-2024,19,Chelsea,Premier League,Central Defender
314,Benedikt Gimber,CB,2023-2024,26,Heidenheim,Bundesliga,Central Defender
315,Matthias Ginter,CB,2023-2024,29,Freiburg,Bundesliga,Central Defender
316,Klaus Gjasula,CB,2023-2024,33,Darmstadt 98,Bundesliga,Central Defender
317,Ben Godfrey,CB,2023-2024,25,Everton,Premier League,Central Defender
318,Edoardo Goldaniga,CB,2023-2024,29,Cagliari,Serie A,Central Defender
319,Toti Gomes,CB,2023-2024,24,Wolves,Premier League,Central Defender
320,Joe Gomez,CB,2023-2024,26,Liverpool,Premier League,Ball Playing Center Back
321,Édgar González,CB,2023-2024,26,Almería,La Liga,Central Defender
325,Jeffrey Gouweleeuw,CB,2023-2024,32,Augsburg,Bundesliga,Central Defender
326,Jonathan Gradit,CB,2023-2024,30,Lens,Ligue 1,Central Defender
327,Florian Grillitsch,CB,2023-2024,27,Hoffenheim,Bundesliga,Central Defender
329,Christian Groß,CB,2023-2024,34,Werder Bremen,Bundesliga,Central Defender
330,Nemanja Gudelj,CB,2023-2024,31,Sevilla,La Liga,Central Defender
333,Marc Guéhi,CB,2023-2024,23,Crystal Palace,Premier League,Central Defender
335,Axel Guessand,CB,2023-2024,18,Udinese,Serie A,Central Defender
336,Josuha Guilavogui,CB,2023-2024,32,Mainz 05,Bundesliga,Central Defender
338,Manuel Gulde,CB,2023-2024,32,Freiburg,Bundesliga,Central Defender
345,Norbert Gyömbér,CB,2023-2024,31,Salernitana,Serie A,Central Defender
351,Andreas Hanche-Olsen,CB,2023-2024,26,Mainz 05,Bundesliga,Central Defender
352,Makoto Hasebe,CB,2023-2024,39,Eint Frankfurt,Bundesliga,Central Defender
355,Pantelis Hatzidiakos,CB,2023-2024,26,Cagliari,Serie A,Central Defender
356,Jan Paul van Hecke,CB,2023-2024,23,Brighton,Premier League,Libero
361,Christophe Hérelle,CB,2023-2024,30,Metz,Ligue 1,Central Defender
362,Mario Hermoso,CB,2023-2024,28,Atlético Madrid,La Liga,Central Defender
364,Aridane Hernández,CB,2023-2024,34,Rayo Vallecano,La Liga,Central Defender
365,Lucas Hernández,CB,2023-2024,27,Paris S-G,Ligue 1,Central Defender
366,Luis Hernández,CB,2023-2024,34,Cádiz,La Liga,Central Defender
368,Yarek Hernandis,CB,2023-2024,18,Valencia,La Liga,Central Defender
369,Jorge Herrando,CB,2023-2024,22,Osasuna,La Liga,Central Defender
370,Juan Herzog,CB,2023-2024,20,Las Palmas,La Liga,Central Defender
372,Isak Hien,CB,2023-2024,24,Atalanta,Serie A,Central Defender
374,Piero Hincapié,CB,2023-2024,21,Leverkusen,Bundesliga,Central Defender
376,Mason Holgate,CB,2023-2024,26,Sheffield Utd,Premier League,Central Defender
378,Timo Hübers,CB,2023-2024,27,Köln,Bundesliga,Central Defender
379,Dean Huijsen,CB,2023-2024,18,Roma,Serie A,Central Defender
380,Mats Hummels,CB,2023-2024,34,Dortmund,Bundesliga,Central Defender
384,Igor,CB,2023-2024,25,Brighton,Premier League,Central Defender
386,Thomas Isherwood,CB,2023-2024,25,Darmstadt 98,Bundesliga,Central Defender
388,Ardian Ismajli,CB,2023-2024,26,Empoli,Serie A,Central Defender
389,Ko Itakura,CB,2023-2024,26,Gladbach,Bundesliga,Central Defender
390,Hiroki Ito,CB,2023-2024,24,Stuttgart,Bundesliga,Central Defender
392,Armando Izzo,CB,2023-2024,31,Monza,Serie A,Central Defender
394,Paul Jaeckel,CB,2023-2024,25,Union Berlin,Bundesliga,Central Defender
397,Tony Jantschke,CB,2023-2024,33,Gladbach,Bundesliga,Central Defender
398,Moritz Jenz,CB,2023-2024,24,Wolfsburg,Bundesliga,Central Defender
399,Juan Jesus,CB,2023-2024,32,Napoli,Serie A,Central Defender
403,Joseph Johnson,CB,2023-2024,17,Luton Town,Premier League,Central Defender
405,Juanpe,CB,2023-2024,32,Girona,La Liga,Central Defender
406,Mads Juel Andersen,CB,2023-2024,25,Luton Town,Premier League,Central Defender
407,Christopher Jullien,CB,2023-2024,30,Montpellier,Ligue 1,Central Defender
408,Anthony Jung,CB,2023-2024,31,Werder Bremen,Bundesliga,Central Defender
411,Ozan Kabak,CB,2023-2024,23,Hoffenheim,Bundesliga,Central Defender
412,Christian Kabasele,CB,2023-2024,32,Udinese,Serie A,Central Defender
415,Kaiky,CB,2023-2024,19,Almería,La Liga,Central Defender
417,Pierre Kalulu,CB,2023-2024,23,Milan,Serie A,Central Defender
420,Willy Kambwala,CB,2023-2024,18,Manchester Utd,Premier League,Central Defender
425,Michael Keane,CB,2023-2024,30,Everton,Premier League,Central Defender
426,Kévin Keben Biakolo,CB,2023-2024,19,Toulouse,Ligue 1,Central Defender
427,Thilo Kehrer,CB,2023-2024,26,Monaco,Ligue 1,Central Defender
428,Yannik Keitel,CB,2023-2024,23,Freiburg,Bundesliga,Central Defender
429,Lloyd Kelly,CB,2023-2024,24,Bournemouth,Premier League,Central Defender
431,Abdukodir Khusanov,CB,2023-2024,19,Lens,Ligue 1,Central Defender
432,Luca Kilian,CB,2023-2024,23,Köln,Bundesliga,Central Defender
433,Max Kilman,CB,2023-2024,26,Wolves,Premier League,Central Defender
435,Simon Kjær,CB,2023-2024,34,Milan,Serie A,Central Defender
436,Christoph Klarer,CB,2023-2024,23,Darmstadt 98,Bundesliga,Central Defender
438,Robin Knoche,CB,2023-2024,31,Union Berlin,Bundesliga,Central Defender
439,Robin Koch,CB,2023-2024,27,Eint Frankfurt,Bundesliga,Central Defender
440,Dominik Kohr,CB,2023-2024,29,Mainz 05,Bundesliga,Central Defender
443,Ibrahima Konaté,CB,2023-2024,24,Liverpool,Premier League,Central Defender
445,Ezri Konsa,CB,2023-2024,25,Aston Villa,Premier League,Central Defender
446,Odilon Kossonou,CB,2023-2024,22,Leverkusen,Bundesliga,Central Defender
450,Jules Koundé,CB,2023-2024,24,Barcelona,La Liga,Central Defender
451,Boubakar Kouyaté,CB,2023-2024,26,Montpellier,Ligue 1,Central Defender
455,Thomas Kristensen,CB,2023-2024,21,Udinese,Serie A,Central Defender
458,Marash Kumbulla,CB,2023-2024,23,Sassuolo,Serie A,Central Defender
461,Maxence Lacroix,CB,2023-2024,23,Wolfsburg,Bundesliga,Central Defender
462,Yoel Lago,CB,2023-2024,19,Celta Vigo,La Liga,Central Defender
467,Aymeric Laporte,CB,2023-2024,29,Manchester City,Premier League,Central Defender
468,Julien Laporte,CB,2023-2024,29,Lorient,Ligue 1,Central Defender
469,Jamaal Lascelles,CB,2023-2024,29,Newcastle Utd,Premier League,Central Defender
474,Julien Le Cardinal,CB,2023-2024,25,Brest,Ligue 1,Central Defender
476,Robin Le Normand,CB,2023-2024,26,Real Sociedad,La Liga,Central Defender
477,Diogo Leite,CB,2023-2024,24,Union Berlin,Bundesliga,Central Defender
478,Maxim Leitsch,CB,2023-2024,25,Mainz 05,Bundesliga,Central Defender
479,Florian Lejeune,CB,2023-2024,32,Rayo Vallecano,La Liga,Central Defender
480,Stefan Lekovic,CB,2023-2024,19,Villarreal,La Liga,Central Defender
483,Ruben Lendinez,CB,2023-2024,20,Valencia,La Liga,Central Defender
484,Clément Lenglet,CB,2023-2024,28,Aston Villa,Premier League,Central Defender
487,Philipp Lienhart,CB,2023-2024,27,Freiburg,Bundesliga,Central Defender
488,Matthijs de Ligt,CB,2023-2024,23,Bayern Munich,Bundesliga,Central Defender
489,Victor Lindelöf,CB,2023-2024,29,Manchester Utd,Premier League,Central Defender
493,Diego Llorente,CB,2023-2024,29,Roma,Serie A,Central Defender
494,Gautier Lloris,CB,2023-2024,28,Le Havre,Ligue 1,Central Defender
496,Tom Lockyer,CB,2023-2024,28,Luton Town,Premier League,Central Defender
498,Noah Loosli,CB,2023-2024,26,Bochum,Bundesliga,Central Defender
499,David López,CB,2023-2024,33,Girona,La Liga,Central Defender
502,Matteo Lovato,CB,2023-2024,23,Sassuolo,Serie A,Central Defender
503,Dejan Lovren,CB,2023-2024,34,Lyon,Ligue 1,Central Defender
506,Jhon Lucumí,CB,2023-2024,25,Bologna,Serie A,Central Defender
508,José Luis Palomino,CB,2023-2024,33,Atalanta,Serie A,Central Defender
509,Castello Lukeba,CB,2023-2024,20,RB Leipzig,Bundesliga,Central Defender
510,Sebastiano Luperto,CB,2023-2024,26,Empoli,Serie A,Central Defender
511,Mateus Lusuardi,CB,2023-2024,19,Frosinone,Serie A,Central Defender
516,Gabriel Magalhães,CB,2023-2024,25,Arsenal,Premier League,Central Defender
517,Soungoutou Magassa,CB,2023-2024,19,Monaco,Ligue 1,Central Defender
518,Matej Maglica,CB,2023-2024,24,Darmstadt 98,Bundesliga,Central Defender
519,Giangiacomo Magnani,CB,2023-2024,27,Hellas Verona,Serie A,Central Defender
520,Harry Maguire,CB,2023-2024,30,Manchester Utd,Premier League,Central Defender
521,Patrick Mainka,CB,2023-2024,28,Heidenheim,Bundesliga,Central Defender
524,Julián Malatini,CB,2023-2024,22,Werder Bremen,Bundesliga,Central Defender
526,Gianluca Mancini,CB,2023-2024,27,Roma,Serie A,Classic Center Back
527,Reinildo Mandava,CB,2023-2024,29,Atlético Madrid,La Liga,Classic Center Back
528,Aïssa Mandi,CB,2023-2024,31,Villarreal,La Liga,Classic Center Back
529,Kostas Manolas,CB,2023-2024,32,Salernitana,Serie A,Central Defender
532,Marcão,CB,2023-2024,27,Sevilla,La Liga,Central Defender
534,Gian Marco Ferrari,CB,2023-2024,31,Sassuolo,Serie A,Classic Center Back
536,Pablo Marí,CB,2023-2024,29,Monza,Serie A,Classic Center Back
537,José María Giménez,CB,2023-2024,28,Atlético Madrid,La Liga,Classic Center Back
538,Rafa Marín,CB,2023-2024,21,Alavés,La Liga,Classic Center Back
539,Guillermo Maripán,CB,2023-2024,29,Monaco,Ligue 1,Classic Center Back
540,Mika Màrmol,CB,2023-2024,21,Las Palmas,La Liga,Classic Center Back
541,Marquinhos,CB,2023-2024,29,Paris S-G,Ligue 1,Classic Center Back
543,Jon Martin,CB,2023-2024,17,Real Sociedad,La Liga,Central Defender
545,Iñigo Martínez,CB,2023-2024,32,Barcelona,La Liga,Classic Center Back
546,Lisandro Martínez,CB,2023-2024,25,Manchester Utd,Premier League,Central Defender
547,Lucas Martínez Quarta,CB,2023-2024,27,Fiorentina,Serie A,Classic Center Back
549,Adam Masina,CB,2023-2024,29,Torino,Serie A,Classic Center Back
550,Erhan Mašović,CB,2023-2024,24,Bochum,Bundesliga,Classic Center Back
552,Joël Matip,CB,2023-2024,31,Liverpool,Premier League,Classic Center Back
553,Chrislain Matsima,CB,2023-2024,21,Monaco,Ligue 1,Classic Center Back
554,Alan Matturro,CB,2023-2024,18,Genoa,Serie A,Central Defender
555,Konstantinos Mavropanos,CB,2023-2024,25,West Ham,Premier League,Classic Center Back
556,Christian Mawissa,CB,2023-2024,18,Toulouse,Ligue 1,Classic Center Back
562,Mamadou Mbaye,CB,2023-2024,25,Cádiz,La Liga,Central Defender
563,Chancel Mbemba,CB,2023-2024,28,Marseille,Ligue 1,Classic Center Back
564,Scott McKenna,CB,2023-2024,26,Nott'ham Forest,Premier League,Central Defender
565,Facundo Medina,CB,2023-2024,24,Lens,Ligue 1,Classic Center Back
567,Bamo Meïté,CB,2023-2024,21,Marseille,Ligue 1,Classic Center Back
572,Antoine Mendy,CB,2023-2024,19,Nice,Ligue 1,Central Defender
575,Formose Mendy,CB,2023-2024,22,Lorient,Ligue 1,Classic Center Back
576,Teden Mengi,CB,2023-2024,21,Luton Town,Premier League,Classic Center Back
577,Chris Mepham,CB,2023-2024,25,Bournemouth,Premier League,Central Defender
578,Jorge Meré,CB,2023-2024,26,Cádiz,La Liga,Central Defender
581,Bastien Meupiyou,CB,2023-2024,17,Nantes,Ligue 1,Central Defender
582,Nikola Milenković,CB,2023-2024,25,Fiorentina,Serie A,Classic Center Back
583,Éder Militão,CB,2023-2024,25,Real Madrid,La Liga,Central Defender
584,Kim Min-jae,CB,2023-2024,26,Bayern Munich,Bundesliga,Classic Center Back
585,Yerry Mina,CB,2023-2024,28,Cagliari,Serie A,Classic Center Back
587,Tyrone Mings,CB,2023-2024,30,Aston Villa,Premier League,Central Defender
588,Óscar Mingueza,CB,2023-2024,24,Celta Vigo,La Liga,Classic Center Back
589,Ignasi Miquel,CB,2023-2024,30,Granada,La Liga,Classic Center Back
591,Kevin Miranda,CB,2023-2024,20,Sassuolo,Serie A,Central Defender
594,Stefan Mitrović,CB,2023-2024,33,Getafe,La Liga,Central Defender
599,Ilario Monterisi,CB,2023-2024,21,Frosinone,Serie A,Classic Center Back
600,César Montes,CB,2023-2024,26,Almería,La Liga,Classic Center Back
606,Cristhian Mosquera,CB,2023-2024,19,Valencia,La Liga,Classic Center Back
607,Yerson Mosquera,CB,2023-2024,22,Valencia,2 Comps,Classic Center Back
608,Loris Mouyokolo,CB,2023-2024,22,Lorient,Ligue 1,Central Defender
609,Nordi Mukiele,CB,2023-2024,25,Paris S-G,Ligue 1,Central Defender
610,Jannik Müller,CB,2023-2024,29,Darmstadt 98,Bundesliga,Classic Center Back
611,Abdul Mumin,CB,2023-2024,25,Rayo Vallecano,La Liga,Classic Center Back
614,Murillo,CB,2023-2024,21,Nott'ham Forest,Premier League,Classic Center Back
618,Evan N'Dicka,CB,2023-2024,23,Roma,Serie A,Classic Center Back
620,Nacho,CB,2023-2024,33,Real Madrid,La Liga,Classic Center Back
621,Matija Nastasić,CB,2023-2024,30,Mallorca,La Liga,Classic Center Back
622,Natan,CB,2023-2024,22,Napoli,Serie A,Classic Center Back
627,Moussa Niakhate,CB,2023-2024,27,Nott'ham Forest,Premier League,Classic Center Back
628,Tanguy Nianzou,CB,2023-2024,21,Sevilla,La Liga,Central Defender
629,Rasmus Nicolaisen,CB,2023-2024,26,Toulouse,Ligue 1,Classic Center Back
632,Kasim Nuhu,CB,2023-2024,28,Hoffenheim,Bundesliga,Central Defender
633,Unai Núñez,CB,2023-2024,26,Celta Vigo,La Liga,Classic Center Back
635,Gerzino Nyamsi,CB,2023-2024,26,Strasbourg,Ligue 1,Classic Center Back
636,Jake O'Brien,CB,2023-2024,22,Lyon,Ligue 1,Classic Center Back
637,Dara O'Shea,CB,2023-2024,24,Burnley,Premier League,Classic Center Back
638,Adam Obert,CB,2023-2024,20,Cagliari,Serie A,Central Defender
642,Angelo Ogbonna,CB,2023-2024,35,West Ham,Premier League,Central Defender
643,Florent Ogier,CB,2023-2024,34,Clermont Foot,Ligue 1,Classic Center Back
644,Caleb Okoli,CB,2023-2024,22,Frosinone,Serie A,Classic Center Back
645,Joseph Okumu,CB,2023-2024,26,Reims,Ligue 1,Classic Center Back
647,Warmed Omari,CB,2023-2024,23,Rennes,Ligue 1,Classic Center Back
648,Becir Omeragic,CB,2023-2024,21,Montpellier,Ligue 1,Classic Center Back
649,Andrew Omobamidele,CB,2023-2024,21,Nott'ham Forest,Premier League,Central Defender
651,Willi Orban,CB,2023-2024,30,RB Leipzig,Bundesliga,Classic Center Back
652,Ivan Ordets,CB,2023-2024,31,Bochum,Bundesliga,Classic Center Back
654,Gabriel Osho,CB,2023-2024,24,Luton Town,Premier League,Classic Center Back
656,Aiham Ousou,CB,2023-2024,23,Cádiz,La Liga,Central Defender
658,Cenk Özkacar,CB,2023-2024,22,Valencia,La Liga,Classic Center Back
659,Jon Pacheco,CB,2023-2024,22,Real Sociedad,La Liga,Classic Center Back
660,Willian Pacho,CB,2023-2024,21,Eint Frankfurt,Bundesliga,Classic Center Back
661,Nicolas Pallois,CB,2023-2024,35,Nantes,Ligue 1,Classic Center Back
663,Antonios Papadopoulos,CB,2023-2024,23,Dortmund,Bundesliga,Central Defender
664,Sokratis Papastathopoulos,CB,2023-2024,35,Betis,La Liga,Classic Center Back
666,Aitor Paredes,CB,2023-2024,23,Athletic Club,La Liga,Classic Center Back
668,Triantafyllos Pasaridīs,CB,2023-2024,27,Salernitana,Serie A,Central Defender
670,Patric,CB,2023-2024,30,Lazio,Serie A,Classic Center Back
672,Gabriel Paulista,CB,2023-2024,32,Valencia,La Liga,Classic Center Back
673,Benjamin Pavard,CB,2023-2024,27,Inter,Serie A,Classic Center Back
679,Marco Pellegrino,CB,2023-2024,22,Salernitana,Serie A,Central Defender
680,Andy Pelmard,CB,2023-2024,23,Clermont Foot,Ligue 1,Classic Center Back
681,Aurélien Pelon,CB,2023-2024,19,Lorient,Ligue 1,Central Defender
683,Danilo Pereira,CB,2023-2024,31,Paris S-G,Ligue 1,Classic Center Back
685,Nehuén Pérez,CB,2023-2024,23,Udinese,La Liga,Classic Center Back
687,Lucas Perrin,CB,2023-2024,24,Strasbourg,Ligue 1,Classic Center Back
688,Germán Pezzella,CB,2023-2024,32,Betis,La Liga,Classic Center Back
690,Patric Pfeiffer,CB,2023-2024,23,Augsburg,Bundesliga,Central Defender
691,Kamil Piątkowski,CB,2023-2024,23,Granada,La Liga,Central Defender
692,Amos Pieper,CB,2023-2024,25,Werder Bremen,Bundesliga,Central Defender
693,Niccolò Pierozzi,CB,2023-2024,21,Salernitana,Serie A,Central Defender
695,Ethan Pinnock,CB,2023-2024,30,Brentford,Premier League,Ball Playing Center Back
696,Lorenzo Pirola,CB,2023-2024,21,Salernitana,Serie A,Ball Playing Center Back
697,Marin Pongračić,CB,2023-2024,25,Lecce,Serie A,Ball Playing Center Back
702,Jarell Quansah,CB,2023-2024,20,Liverpool,Premier League,Ball Playing Center Back
703,Aleksandar Radovanović,CB,2023-2024,29,Almería,La Liga,Ball Playing Center Back
704,Antonio Raillo,CB,2023-2024,31,Mallorca,La Liga,Ball Playing Center Back
705,Sergio Ramos,CB,2023-2024,37,Sevilla,La Liga,Ball Playing Center Back
706,Luca Ranieri,CB,2023-2024,24,Fiorentina,Serie A,Ball Playing Center Back
709,Tim Ream,CB,2023-2024,35,Fulham,Premier League,Ball Playing Center Back
711,Chadi Riad,CB,2023-2024,20,Betis,La Liga,Ball Playing Center Back
712,Alexsandro Ribeiro,CB,2023-2024,23,Lille,Ligue 1,Ball Playing Center Back
713,Chris Richards,CB,2023-2024,23,Crystal Palace,Premier League,Ball Playing Center Back
715,Clemens Riedel,CB,2023-2024,20,Darmstadt 98,Bundesliga,Ball Playing Center Back
721,Jack Robinson,CB,2023-2024,29,Sheffield Utd,Premier League,Ball Playing Center Back
725,Alessio Romagnoli,CB,2023-2024,28,Lazio,Serie A,Ball Playing Center Back
726,Simone Romagnoli,CB,2023-2024,33,Frosinone,Serie A,Ball Playing Center Back
728,Cristian Romero,CB,2023-2024,25,Tottenham,Premier League,Ball Playing Center Back
731,Anthony Rouault,CB,2023-2024,22,Toulouse,Ligue 1,Ball Playing Center Back
732,Jérôme Roussillon,CB,2023-2024,30,Union Berlin,Bundesliga,Ball Playing Center Back
733,Amir Rrahmani,CB,2023-2024,29,Napoli,Serie A,Ball Playing Center Back
734,Ruan,CB,2023-2024,24,Sassuolo,Serie A,Ball Playing Center Back
735,Antonio Rüdiger,CB,2023-2024,30,Real Madrid,La Liga,Ball Playing Center Back
736,Daniele Rugani,CB,2023-2024,29,Juventus,Serie A,Ball Playing Center Back
737,Matteo Ruggeri,CB,2023-2024,21,Atalanta,Serie A,Ball Playing Center Back
743,Falaye Sacko,CB,2023-2024,28,Montpellier,Ligue 1,Ball Playing Center Back
744,Modibo Sagnan,CB,2023-2024,24,Montpellier,Ligue 1,Ball Playing Center Back
746,Mamadou Sakho,CB,2023-2024,33,Montpellier,Ligue 1,Ball Playing Center Back
747,Kike Salas,CB,2023-2024,21,Sevilla,La Liga,Ball Playing Center Back
748,William Saliba,CB,2023-2024,22,Arsenal,Premier League,Ball Playing Center Back
749,Mohammed Salisu,CB,2023-2024,24,Monaco,Ligue 1,Ball Playing Center Back
750,Yoann Salmier,CB,2023-2024,30,Le Havre,Ligue 1,Ball Playing Center Back
753,Davinson Sánchez,CB,2023-2024,27,Tottenham,Premier League,Ball Playing Center Back
757,Sadibou Sané,CB,2023-2024,19,Metz,Ligue 1,Ball Playing Center Back
758,Arouna Sangante,CB,2023-2024,21,Le Havre,Ligue 1,Ball Playing Center Back
760,Paco Sanz,CB,2023-2024,18,Almería,La Liga,Ball Playing Center Back
762,Mamadou Sarr,CB,2023-2024,17,Lyon,Ligue 1,Ball Playing Center Back
763,Stefan Savić,CB,2023-2024,32,Atlético Madrid,La Liga,Ball Playing Center Back
764,Saba Sazonov,CB,2023-2024,21,Torino,Serie A,Ball Playing Center Back
766,Giorgio Scalvini,CB,2023-2024,19,Atalanta,Serie A,Ball Playing Center Back
767,Fabian Schär,CB,2023-2024,31,Newcastle Utd,Premier League,Ball Playing Center Back
768,Keven Schlotterbeck,CB,2023-2024,26,Bochum,Bundesliga,Ball Playing Center Back
769,Nico Schlotterbeck,CB,2023-2024,23,Dortmund,Bundesliga,Ball Playing Center Back
770,Kenneth Schmidt,CB,2023-2024,21,Freiburg,Bundesliga,Ball Playing Center Back
772,Perr Schuurs,CB,2023-2024,23,Torino,Serie A,Ball Playing Center Back
773,Aleksandar Sedlar,CB,2023-2024,31,Alavés,La Liga,Ball Playing Center Back
774,Alidu Seidu,CB,2023-2024,23,Clermont Foot,Ligue 1,Ball Playing Center Back
777,Marcos Senesi,CB,2023-2024,26,Bournemouth,Premier League,Ball Playing Center Back
779,Tim Siersleben,CB,2023-2024,23,Heidenheim,Bundesliga,Ball Playing Center Back
782,Thiago Silva,CB,2023-2024,38,Chelsea,Premier League,Ball Playing Center Back
783,Mohamed Simakan,CB,2023-2024,23,RB Leipzig,Bundesliga,Ball Playing Center Back
784,Jan-Carlo Simic,CB,2023-2024,18,Milan,Serie A,Ball Playing Center Back
785,Wilfried Singo,CB,2023-2024,22,Monaco,Ligue 1,Ball Playing Center Back
787,Jailson Siqueira,CB,2023-2024,27,Celta Vigo,La Liga,Ball Playing Center Back
788,Leo Skiri Østigård,CB,2023-2024,23,Napoli,Serie A,Ball Playing Center Back
789,Milan Škriniar,CB,2023-2024,28,Paris S-G,Ligue 1,Ball Playing Center Back
790,Chris Smalling,CB,2023-2024,33,Roma,Serie A,Ball Playing Center Back
792,Hrvoje Smolčić,CB,2023-2024,22,Eint Frankfurt,Bundesliga,Ball Playing Center Back
797,Saidou Sow,CB,2023-2024,21,Strasbourg,Ligue 1,Ball Playing Center Back
798,Çağlar Söyüncü,CB,2023-2024,27,Atlético Madrid,La Liga,Ball Playing Center Back
801,Josip Stanišić,CB,2023-2024,23,Leverkusen,Bundesliga,Ball Playing Center Back
802,Carl Starfelt,CB,2023-2024,28,Celta Vigo,La Liga,Ball Playing Center Back
803,Niklas Stark,CB,2023-2024,28,Werder Bremen,Bundesliga,Ball Playing Center Back
805,Leonidas Stergiou,CB,2023-2024,21,Stuttgart,Bundesliga,Ball Playing Center Back
806,John Stones,CB,2023-2024,29,Manchester City,Premier League,Ball Playing Center Back
810,Niklas Süle,CB,2023-2024,27,Dortmund,Bundesliga,Ball Playing Center Back
811,Abakar Sylla,CB,2023-2024,20,Strasbourg,Ligue 1,Ball Playing Center Back
814,Attila Szalai,CB,2023-2024,25,Freiburg,Bundesliga,Ball Playing Center Back
816,Jonathan Tah,CB,2023-2024,27,Leverkusen,Bundesliga,Ball Playing Center Back
817,Montassar Talbi,CB,2023-2024,25,Lorient,Ligue 1,Ball Playing Center Back
818,Adrien Tameze,CB,2023-2024,29,Torino,Serie A,Ball Playing Center Back
819,Edmond Tapsoba,CB,2023-2024,24,Leverkusen,Bundesliga,Ball Playing Center Back
821,James Tarkowski,CB,2023-2024,30,Everton,Premier League,Ball Playing Center Back
822,César Tárrega,CB,2023-2024,21,Valencia,La Liga,Ball Playing Center Back
828,Nahuel Tenaglia,CB,2023-2024,27,Alavés,La Liga,Ball Playing Center Back
831,Arthur Theate,CB,2023-2024,23,Rennes,Ligue 1,Ball Playing Center Back
832,Malick Thiaw,CB,2023-2024,21,Milan,Serie A,Ball Playing Center Back
835,Antonio Tikvić,CB,2023-2024,19,Udinese,Serie A,Central Defender
836,Jurriën Timber,CB,2023-2024,22,Arsenal,Premier League,Ball Playing Center Back
837,Jean-Clair Todibo,CB,2023-2024,23,Nice,Ligue 1,Ball Playing Center Back
840,Rafael Tolói,CB,2023-2024,32,Atalanta,Serie A,Ball Playing Center Back
842,James Tomkins,CB,2023-2024,34,Crystal Palace,Premier League,Ball Playing Center Back
843,Fikayo Tomori,CB,2023-2024,25,Milan,Serie A,Ball Playing Center Back
844,Raúl Torrente,CB,2023-2024,21,Granada,La Liga,Ball Playing Center Back
845,Pau Torres,CB,2023-2024,26,Aston Villa,Premier League,Ball Playing Center Back
846,Ahmed Touba,CB,2023-2024,25,Lecce,Serie A,Ball Playing Center Back
847,Souleymane Touré,CB,2023-2024,20,Lorient,Ligue 1,Ball Playing Center Back
849,Ismaël Traoré,CB,2023-2024,36,Metz,Ligue 1,Ball Playing Center Back
854,Auston Trusty,CB,2023-2024,24,Sheffield Utd,Premier League,Ball Playing Center Back
856,Tuta,CB,2023-2024,24,Eint Frankfurt,Bundesliga,Ball Playing Center Back
860,Samuel Umtiti,CB,2023-2024,29,Lille,Ligue 1,Ball Playing Center Back
861,Dayot Upamecano,CB,2023-2024,24,Bayern Munich,Bundesliga,Ball Playing Center Back
864,Martin Valjent,CB,2023-2024,27,Mallorca,La Liga,Ball Playing Center Back
865,Jesús Vallejo,CB,2023-2024,26,Granada,La Liga,Central Defender
866,Siebe Van Der Heyden,CB,2023-2024,25,Mallorca,La Liga,Central Defender
867,Virgil van Dijk,CB,2023-2024,32,Liverpool,Premier League,Classic Center Back
869,Raphaël Varane,CB,2023-2024,30,Manchester Utd,Premier League,Classic Center Back
870,Johan Vásquez,CB,2023-2024,24,Genoa,Serie A,Classic Center Back
874,Miloš Veljković,CB,2023-2024,27,Werder Bremen,Bundesliga,Classic Center Back
876,Micky van de Ven,CB,2023-2024,22,Tottenham,Premier League,Classic Center Back
881,Ricardo Visus,CB,2023-2024,22,Betis,La Liga,Central Defender
882,Mattia Viti,CB,2023-2024,21,Sassuolo,Serie A,Central Defender
884,Daniel Vivian,CB,2023-2024,24,Athletic Club,La Liga,Classic Center Back
885,Alessandro Vogliacco,CB,2023-2024,24,Genoa,Serie A,Central Defender
886,Kevin Vogt,CB,2023-2024,31,Union Berlin,Bundesliga,Classic Center Back
888,Stefan de Vrij,CB,2023-2024,31,Inter,Serie A,Classic Center Back
890,Sebastian Walukiewicz,CB,2023-2024,23,Empoli,Serie A,Classic Center Back
899,Mateusz Wieteska,CB,2023-2024,26,Cagliari,Serie A,Central Defender
902,Axel Witsel,CB,2023-2024,34,Atlético Madrid,La Liga,Classic Center Back
904,Maximilian Wöber,CB,2023-2024,25,Gladbach,Bundesliga,Classic Center Back
