,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
77,Guillermo Ochoa,GK,2023-2024,38,Salernitana,Serie A,Modern GK
78,Maduka Okoye,GK,2023-2024,23,Udinese,Serie A,Modern GK
79,Robin Olsen,GK,2023-2024,33,Aston Villa,Premier League,Modern GK
80,Jonas Omlin,GK,2023-2024,29,Gladbach,Bundesliga,Modern GK
81,André Onana,GK,2023-2024,27,Manchester Utd,Premier League,Sweeper Keeper
82,Alexandre Oukidja,GK,2023-2024,35,Metz,Ligue 1,Classic GK
83,Rui Patrício,GK,2023-2024,35,Roma,Serie A,Modern GK
84,Jiří Pavlenka,GK,2023-2024,31,Werder Bremen,Bundesliga,Modern GK
85,Đorđe Petrović,GK,2023-2024,23,Chelsea,Premier League,Modern GK
86,Jordan Pickford,GK,2023-2024,29,Everton,Premier League,Classic GK
87,Ivan Provedel,GK,2023-2024,29,Lazio,Serie A,Modern GK
88,Predrag Rajković,GK,2023-2024,27,Mallorca,La Liga,Classic GK
89,Federico Ravaglia,GK,2023-2024,23,Bologna,Serie A,Modern GK
90,David Raya,GK,2023-2024,27,Arsenal,Premier League,Sweeper Keeper
91,Álex Remiro,GK,2023-2024,28,Real Sociedad,La Liga,Classic GK
92,Guillaume Restes,GK,2023-2024,18,Toulouse,Ligue 1,Modern GK
93,Manuel Riemann,GK,2023-2024,34,Bochum,Bundesliga,Sweeper Keeper
94,Frederik Rønnow,GK,2023-2024,30,Union Berlin,Bundesliga,Sweeper Keeper
95,José Sá,GK,2023-2024,30,Wolves,Premier League,Sweeper Keeper
96,Brice Samba,GK,2023-2024,29,Lens,Ligue 1,Sweeper Keeper
97,Robert Sánchez,GK,2023-2024,25,Chelsea,Premier League,Sweeper Keeper
98,Marcel Schuhen,GK,2023-2024,30,Darmstadt 98,Bundesliga,Classic GK
99,Marvin Schwäbe,GK,2023-2024,28,Köln,Bundesliga,Modern GK
100,Simone Scuffet,GK,2023-2024,27,Cagliari,Serie A,Classic GK
101,Matz Sels,GK,2023-2024,31,Nott'ham Forest,Premier League,Modern GK
102,Rui Silva,GK,2023-2024,29,Betis,La Liga,Sweeper Keeper
103,Marco Silvestri,GK,2023-2024,32,Udinese,Serie A,Modern GK
104,Unai Simón,GK,2023-2024,26,Athletic Club,La Liga,Classic GK
105,Antonio Sivera,GK,2023-2024,26,Alavés,La Liga,Classic GK
106,Łukasz Skorupski,GK,2023-2024,32,Bologna,Serie A,Modern GK
107,Yann Sommer,GK,2023-2024,34,Inter,Serie A,Modern GK
108,David Soria,GK,2023-2024,30,Getafe,La Liga,Classic GK
109,Alessandro Sorrentino,GK,2023-2024,21,Monza,Serie A,Modern GK
110,Marco Sportiello,GK,2023-2024,31,Milan,Serie A,Modern GK
111,Jason Steele,GK,2023-2024,32,Brighton,Premier League,Modern GK
112,Mile Svilar,GK,2023-2024,23,Roma,Serie A,Modern GK
113,Wojciech Szczęsny,GK,2023-2024,33,Juventus,Serie A,Modern GK
114,Marc-André ter Stegen,GK,2023-2024,31,Barcelona,La Liga,Modern GK
115,Pietro Terracciano,GK,2023-2024,33,Fiorentina,Serie A,Modern GK
116,James Trafford,GK,2023-2024,20,Burnley,Premier League,Classic GK
117,Kevin Trapp,GK,2023-2024,33,Eint Frankfurt,Bundesliga,Modern GK
118,Mark Travers,GK,2023-2024,24,Bournemouth,Premier League,Modern GK
119,Stefano Turati,GK,2023-2024,21,Frosinone,Serie A,Modern GK
120,Matt Turner,GK,2023-2024,29,Nott'ham Forest,Premier League,Sweeper Keeper
121,Sven Ulreich,GK,2023-2024,34,Bayern Munich,Bundesliga,Modern GK
122,Álvaro Vallés,GK,2023-2024,26,Las Palmas,La Liga,Sweeper Keeper
123,Bart Verbruggen,GK,2023-2024,20,Brighton,Premier League,Modern GK
124,Guglielmo Vicario,GK,2023-2024,26,Tottenham,Premier League,Sweeper Keeper
125,Iván Villar,GK,2023-2024,26,Celta Vigo,La Liga,Modern GK
126,Odisseas Vlachodimos,GK,2023-2024,29,Nott'ham Forest,Premier League,Modern GK
127,Robin Zentner,GK,2023-2024,28,Mainz 05,Bundesliga,Sweeper Keeper
128,Michael Zetterer,GK,2023-2024,28,Werder Bremen,Bundesliga,Sweeper Keeper
