,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
278,Brajan Gruda,AM,2023-2024,19,Mainz 05,Bundesliga,Advanced Playmaker
289,Jon Guridi,AM,2023-2024,28,Alavés,La Liga,Advanced Playmaker
292,Ianis Hagi,AM,2023-2024,24,Alavés,La Liga,Attacking Midfielder
296,Amine Harit,AM,2023-2024,26,Marseille,Ligue 1,Advanced Playmaker
297,Luke Harris,AM,2023-2024,18,Fulham,Premier League,Attacking Midfielder
299,Abdou Harroui,AM,2023-2024,25,Frosinone,Serie A,Attacking Midfielder
304,Adam Hložek,AM,2023-2024,21,Leverkusen,Bundesliga,Attacking Midfielder
306,Jonas Hofmann,AM,2023-2024,31,Leverkusen,Bundesliga,Advanced Playmaker
319,Lee Jae-sung,AM,2023-2024,30,Mainz 05,Bundesliga,Advanced Playmaker
325,Mikel Jauregizar,AM,2023-2024,19,Athletic Club,La Liga,Attacking Midfielder
338,Florian Kainz,AM,2023-2024,30,Köln,Bundesliga,Advanced Playmaker
339,Daichi Kamada,AM,2023-2024,26,Lazio,Serie A,Advanced Playmaker
344,Ayman Kari,AM,2023-2024,18,Lorient,Ligue 1,Attacking Midfielder
345,Grigoris Kastanos,AM,2023-2024,25,Salernitana,Serie A,Advanced Playmaker
356,Justin Kluivert,AM,2023-2024,24,Bournemouth,Premier League,Attacking Midfielder
357,Ansgar Knauff,AM,2023-2024,21,Eint Frankfurt,Bundesliga,Attacking Midfielder
360,Mert Kömür,AM,2023-2024,18,Augsburg,Bundesliga,Attacking Midfielder
364,Teun Koopmeiners,AM,2023-2024,25,Atalanta,Serie A,Attacking Midfielder
370,Andrej Kramarić,AM,2023-2024,32,Hoffenheim,Bundesliga,Attacking Midfielder
393,Giovani Lo Celso,AM,2023-2024,27,Tottenham,Premier League,Attacking Midfielder
396,Ruben Loftus-Cheek,AM,2023-2024,27,Milan,Serie A,Attacking Midfielder
414,James Maddison,AM,2023-2024,26,Tottenham,Premier League,Attacking Midfielder
421,Lovro Majer,AM,2023-2024,25,Wolfsburg,Bundesliga,Attacking Midfielder
425,Daniel Maldini,AM,2023-2024,21,2 Teams,Serie A,Attacking Midfielder
430,Marco Mancosu,AM,2023-2024,34,Cagliari,Serie A,Attacking Midfielder
437,Iván Martín,AM,2023-2024,24,Girona,La Liga,Attacking Midfielder
449,Eric Maxim Choupo-Moting,AM,2023-2024,34,Bayern Munich,Bundesliga,Attacking Midfielder
454,James Mcatee,AM,2023-2024,20,2 Teams,Premier League,Attacking Midfielder
461,Hannibal Mejbri,AM,2023-2024,20,Sevilla,La Liga,Attacking Midfielder
463,Gonzalo Melero,AM,2023-2024,29,Almería,La Liga,Attacking Midfielder
474,Enzo Millot,AM,2023-2024,21,Stuttgart,Bundesliga,Attacking Midfielder
475,Takumi Minamino,AM,2023-2024,28,Monaco,Ligue 1,Attacking Midfielder
477,Aleksei Miranchuk,AM,2023-2024,27,Atalanta,Serie A,Attacking Midfielder
482,Dion Moise Sahi,AM,2023-2024,21,Strasbourg,Ligue 1,Attacking Midfielder
490,Thomas Müller,AM,2023-2024,33,Bayern Munich,Bundesliga,Attacking Midfielder
492,Iker Muniain,AM,2023-2024,30,Athletic Club,La Liga,Attacking Midfielder
496,Jamal Musiala,AM,2023-2024,20,Bayern Munich,Bundesliga,Attacking Midfielder
497,Florent Muslija,AM,2023-2024,25,Freiburg,Bundesliga,Attacking Midfielder
520,Finn Ole Becker,AM,2023-2024,23,Hoffenheim,Bundesliga,Attacking Midfielder
533,Martin Ødegaard,AM,2023-2024,24,Arsenal,Premier League,Attacking Midfielder
536,Pablo Pagis,AM,2023-2024,20,Lorient,Ligue 1,Attacking Midfielder
551,Pepín,AM,2023-2024,26,Monza,Serie A,Attacking Midfielder
553,Andreas Pereira,AM,2023-2024,27,Fulham,Premier League,Attacking Midfielder
556,Kike Pérez,AM,2023-2024,26,Rayo Vallecano,La Liga,Attacking Midfielder
562,Tommaso Pobega,AM,2023-2024,24,Milan,Serie A,Attacking Midfielder
565,Julien Ponceau,AM,2023-2024,22,Lorient,Ligue 1,Attacking Midfielder
566,Portu,AM,2023-2024,31,Girona,La Liga,Attacking Midfielder
567,José Pozo,AM,2023-2024,27,Rayo Vallecano,La Liga,Attacking Midfielder
574,Nemanja Radonjić,AM,2023-2024,27,Mallorca,La Liga,Attacking Midfielder
583,Reinier,AM,2023-2024,21,Frosinone,Serie A,Attacking Midfielder
585,Marco Reus,AM,2023-2024,34,Dortmund,Bundesliga,Attacking Midfielder
590,Marco Richter,AM,2023-2024,25,Mainz 05,Bundesliga,Attacking Midfielder
591,Fabian Rieder,AM,2023-2024,21,Rennes,Ligue 1,Attacking Midfielder
593,Alberto Risco,AM,2023-2024,17,Getafe,La Liga,Attacking Midfielder
598,Óscar Rodríguez Arnaiz,AM,2023-2024,25,Getafe,La Liga,Attacking Midfielder
604,Morgan Rogers,AM,2023-2024,21,Aston Villa,Premier League,Attacking Midfielder
605,Merlin Röhl,AM,2023-2024,21,Freiburg,Bundesliga,Attacking Midfielder
609,Unai Ropero,AM,2023-2024,21,Alavés,La Liga,Attacking Midfielder
618,Roland Sallai,AM,2023-2024,26,Freiburg,Bundesliga,Attacking Midfielder
624,Oihan Sancet,AM,2023-2024,23,Athletic Club,La Liga,Attacking Midfielder
641,Demba Seck,AM,2023-2024,22,2 Teams,Serie A,Attacking Midfielder
645,Kevin Sessa,AM,2023-2024,23,Heidenheim,Bundesliga,Attacking Midfielder
653,Emile Smith Rowe,AM,2023-2024,23,Arsenal,Premier League,Attacking Midfielder
660,Florian Sotoca,AM,2023-2024,32,Lens,Ligue 1,Attacking Midfielder
673,Tomáš Suslov,AM,2023-2024,21,Hellas Verona,Serie A,Attacking Midfielder
681,Teddy Teuma,AM,2023-2024,29,Reims,Ligue 1,Attacking Midfielder
683,Denis Thomalla,AM,2023-2024,30,Heidenheim,Bundesliga,Attacking Midfielder
684,Adrien Thomasson,AM,2023-2024,29,Lens,Ligue 1,Attacking Midfielder
686,Kristian Thorstvedt,AM,2023-2024,24,Sassuolo,Serie A,Attacking Midfielder
693,Óliver Torres,AM,2023-2024,28,Sevilla,La Liga,Attacking Midfielder
700,Manu Trigueros,AM,2023-2024,31,Villarreal,La Liga,Attacking Midfielder
705,Mark Uth,AM,2023-2024,31,Köln,Bundesliga,Attacking Midfielder
708,Ruben Vargas,AM,2023-2024,24,Augsburg,Bundesliga,Attacking Midfielder
715,Emanuel Vignato,AM,2023-2024,22,Salernitana,Serie A,Attacking Midfielder
718,Nicolas Viola,AM,2023-2024,33,Cagliari,Serie A,Attacking Midfielder
720,Nikola Vlašić,AM,2023-2024,25,Torino,Serie A,Attacking Midfielder
723,Luca Waldschmidt,AM,2023-2024,27,Köln,Bundesliga,Attacking Midfielder
730,Florian Wirtz,AM,2023-2024,20,Leverkusen,Bundesliga,Attacking Midfielder
731,Jeong Woo-yeong,AM,2023-2024,23,Stuttgart,Bundesliga,Attacking Midfielder
735,Yusuf Yazıcı,AM,2023-2024,26,Lille,Ligue 1,Attacking Midfielder
744,Szymon Żurkowski,AM,2023-2024,25,Empoli,Serie A,Attacking Midfielder
9,Felix Agu,LM,2023-2024,23,Werder Bremen,Bundesliga,Wide Playmaker
10,Naouirou Ahamada,LM,2023-2024,21,Crystal Palace,Premier League,Wide Playmaker
12,Ilias Akhomach,RM,2023-2024,19,Villarreal,La Liga,Wide Playmaker
21,Iván Alejo,RM,2023-2024,28,Cádiz,La Liga,Wide Playmaker
22,Carles Aleñá,RM,2023-2024,25,Getafe,La Liga,Wide Playmaker
23,Aboubacar Ali,LM,2023-2024,17,Strasbourg,Ligue 1,Wide Playmaker
25,Tadeo Allende,RM,2023-2024,24,Celta Vigo,La Liga,Wide Playmaker
29,Hugo Álvarez,LM,2023-2024,20,Celta Vigo,La Liga,Wide Playmaker
51,Alex Baena,LM,2023-2024,22,Villarreal,La Liga,Wide Playmaker
57,Jonathan Bamba,LM,2023-2024,27,Celta Vigo,La Liga,Wide Playmaker
81,Jóhann Berg Guðmundsson,RM,2023-2024,32,Burnley,Premier League,Wide Playmaker
99,Benjamin Bourigeaud,RM,2023-2024,29,Rennes,Ligue 1,Wide Playmaker
109,Jacob Bruun Larsen,LM,2023-2024,24,Burnley,Premier League,Wide Playmaker
115,José Callejón,RM,2023-2024,36,Granada,La Liga,Wide Playmaker
123,Sergi Canós,LM,2023-2024,26,Valencia,La Liga,Wide Playmaker
137,Franco Cervi,LM,2023-2024,29,Celta Vigo,La Liga,Wide Playmaker
139,Timothy Chandler,LM,2023-2024,33,Eint Frankfurt,Bundesliga,Wide Playmaker
160,Jesús Corona,RM,2023-2024,30,Sevilla,La Liga,Wide Playmaker
166,Crespo,LM,2023-2024,26,Rayo Vallecano,La Liga,Wide Playmaker
194,Désiré Doué,LM,2023-2024,18,Rennes,Ligue 1,Wide Playmaker
218,Ansu Fati,LM,2023-2024,20,Brighton,Premier League,Wide Playmaker
225,Valery Fernández,LM,2023-2024,23,Girona,La Liga,Wide Playmaker
233,Emil Forsberg,LM,2023-2024,31,RB Leipzig,Bundesliga,Wide Playmaker
275,Mason Greenwood,RM,2023-2024,21,Getafe,La Liga,Wide Midfielder
276,Vincenzo Grifo,LM,2023-2024,30,Freiburg,Bundesliga,Wide Midfielder
298,Jack Harrison,RM,2023-2024,26,Everton,Premier League,Wide Midfielder
314,Gino Infantino,RM,2023-2024,20,Fiorentina,Serie A,Wide Playmaker
322,Ablie Jallow,RM,2023-2024,24,Metz,Ligue 1,Wide Midfielder
332,Jordi,LM,2023-2024,22,Getafe,La Liga,Wide Playmaker
334,Kamil Jóźwiak,LM,2023-2024,25,Granada,La Liga,Wide Playmaker
342,Yann Karamoh,LM,2023-2024,25,Montpellier,Ligue 1,Wide Playmaker
359,Luca Koleosho,LM,2023-2024,18,Burnley,Premier League,Wide Playmaker
399,Diego López,LM,2023-2024,21,Valencia,La Liga,Wide Playmaker
413,Darwin Machís,LM,2023-2024,30,Cádiz,La Liga,Wide Playmaker
446,Jean Mattéo Bahoya,LM,2023-2024,18,Eint Frankfurt,Bundesliga,Wide Playmaker
448,Aïman Maurer,LM,2023-2024,18,Clermont Foot,Ligue 1,Wide Playmaker
456,John McGinn,RM,2023-2024,28,Aston Villa,Premier League,Wide Playmaker
458,Dwight McNeil,LM,2023-2024,23,Everton,Premier League,Wide Playmaker
489,François Mughe,RM,2023-2024,19,Marseille,Ligue 1,Wide Playmaker
502,Roberto Navarro,LM,2023-2024,21,2 Teams,La Liga,Wide Midfielder
517,Wilson Odobert,LM,2023-2024,18,Burnley,Premier League,Wide Midfielder
518,Chiedozie Ogbene,RM,2023-2024,26,Luton Town,Premier League,Wide Midfielder
522,Dani Olmo,RM,2023-2024,25,RB Leipzig,Bundesliga,Wide Midfielder
538,Isaac Palazón Camacho,RM,2023-2024,28,Rayo Vallecano,La Liga,Wide Midfielder
552,Alberto Perea,LM,2023-2024,32,Granada,La Liga,Wide Playmaker
554,Carles Pérez,RM,2023-2024,25,Celta Vigo,La Liga,Wide Playmaker
555,Francisco Perez,RM,2023-2024,20,Valencia,La Liga,Wide Playmaker
560,Jens Petter Hauge,LM,2023-2024,23,Eint Frankfurt,Bundesliga,Wide Playmaker
576,Jesurun Rak Sakyi,RM,2023-2024,20,Crystal Palace,Premier League,Wide Playmaker
603,Miguel Rodríguez,RM,2023-2024,20,Celta Vigo,La Liga,Wide Playmaker
619,Salvi,RM,2023-2024,32,Rayo Vallecano,La Liga,Wide Playmaker
632,Pablo Sarabia,RM,2023-2024,31,Wolves,Premier League,Wide Playmaker
647,Xavi Simons,LM,2023-2024,20,RB Leipzig,Bundesliga,Wide Playmaker
654,Rubén Sobrino,LM,2023-2024,31,Cádiz,La Liga,Wide Playmaker
655,Emran Soglo,LM,2023-2024,18,Marseille,Ligue 1,Wide Playmaker
658,Alberto Soro,LM,2023-2024,24,Granada,La Liga,Wide Playmaker
674,Suso,RM,2023-2024,29,Sevilla,La Liga,Wide Playmaker
698,Bertrand Traoré,RM,2023-2024,27,Villarreal,La Liga,Wide Playmaker
701,Viktor Tsyhankov,RM,2023-2024,25,Girona,La Liga,Wide Playmaker
740,Bryan Zaragoza,LM,2023-2024,22,Granada,La Liga,Wide Playmaker
