,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
620,Simone Verdi,RW,2023-2024,31.0,Torino,Serie A,Classic Winger
621,Yorbe Vertessen,LW,2023-2024,22.0,Union Berlin,Bundesliga,Classic Winger
622,Carlos Vicente,RW,2023-2024,24.0,Alavés,La Liga,Classic Winger
624,Toni Villa,LW,2023-2024,28.0,Girona,La Liga,Classic Winger
627,Alan Virginius,RW,2023-2024,20.0,2 Teams,Ligue 1,Classic Winger
640,Nico Williams,LW,2023-2024,21.0,Athletic Club,La Liga,Inside Forward
641,Willian,LW,2023-2024,34.0,Fulham,Premier League,Inside Forward
643,Harry Wilson,RW,2023-2024,26.0,Fulham,Premier League,Inside Forward
644,Patrick Wimmer,LW,2023-2024,22.0,Wolfsburg,Bundesliga,Classic Winger
650,Xeber,RW,2023-2024,26.0,Alavés,La Liga,Classic Winger
651,Lamine Yamal,RW,2023-2024,16.0,Barcelona,La Liga,Inside Forward
655,Kenan Yıldız,LW,2023-2024,18.0,Juventus,Serie A,Classic Winger
656,Mattia Zaccagni,LW,2023-2024,28.0,Lazio,Serie A,Inside Forward
659,Anass Zaroury,LW,2023-2024,22.0,Burnley,Premier League,Classic Winger
660,Edon Zhegrova,RW,2023-2024,24.0,Lille,Ligue 1,Inside Forward
1,Matthis Abline,ST,2023-2024,20.0,2 Teams,Ligue 1,Complete Forward
3,Tammy Abraham,ST,2023-2024,25.0,Roma,Serie A,Complete Forward
5,Akor Adams,ST,2023-2024,23.0,Montpellier,Ligue 1,Target Man
6,Junior Adamu,ST,2023-2024,22.0,Freiburg,Bundesliga,Complete Forward
7,Sargis Adamyan,ST,2023-2024,30.0,Köln,Bundesliga,Complete Forward
8,Elijah Adebayo,ST,2023-2024,25.0,Luton Town,Premier League,Complete Forward
12,Ludovic Ajorque,ST,2023-2024,29.0,Mainz 05,Bundesliga,Complete Forward
14,David Akpan Ankeye,ST,2023-2024,21.0,Genoa,Serie A,Complete Forward
17,Domingos André Ribeiro Almeida,ST,2023-2024,23.0,Valencia,La Liga,Complete Forward
23,Zeki Amdouni,ST,2023-2024,22.0,Burnley,Premier League,Complete Forward
25,Komnen Andrić,ST,2023-2024,28.0,Clermont Foot,Ligue 1,Complete Forward
27,Michail Antonio,ST,2023-2024,33.0,West Ham,Premier League,Complete Forward
31,Cameron Archer,ST,2023-2024,22.0,Sheffield Utd,Premier League,Complete Forward
33,Matias Arezo,ST,2023-2024,20.0,Granada,La Liga,Complete Forward
36,Marko Arnautović,ST,2023-2024,34.0,Inter,Serie A,Complete Forward
40,Iago Aspas,ST,2023-2024,35.0,Celta Vigo,La Liga,Target Man
41,Pierre-Emerick Aubameyang,ST,2023-2024,34.0,Marseille,Ligue 1,Target Man
43,Taiwo Awoniyi,ST,2023-2024,25.0,Nott'ham Forest,Premier League,Complete Forward
44,André Ayew,ST,2023-2024,33.0,Le Havre,Ligue 1,Complete Forward
46,Sardar Azmoun,ST,2023-2024,28.0,Roma,Serie A,Complete Forward
47,Shavy Babicka,ST,2023-2024,23.0,Toulouse,Ligue 1,Complete Forward
50,Cédric Bakambu,ST,2023-2024,32.0,Betis,La Liga,Complete Forward
53,Folarin Balogun,ST,2023-2024,22.0,Monaco,Ligue 1,Target Man
54,Mohamed Bamba,ST,2023-2024,21.0,Lorient,Ligue 1,Complete Forward
63,Ihlas Bebou,ST,2023-2024,29.0,Hoffenheim,Bundesliga,Target Man
64,Mohamed Bechikh,ST,2023-2024,18.0,Strasbourg,Ligue 1,Complete Forward
65,Sheraldo Becker,ST,2023-2024,28.0,2 Teams,2 Comps,Target Man
66,Chris Bedia,ST,2023-2024,27.0,Union Berlin,Bundesliga,Complete Forward
67,Yanis Begraoui,ST,2023-2024,22.0,Toulouse,Ligue 1,Complete Forward
68,Kevin Behrens,ST,2023-2024,32.0,2 Teams,Bundesliga,Target Man
69,Maximilian Beier,ST,2023-2024,20.0,Hoffenheim,Bundesliga,Target Man
70,Andrea Belotti,ST,2023-2024,29.0,2 Teams,Serie A,Complete Forward
72,Wissam Ben Yedder,ST,2023-2024,32.0,Monaco,Ligue 1,Target Man
78,Beto,ST,2023-2024,25.0,2 Teams,2 Comps,Complete Forward
79,El Bilal Touré,ST,2023-2024,21.0,Atalanta,Serie A,Complete Forward
81,Myron Boadu,ST,2023-2024,22.0,Monaco,Ligue 1,Complete Forward
85,Adama Bojang,ST,2023-2024,19.0,Reims,Ligue 1,Complete Forward
86,Federico Bonazzoli,ST,2023-2024,26.0,Hellas Verona,Serie A,Complete Forward
87,Victor Boniface,ST,2023-2024,22.0,Leverkusen,Bundesliga,Target Man
89,Rafael Borré,ST,2023-2024,27.0,Werder Bremen,Bundesliga,Complete Forward
90,Gennaro Borrelli,ST,2023-2024,23.0,Frosinone,Serie A,Complete Forward
91,Erik Botheim,ST,2023-2024,23.0,Salernitana,Serie A,Complete Forward
95,Lucas Boyé,ST,2023-2024,27.0,Granada,La Liga,Target Man
98,Ben Brereton,ST,2023-2024,24.0,2 Teams,2 Comps,Complete Forward
99,Maximilian Breunig,ST,2023-2024,22.0,Freiburg,Bundesliga,Complete Forward
100,Rhian Brewster,ST,2023-2024,23.0,Sheffield Utd,Premier League,Complete Forward
101,Armando Broja,ST,2023-2024,21.0,2 Teams,Premier League,Complete Forward
103,Moritz Broschinski,ST,2023-2024,22.0,Bochum,Bundesliga,Complete Forward
104,Ante Budimir,ST,2023-2024,32.0,Osasuna,La Liga,Target Man
