,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Live,Dead,Sw,Crs,TI,CK,xG,npxG,xA,G-xG,Sh,SoT,Sh Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att.1,Cmp%,KP,1/3,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%
597,Rodri,DM,2023-2024,27,Spain,Manchester City,Premier League,34,2931,32.6,34,0,4.1,4.1,6.1,8.0,3.9,3.9,22.0,35.5,3365.0,92.0,0.0,15766.0,1774.0,94.5,88.0,12.0,23.0,32.0,3242.0,55,3572.0,79.0,69,15.0,36.0,12,6.0,3,0,5.0,22.0,8.0,9,17,8.0,0,0,0.0
598,Óscar Rodríguez Arnaiz,AM,2023-2024,25,Spain,Getafe,La Liga,24,967,10.7,9,15,1.5,1.5,1.4,3.6,0.5,0.5,9.0,26.5,333.0,75.3,1.0,1332.0,210.0,82.9,24.0,4.0,35.0,12.0,415.0,48,418.0,23.0,6,3.0,8.0,17,3.0,11,3,1.0,15.0,2.0,1,3,2.0,0,0,0.0
599,Damián Rodríguez,CM,2023-2024,20,Spain,Celta Vigo,La Liga,5,258,2.9,3,2,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,191.0,89.7,0.0,813.0,92.0,96.7,4.0,1.0,1.0,2.0,174.0,4,196.0,17.0,7,0.0,0.0,9,0.0,10,4,0.0,2.0,0.0,2,2,0.0,0,0,0.0
600,Dani Rodríguez,CM,2023-2024,35,Spain,Mallorca,La Liga,36,2615,29.1,31,5,1.4,1.4,5.2,5.5,0.6,0.6,4.0,14.8,693.0,68.6,11.0,4005.0,389.0,84.3,47.0,9.0,55.0,60.0,787.0,110,827.0,170.0,53,9.0,8.0,169,9.0,90,29,13.0,18.0,2.0,4,6,2.0,0,0,0.0
601,Guido Rodríguez,CM,2023-2024,29,Argentina,Betis,La Liga,24,1846,20.5,22,2,0.7,0.7,0.8,1.4,1.3,1.3,7.0,38.9,888.0,85.2,0.0,4610.0,466.0,91.8,13.0,1.0,20.0,17.0,779.0,18,998.0,41.0,40,1.0,21.0,6,1.0,0,0,3.0,19.0,2.0,0,2,2.0,0,0,0.0
602,Kirian Rodríguez,CM,2023-2024,27,Spain,Las Palmas,La Liga,37,3211,35.7,36,1,2.1,2.1,2.8,3.7,3.9,3.9,14.0,32.6,2705.0,88.3,4.0,12239.0,1587.0,93.1,45.0,0.0,49.0,48.0,2719.0,78,2929.0,114.0,101,16.0,10.0,26,4.0,6,1,19.0,29.0,6.0,2,8,6.0,0,0,0.0
603,Miguel Rodríguez,RM,2023-2024,20,Spain,Celta Vigo,La Liga,15,300,3.3,2,13,0.2,0.2,0.2,0.4,-0.2,-0.2,0.0,0.0,82.0,70.7,0.0,258.0,55.0,87.3,12.0,3.0,4.0,4.0,117.0,35,101.0,12.0,3,0.0,1.0,11,7.0,2,1,3.0,2.0,0.0,0,0,0.0,0,0,0.0
604,Morgan Rogers,AM,2023-2024,21,England,Aston Villa,Premier League,11,638,7.1,8,3,1.4,1.4,0.4,2.0,1.6,1.6,5.0,45.5,147.0,75.4,0.0,847.0,99.0,77.8,11.0,6.0,17.0,11.0,185.0,30,182.0,10.0,0,2.0,2.0,2,2.0,0,0,3.0,7.0,3.0,1,4,3.0,0,0,0.0
605,Merlin Röhl,AM,2023-2024,21,Germany,Freiburg,Bundesliga,24,1477,16.4,17,7,2.0,2.0,2.1,4.5,0.0,0.0,8.0,33.3,365.0,79.7,4.0,1221.0,233.0,80.3,37.0,10.0,50.0,42.0,428.0,87,454.0,4.0,4,1.0,2.0,16,0.0,0,0,0.0,14.0,2.0,4,6,2.0,0,0,0.0
606,Oriol Romeu,DM,2023-2024,31,Spain,Barcelona,La Liga,28,936,10.4,11,17,0.7,0.7,0.9,2.0,-0.7,-0.7,2.0,20.0,717.0,89.0,1.0,2753.0,399.0,93.2,25.0,0.0,9.0,8.0,701.0,4,793.0,13.0,12,4.0,7.0,6,1.0,0,0,0.0,9.0,0.0,1,1,0.0,0,0,0.0
607,Valentin Rongier,CM,2023-2024,28,France,Marseille,Ligue 1,10,851,9.5,10,0,0.6,0.6,1.2,1.4,-0.6,-0.6,3.0,30.0,504.0,87.3,1.0,2852.0,209.0,85.2,14.0,1.0,14.0,8.0,465.0,10,557.0,19.0,17,8.0,7.0,3,2.0,0,0,1.0,6.0,0.0,0,0,0.0,0,0,0.0
608,Marten de Roon,DM,2023-2024,32,Netherlands,Atalanta,Serie A,30,2599,28.9,29,1,0.6,0.6,1.2,1.8,-0.6,-0.6,3.0,18.8,1446.0,84.5,3.0,8394.0,630.0,89.5,22.0,0.0,19.0,8.0,1307.0,22,1636.0,74.0,60,5.0,22.0,16,13.0,0,0,2.0,17.0,0.0,5,5,0.0,0,0,0.0
609,Unai Ropero,AM,2023-2024,21,Spain,Alavés,La Liga,1,5,0.1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,0.0,20.0,3.0,100.0,0.0,0.0,0.0,0.0,3.0,0,3.0,1.0,0,0.0,0.0,0,0.0,1,0,1.0,0.0,0.0,0,0,0.0,0,0,0.0
610,Pablo Rosario,CM,2023-2024,26,Netherlands,Nice,Ligue 1,30,2009,22.3,21,9,1.2,1.2,1.5,2.6,-1.2,-1.2,2.0,12.5,1056.0,89.0,3.0,5722.0,524.0,91.2,19.0,2.0,26.0,15.0,987.0,27,1103.0,81.0,32,5.0,0.0,6,49.0,0,0,3.0,15.0,0.0,0,0,0.0,0,0,0.0
611,Joe Rothwell,CM,2023-2024,28,England,Bournemouth,Premier League,11,386,4.3,3,8,0.1,0.1,0.2,0.3,-0.1,-0.1,0.0,0.0,179.0,82.9,0.0,863.0,68.0,95.6,4.0,0.0,5.0,2.0,155.0,3,194.0,20.0,11,0.0,1.0,12,0.0,8,6,2.0,3.0,0.0,0,0,0.0,0,0,0.0
612,Nicolò Rovella,CM,2023-2024,21,Italy,Lazio,Serie A,23,1318,14.6,16,7,0.6,0.6,0.6,1.1,-0.6,-0.6,1.0,20.0,851.0,87.2,0.0,3415.0,437.0,94.3,11.0,1.0,18.0,11.0,787.0,11,925.0,48.0,30,2.0,7.0,20,2.0,16,2,3.0,18.0,0.0,2,2,0.0,0,0,0.0
613,Pelly Ruddock Mpanzu,CM,2023-2024,30,Democratic Republic of Congo,Luton Town,Premier League,27,1101,12.2,11,16,0.6,0.6,1.4,1.1,-0.6,-0.6,1.0,9.1,268.0,73.6,2.0,1102.0,141.0,87.2,7.0,5.0,12.0,16.0,270.0,15,338.0,24.0,7,0.0,7.0,11,8.0,2,0,2.0,13.0,0.0,0,0,0.0,0,0,0.0
614,Fabian Rüdlin,DM,2023-2024,26,Germany,Freiburg,Bundesliga,1,7,0.1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,0.0,35.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0,5.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
615,Fabián Ruiz Peña,CM,2023-2024,27,Spain,Paris S-G,Ligue 1,21,1197,13.3,14,7,2.0,2.0,1.5,3.1,-1.0,-1.0,6.0,31.6,778.0,89.2,2.0,2887.0,378.0,91.8,25.0,1.0,12.0,3.0,761.0,40,843.0,29.0,21,0.0,4.0,11,1.0,2,2,0.0,12.0,1.0,3,4,1.0,0,0,0.0
616,Sergio Ruiz,CM,2023-2024,28,Spain,Granada,La Liga,35,2494,27.7,30,5,0.7,0.7,1.8,2.0,-0.7,-0.7,1.0,7.7,1080.0,84.2,3.0,5626.0,541.0,90.6,24.0,6.0,37.0,15.0,1046.0,23,1231.0,46.0,35,3.0,11.0,17,3.0,6,2,6.0,19.0,0.0,4,4,0.0,0,0,0.0
617,Marcel Sabitzer,CM,2023-2024,29,Austria,Dortmund,Bundesliga,25,1961,21.8,23,2,3.6,2.8,3.0,4.6,0.4,0.2,19.0,41.3,868.0,81.3,1.0,3494.0,539.0,88.7,21.0,7.0,23.0,14.0,883.0,69,993.0,72.0,19,1.0,4.0,30,14.0,17,7,2.0,19.0,4.0,3,7,3.0,1,1,0.0
618,Roland Sallai,AM,2023-2024,26,Hungary,Freiburg,Bundesliga,27,1840,20.4,22,5,7.9,7.1,3.6,10.6,-4.9,-4.1,19.0,34.5,416.0,70.7,12.0,1376.0,269.0,87.0,38.0,15.0,43.0,15.0,615.0,139,567.0,17.0,6,5.0,1.0,73,2.0,9,7,4.0,32.0,3.0,2,5,3.0,0,1,1.0
619,Salvi,RM,2023-2024,32,Spain,Rayo Vallecano,La Liga,1,28,0.3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,83.3,0.0,17.0,4.0,100.0,2.0,0.0,0.0,2.0,13.0,2,12.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
620,Lazar Samardzic,CM,2023-2024,21,Serbia,Udinese,Serie A,34,2372,26.4,28,6,3.5,2.8,5.0,8.3,2.5,2.2,16.0,28.6,733.0,74.3,4.0,4485.0,392.0,87.0,39.0,8.0,53.0,20.0,735.0,91,809.0,171.0,58,4.0,20.0,124,18.0,86,39,7.0,16.0,6.0,2,8,5.0,1,1,0.0
621,Diadie Samassékou,CM ,2023-2024,27,Mali,Hoffenheim,Bundesliga,5,93,1.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,47.0,95.9,0.0,223.0,24.0,100.0,4.0,0.0,2.0,0.0,34.0,1,48.0,1.0,1,0.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
622,Albert Sambi Lokonga,DM,2023-2024,23,Belgium,Luton Town,Premier League,17,1303,14.5,16,1,0.6,0.6,0.8,2.0,0.4,0.4,2.0,25.0,669.0,87.3,1.0,3318.0,348.0,91.7,19.0,2.0,12.0,11.0,597.0,13,694.0,67.0,28,5.0,11.0,13,8.0,2,1,5.0,3.0,1.0,3,4,1.0,0,0,0.0
623,Fede San Emeterio,CM,2023-2024,26,Spain,Cádiz,La Liga,4,152,1.7,3,1,0.1,0.1,0.2,0.1,0.9,0.9,1.0,100.0,43.0,82.7,1.0,265.0,15.0,86.7,0.0,0.0,1.0,0.0,37.0,0,50.0,1.0,1,0.0,0.0,1,0.0,0,0,1.0,1.0,1.0,0,1,1.0,0,0,0.0
624,Oihan Sancet,AM,2023-2024,23,Spain,Athletic Club,La Liga,30,1975,21.9,25,5,6.3,5.5,2.9,10.2,-2.3,-1.5,11.0,26.8,641.0,79.9,4.0,2212.0,432.0,85.6,68.0,14.0,78.0,43.0,839.0,157,783.0,13.0,1,9.0,0.0,30,0.0,0,0,6.0,21.0,4.0,5,9,4.0,0,1,1.0
625,Renato Sanches,CM,2023-2024,25,Portugal,Roma,Serie A,7,146,1.6,1,6,0.1,0.1,0.1,0.3,0.9,0.9,1.0,50.0,67.0,87.0,1.0,220.0,38.0,97.4,5.0,1.0,3.0,5.0,73.0,5,76.0,1.0,1,0.0,0.0,4,0.0,0,0,0.0,1.0,1.0,0,1,1.0,0,0,0.0
626,Antonio Sánchez,CM,2023-2024,26,Spain,Mallorca,La Liga,29,1452,16.1,21,8,2.5,2.5,1.8,3.3,0.5,0.5,9.0,39.1,378.0,69.4,6.0,1779.0,236.0,81.8,26.0,5.0,41.0,27.0,448.0,61,511.0,25.0,5,1.0,2.0,36,10.0,2,1,9.0,34.0,3.0,1,4,3.0,0,0,0.0
627,Ibrahim Sangaré,DM,2023-2024,25,Ivory Coast,Nott'ham Forest,Premier League,17,1035,11.5,13,4,0.6,0.6,0.4,1.0,-0.6,-0.6,0.0,0.0,339.0,79.8,0.0,1680.0,207.0,87.4,4.0,0.0,10.0,8.0,327.0,7,414.0,8.0,7,3.0,6.0,2,1.0,0,0,3.0,16.0,0.0,0,0,0.0,0,0,0.0
628,Morgan Sanson,CM,2023-2024,28,France,Nice,Ligue 1,29,1964,21.8,24,5,3.3,3.3,3.8,7.3,-1.3,-1.3,9.0,22.0,630.0,75.4,5.0,2818.0,331.0,87.3,51.0,12.0,61.0,41.0,726.0,98,735.0,94.0,27,4.0,4.0,114,3.0,64,20,7.0,24.0,2.0,3,5,2.0,0,0,0.0
629,Baptiste Santamaria,CM,2023-2024,28,France,Rennes,Ligue 1,30,1926,21.4,22,8,1.9,1.9,1.6,2.5,-1.9,-1.9,9.0,32.1,1055.0,87.4,0.0,5191.0,452.0,90.5,28.0,0.0,27.0,19.0,1005.0,36,1175.0,30.0,30,2.0,10.0,0,0.0,0,0,2.0,14.0,0.0,1,1,0.0,0,0,0.0
630,Jesús Santiago,CM,2023-2024,19,Spain,Getafe,La Liga,14,656,7.3,8,6,0.6,0.6,0.2,1.0,0.4,0.4,2.0,40.0,144.0,76.2,0.0,445.0,96.0,83.3,4.0,1.0,9.0,4.0,141.0,12,184.0,4.0,3,0.0,1.0,4,0.0,1,0,1.0,8.0,1.0,0,1,1.0,0,0,0.0
631,Andrey Santos,CM,2023-2024,19,Brazil,Strasbourg,Ligue 1,12,839,9.3,9,3,1.0,1.0,0.8,2.0,0.0,0.0,4.0,28.6,450.0,87.0,0.0,2048.0,213.0,89.2,19.0,0.0,12.0,10.0,441.0,15,494.0,22.0,10,2.0,1.0,3,0.0,0,0,1.0,8.0,1.0,0,1,1.0,0,0,0.0
632,Pablo Sarabia,RM,2023-2024,31,Spain,Wolves,Premier League,30,1745,19.4,20,10,5.5,3.9,4.9,9.8,-1.5,-1.9,16.0,36.4,684.0,70.1,6.0,3731.0,439.0,85.9,52.0,9.0,41.0,23.0,822.0,137,837.0,130.0,34,9.0,7.0,131,7.0,71,37,9.0,44.0,4.0,7,11,2.0,2,2,0.0
633,Téji Savanier,CM,2023-2024,31,France,Montpellier,Ligue 1,32,2765,30.7,32,0,9.1,3.6,8.5,10.5,-0.1,-1.6,22.0,29.3,1306.0,69.2,8.0,10471.0,582.0,82.0,59.0,8.0,59.0,38.0,1409.0,108,1549.0,322.0,137,10.0,47.0,231,13.0,125,32,17.0,31.0,9.0,6,15,2.0,7,7,0.0
634,András Schäfer,CM,2023-2024,24,Hungary,Union Berlin,Bundesliga,20,1214,13.5,14,6,1.8,1.8,1.0,3.2,-0.8,-0.8,5.0,23.8,418.0,75.0,1.0,1768.0,275.0,85.1,25.0,12.0,34.0,20.0,451.0,71,528.0,27.0,2,2.0,2.0,18,17.0,5,0,2.0,17.0,1.0,2,3,1.0,0,0,0.0
635,Xaver Schlager,CM,2023-2024,25,Austria,RB Leipzig,Bundesliga,29,2477,27.5,29,0,1.1,1.1,3.1,3.6,-1.1,-1.1,3.0,14.3,1587.0,88.3,2.0,7551.0,808.0,92.7,48.0,2.0,32.0,27.0,1471.0,45,1738.0,56.0,45,10.0,15.0,14,11.0,0,0,4.0,20.0,0.0,5,5,0.0,0,0,0.0
636,Romano Schmid,CM,2023-2024,23,Austria,Werder Bremen,Bundesliga,33,2601,28.9,30,3,5.2,5.2,6.7,11.5,-1.2,-1.2,10.0,26.3,941.0,77.7,13.0,4544.0,570.0,83.3,72.0,22.0,80.0,58.0,1118.0,165,1176.0,29.0,11,12.0,5.0,62,6.0,9,3,6.0,29.0,4.0,6,10,4.0,0,0,0.0
637,Niklas Schmidt,CM,2023-2024,25,Germany,Toulouse,Ligue 1,22,1269,14.1,15,7,1.2,1.2,2.6,3.6,-0.2,-0.2,13.0,65.0,679.0,80.8,7.0,4232.0,306.0,85.9,26.0,1.0,18.0,9.0,688.0,43,777.0,56.0,25,3.0,11.0,50,7.0,18,6,7.0,14.0,1.0,1,2,1.0,0,0,0.0
638,Fabian Schnellhardt,CM,2023-2024,29,Germany,Darmstadt 98,Bundesliga,10,235,2.6,2,8,0.2,0.2,0.1,0.3,-0.2,-0.2,2.0,40.0,149.0,86.6,0.0,498.0,66.0,89.4,4.0,0.0,2.0,2.0,133.0,9,164.0,8.0,4,0.0,1.0,4,0.0,4,3,0.0,2.0,0.0,0,0,0.0,0,0,0.0
639,Jan Schöppner,DM,2023-2024,24,Germany,Heidenheim,Bundesliga,26,1998,22.2,23,3,1.1,1.1,1.4,2.6,0.9,0.9,4.0,23.5,444.0,66.5,0.0,2508.0,293.0,73.0,11.0,4.0,31.0,14.0,420.0,32,656.0,12.0,10,4.0,8.0,7,1.0,0,0,0.0,23.0,2.0,2,4,2.0,0,0,0.0
640,Alex Scott,DM,2023-2024,19,England,Bournemouth,Premier League,23,1014,11.3,11,12,0.7,0.7,1.1,2.4,0.3,0.3,3.0,20.0,361.0,76.2,2.0,1583.0,227.0,81.9,21.0,10.0,17.0,11.0,361.0,35,429.0,43.0,10,2.0,4.0,36,4.0,26,22,2.0,10.0,1.0,1,2,1.0,0,0,0.0
641,Demba Seck,AM,2023-2024,22,Senegal,2 Teams,Serie A,20,723,8.0,8,12,1.5,1.5,0.5,1.9,-1.5,-1.5,4.0,25.0,156.0,77.6,0.0,466.0,111.0,84.7,29.0,16.0,21.0,13.0,224.0,48,198.0,3.0,1,0.0,0.0,4,1.0,1,0,0.0,10.0,0.0,0,0,0.0,0,0,0.0
642,Nicolas Seiwald,DM,2023-2024,22,Austria,RB Leipzig,Bundesliga,21,718,8.0,6,15,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,320.0,82.1,0.0,1792.0,167.0,88.6,6.0,0.0,2.0,8.0,280.0,4,377.0,10.0,7,2.0,3.0,4,0.0,3,2,3.0,5.0,0.0,2,2,0.0,0,0,0.0
643,Stefano Sensi,CM,2023-2024,27,Italy,Inter,Serie A,4,46,0.5,0,4,0.1,0.1,0.1,0.2,-0.1,-0.1,0.0,0.0,47.0,90.4,0.0,198.0,17.0,100.0,2.0,0.0,1.0,1.0,45.0,4,49.0,3.0,1,1.0,1.0,1,0.0,2,0,0.0,1.0,0.0,1,1,0.0,0,0,0.0
644,Suat Serdar,DM,2023-2024,26,Germany,Hellas Verona,Serie A,25,1659,18.4,19,6,1.0,1.0,0.9,2.4,-1.0,-1.0,7.0,31.8,445.0,73.9,1.0,2516.0,209.0,80.9,15.0,3.0,21.0,13.0,412.0,36,570.0,29.0,23,0.0,12.0,9,2.0,0,0,3.0,19.0,0.0,2,2,0.0,0,0,0.0
645,Kevin Sessa,AM,2023-2024,23,Germany,Heidenheim,Bundesliga,30,1011,11.2,7,23,2.9,2.9,1.7,4.2,0.1,0.1,7.0,24.1,331.0,73.6,2.0,1904.0,163.0,81.6,21.0,6.0,24.0,6.0,360.0,48,409.0,40.0,14,2.0,5.0,20,9.0,7,2,1.0,19.0,3.0,0,3,3.0,0,0,0.0
646,Vincent Sierro,CM,2023-2024,27,Switzerland,Toulouse,Ligue 1,30,2261,25.1,25,5,5.9,1.9,2.8,4.2,0.1,0.1,6.0,19.4,1020.0,77.5,5.0,6153.0,431.0,84.9,26.0,4.0,32.0,24.0,1034.0,73,1146.0,166.0,59,4.0,13.0,111,6.0,81,30,4.0,28.0,6.0,2,8,2.0,4,5,1.0
647,Xavi Simons,LM,2023-2024,20,Netherlands,RB Leipzig,Bundesliga,32,2653,29.5,32,0,8.3,6.7,9.0,16.4,-0.3,0.3,31.0,39.2,1137.0,79.3,3.0,4994.0,693.0,88.2,133.0,37.0,78.0,49.0,1375.0,216,1293.0,130.0,28,19.0,11.0,76,11.0,59,21,11.0,42.0,8.0,11,19,7.0,1,2,1.0
648,Ayanda Sishuba,CM,2023-2024,18,Belgium,Lens,Ligue 1,7,62,0.7,0,7,0.9,0.9,0.0,0.9,-0.9,-0.9,2.0,16.7,12.0,85.7,0.0,39.0,8.0,75.0,3.0,6.0,8.0,2.0,36.0,10,14.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
649,Ibrahima Sissoko,CM,2023-2024,25,Mali,Strasbourg,Ligue 1,27,1642,18.2,18,9,1.0,1.0,1.9,2.6,-1.0,-1.0,3.0,21.4,614.0,81.6,1.0,3046.0,286.0,84.6,30.0,1.0,27.0,23.0,563.0,18,737.0,13.0,12,2.0,2.0,2,1.0,0,0,2.0,4.0,0.0,1,1,0.0,0,0,0.0
650,Moussa Sissoko,CM,2023-2024,33,France,Nantes,Ligue 1,26,1821,20.2,21,5,1.3,1.3,0.8,2.3,-1.3,-1.3,3.0,30.0,547.0,80.3,3.0,2582.0,312.0,82.7,25.0,1.0,23.0,8.0,512.0,59,655.0,24.0,11,3.0,3.0,18,11.0,1,0,2.0,19.0,0.0,0,0,0.0,0,0,0.0
651,Ellyes Skhiri,CM,2023-2024,28,Tunisia,Eint Frankfurt,Bundesliga,27,2168,24.1,24,3,2.3,2.3,1.9,3.3,-0.3,-0.3,8.0,44.4,1082.0,84.1,0.0,4753.0,593.0,91.2,18.0,1.0,28.0,25.0,1002.0,28,1249.0,36.0,32,4.0,3.0,4,4.0,0,0,2.0,20.0,2.0,2,4,2.0,0,0,0.0
652,Oliver Skipp,CM,2023-2024,22,England,Tottenham,Premier League,21,707,7.9,5,16,0.7,0.7,0.5,1.3,-0.7,-0.7,1.0,25.0,351.0,91.6,0.0,1454.0,210.0,94.8,4.0,1.0,9.0,6.0,319.0,25,366.0,16.0,8,1.0,0.0,1,8.0,0,0,1.0,2.0,0.0,0,0,0.0,0,0,0.0
653,Emile Smith Rowe,AM,2023-2024,23,England,Arsenal,Premier League,13,353,3.9,3,10,2.0,2.0,0.4,2.2,-2.0,-2.0,5.0,33.3,188.0,88.3,0.0,496.0,143.0,89.5,8.0,1.0,6.0,4.0,189.0,18,207.0,6.0,3,0.0,1.0,1,1.0,1,0,0.0,2.0,0.0,1,1,0.0,0,0,0.0
654,Rubén Sobrino,LM,2023-2024,31,Spain,Cádiz,La Liga,32,1646,18.3,18,14,1.8,1.8,1.7,4.1,-1.8,-1.8,3.0,14.3,387.0,73.6,3.0,1233.0,303.0,87.8,26.0,5.0,39.0,28.0,470.0,78,517.0,6.0,1,1.0,3.0,22,4.0,0,0,3.0,26.0,0.0,1,1,0.0,0,0,0.0
655,Emran Soglo,LM,2023-2024,18,England,Marseille,Ligue 1,3,109,1.2,1,2,0.1,0.1,0.0,0.2,0.9,0.9,1.0,100.0,31.0,79.5,1.0,90.0,24.0,87.5,2.0,1.0,3.0,1.0,31.0,8,38.0,1.0,0,0.0,0.0,5,1.0,0,0,0.0,1.0,1.0,1,2,1.0,0,0,0.0
656,Carlos Soler,CM,2023-2024,26,Spain,Paris S-G,Ligue 1,24,1090,12.1,12,12,1.5,1.5,1.9,3.9,0.5,0.5,5.0,35.7,670.0,85.7,2.0,2917.0,356.0,90.4,23.0,2.0,14.0,8.0,673.0,59,736.0,44.0,17,4.0,2.0,23,19.0,6,1,2.0,18.0,2.0,2,4,2.0,0,0,0.0
657,Jhon Solis,DM,2023-2024,18,Colombia,Girona,La Liga,18,384,4.3,2,16,1.0,1.0,0.2,1.4,-1.0,-1.0,2.0,22.2,191.0,84.9,0.0,627.0,134.0,86.6,8.0,0.0,10.0,11.0,196.0,13,222.0,3.0,2,2.0,0.0,0,1.0,0,0,0.0,3.0,0.0,0,0,0.0,0,0,0.0
658,Alberto Soro,LM,2023-2024,24,Spain,Granada,La Liga,1,8,0.1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,9.0,3.0,100.0,0.0,0.0,1.0,0.0,4.0,0,3.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
659,Hugo Sotelo,CM,2023-2024,19,Spain,Celta Vigo,La Liga,17,721,8.0,8,9,0.3,0.3,1.1,1.9,-0.3,-0.3,1.0,12.5,516.0,87.6,1.0,2430.0,296.0,95.3,15.0,2.0,11.0,12.0,492.0,13,534.0,52.0,25,0.0,6.0,29,1.0,26,9,3.0,4.0,0.0,1,1,0.0,0,0,0.0
660,Florian Sotoca,AM,2023-2024,32,France,Lens,Ligue 1,32,2598,28.9,29,3,9.1,5.9,6.3,12.4,-2.1,-2.9,18.0,27.7,1071.0,74.1,20.0,4982.0,665.0,81.8,70.0,10.0,49.0,33.0,1349.0,253,1361.0,74.0,11,12.0,8.0,95,55.0,2,0,10.0,47.0,7.0,6,13,3.0,4,4,0.0
661,Tomáš Souček,DM,2023-2024,28,Czech Republic,West Ham,Premier League,37,2870,31.9,34,3,6.7,6.7,1.2,8.4,0.3,0.3,15.0,34.9,722.0,75.1,2.0,3594.0,450.0,80.9,13.0,2.0,20.0,12.0,677.0,39,949.0,7.0,2,2.0,9.0,6,3.0,0,0,6.0,27.0,7.0,2,9,7.0,0,0,0.0
662,Boubakary Soumaré,CM,2023-2024,24,France,Sevilla,La Liga,28,2286,25.4,26,2,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,1109.0,90.0,1.0,4933.0,578.0,91.3,15.0,2.0,31.0,14.0,1023.0,22,1221.0,9.0,8,2.0,6.0,3,1.0,0,0,2.0,15.0,0.0,1,1,0.0,0,0,0.0
663,Djibril Sow,CM,2023-2024,26,Switzerland,Sevilla,La Liga,24,1460,16.2,18,6,1.5,1.5,1.1,2.3,-0.5,-0.5,5.0,27.8,582.0,85.3,2.0,1887.0,310.0,88.7,17.0,0.0,23.0,3.0,577.0,45,664.0,16.0,12,0.0,5.0,5,1.0,1,0,2.0,14.0,1.0,1,2,1.0,0,0,0.0
664,Stijn Spierings,CM,2023-2024,27,Netherlands,2 Teams,Ligue 1,26,1634,18.2,17,9,0.4,0.4,1.0,1.0,-0.4,-0.4,1.0,9.1,994.0,86.6,0.0,5826.0,482.0,90.0,36.0,0.0,13.0,16.0,872.0,26,1096.0,48.0,38,3.0,16.0,12,7.0,2,1,4.0,19.0,0.0,1,1,0.0,0,0,0.0
665,Anton Stach,CM,2023-2024,24,Germany,2 Teams,Bundesliga,33,2491,27.7,28,5,1.9,1.9,2.7,5.4,0.1,0.1,10.0,25.0,1074.0,78.0,3.0,5092.0,640.0,86.4,46.0,5.0,40.0,15.0,1031.0,56,1320.0,54.0,20,8.0,11.0,56,1.0,31,12,3.0,22.0,2.0,3,5,2.0,0,0,0.0
666,Jens Stage,CM,2023-2024,26,Denmark,Werder Bremen,Bundesliga,30,2327,25.9,26,4,4.4,4.4,1.8,6.3,-1.4,-1.4,11.0,27.5,775.0,74.4,3.0,4152.0,491.0,78.0,20.0,4.0,16.0,14.0,763.0,60,998.0,38.0,19,2.0,4.0,10,8.0,0,0,6.0,28.0,3.0,1,4,3.0,0,0,0.0
667,Benjamin Stambouli,DM,2023-2024,32,France,Reims,Ligue 1,7,286,3.2,3,4,0.1,0.1,0.3,0.2,-0.1,-0.1,0.0,0.0,95.0,73.1,2.0,636.0,47.0,68.1,1.0,0.0,2.0,0.0,93.0,2,129.0,1.0,1,0.0,0.0,2,0.0,0,0,0.0,3.0,0.0,1,1,0.0,0,0,0.0
668,Angelo Stiller,DM,2023-2024,22,Germany,2 Teams,Bundesliga,32,2778,30.9,31,1,1.7,1.7,5.5,6.8,-0.7,-0.7,4.0,22.2,2382.0,88.9,7.0,11817.0,1250.0,93.1,46.0,4.0,40.0,27.0,2194.0,74,2485.0,193.0,94,12.0,10.0,84,8.0,68,32,2.0,21.0,1.0,5,6,1.0,0,0,0.0
669,Kevin Stöger,CM,2023-2024,29,Austria,Bochum,Bundesliga,32,2668,29.6,32,0,6.2,3.1,9.8,12.9,0.8,-0.1,14.0,19.7,1363.0,67.2,25.0,10738.0,760.0,79.5,72.0,8.0,45.0,40.0,1464.0,139,1650.0,362.0,156,16.0,12.0,258,40.0,110,42,16.0,55.0,7.0,10,17,3.0,4,4,0.0
