,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Live,Dead,Sw,Crs,TI,CK,xG,npxG,xA,G-xG,Sh,SoT,Sh Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att.1,Cmp%,KP,1/3,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%
552,Alberto Perea,LM,2023-2024,32,Spain,Granada,La Liga,2,2,0.0,0,2,7.0,24.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,2.0,0.0,0,0,0.0,0,0,0.0
553,Andreas Pereira,AM,2023-2024,27,Brazil,Fulham,Premier League,37,2613,29.0,34,3,829.0,4460.0,51.0,13.0,49.0,41.0,11.7,5.7,-1.6,0.09,16.0,7.0,255.0,67.0,703.0,64.0,1516.0,3.0,7.0,10,3.0,0.0,0,0.0,25.0,12,4.0,12,9,26.8,30.0,16.0,2,14,4.0,29,12,0.0
554,Carles Pérez,RM,2023-2024,25,Spain,Celta Vigo,La Liga,16,772,8.6,7,9,264.0,1791.0,20.0,8.0,20.0,17.0,2.4,0.8,-0.2,0.05,6.0,2.0,5.0,0.0,200.0,25.0,393.0,1.0,1.0,2,1.0,0.0,0,0.0,13.0,5,6.0,5,2,38.9,11.0,14.0,1,13,5.0,18,8,0.0
555,Francisco Perez,RM,2023-2024,20,Spain,Valencia,La Liga,32,2049,22.8,27,5,578.0,3862.0,29.0,17.0,72.0,42.0,3.6,2.1,-0.1,0.05,2.0,0.0,10.0,2.0,374.0,43.0,856.0,1.0,4.0,5,1.0,0.0,0,0.0,30.0,17,10.0,14,6,34.1,29.0,19.0,0,19,14.0,44,5,0.0
556,Kike Pérez,AM,2023-2024,26,Spain,Rayo Vallecano,La Liga,24,835,9.3,9,15,296.0,1798.0,10.0,3.0,30.0,16.0,2.4,0.9,-0.9,0.14,5.0,1.0,24.0,7.0,155.0,15.0,510.0,1.0,0.0,1,1.0,0.0,0,0.0,27.0,11,11.0,15,1,47.8,12.0,11.0,0,11,8.0,35,6,0.0
557,Máximo Perrone,CM,2023-2024,20,Argentina,Las Palmas,La Liga,29,1623,18.0,20,9,759.0,2885.0,11.0,2.0,23.0,14.0,0.0,1.2,-0.2,0.03,3.0,0.0,29.0,28.0,144.0,8.0,1492.0,0.0,0.0,0,0.0,0.0,0,0.0,42.0,21,17.0,22,3,48.7,20.0,27.0,4,23,24.0,66,21,0.0
558,Matteo Pessina,CM,2023-2024,26,Italy,Monza,Serie A,37,3222,35.8,37,0,1582.0,9264.0,66.0,2.0,54.0,18.0,7.5,1.5,-0.4,0.11,8.0,0.0,112.0,65.0,421.0,31.0,2454.0,6.0,3.0,9,2.0,4.0,5,1.0,44.0,25,20.0,20,4,46.9,26.0,29.0,11,18,27.0,71,46,1.0
559,Njegoš Petrović,CM,2023-2024,24,Serbia,Granada,La Liga,10,157,1.7,0,10,67.0,340.0,1.0,0.0,5.0,0.0,0.1,0.1,0.0,0.02,1.0,1.0,2.0,1.0,31.0,1.0,108.0,0.0,0.0,0,0.0,0.0,0,0.0,5.0,2,4.0,1,0,66.7,1.0,2.0,0,2,1.0,6,3,0.0
560,Jens Petter Hauge,LM,2023-2024,23,Norway,Eint Frankfurt,Bundesliga,10,147,1.6,0,10,63.0,405.0,3.0,3.0,3.0,0.0,0.1,0.4,-0.1,0.07,0.0,0.0,7.0,2.0,44.0,5.0,103.0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,1,1.0,0,1,28.6,5.0,5.0,1,4,0.0,2,1,0.0
561,Kalvin Phillips,DM,2023-2024,27,England,2 Teams,Premier League,12,402,4.5,3,9,161.0,987.0,6.0,1.0,8.0,5.0,0.1,0.1,-0.2,0.03,2.0,0.0,10.0,9.0,44.0,2.0,302.0,0.0,0.0,0,0.0,0.0,0,0.0,14.0,9,3.0,9,2,55.6,4.0,4.0,1,3,6.0,20,4,1.0
562,Tommaso Pobega,AM,2023-2024,24,Italy,Milan,Serie A,11,319,3.5,3,8,109.0,507.0,4.0,1.0,4.0,3.0,0.4,0.1,-0.2,0.04,4.0,0.0,1.0,1.0,30.0,5.0,186.0,0.0,0.0,0,0.0,0.0,0,0.0,16.0,9,11.0,5,0,46.2,7.0,10.0,2,8,6.0,22,7,0.0
563,Paul Pogba,CM,2023-2024,30,France,Juventus,Serie A,2,54,0.6,0,2,23.0,108.0,1.0,0.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.0,3.0,14.0,2.0,43.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.0,1,0,100.0,0.0,0.0,0,0,1.0,2,1,0.0
564,Ole Pohlmann,CM,2023-2024,22,Germany,Dortmund,Bundesliga,2,54,0.6,0,2,19.0,127.0,1.0,1.0,3.0,1.0,0.1,0.0,-0.1,0.05,0.0,0.0,3.0,1.0,15.0,2.0,31.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0,0.0,1,0,50.0,1.0,0.0,0,0,0.0,1,1,0.0
565,Julien Ponceau,AM,2023-2024,22,France,Lorient,Ligue 1,32,2244,24.9,27,5,1139.0,8029.0,93.0,14.0,47.0,41.0,6.0,1.9,-0.3,0.1,13.0,0.0,66.0,26.0,499.0,52.0,1471.0,3.0,2.0,5,3.0,0.0,0,0.0,32.0,15,12.0,14,6,30.0,21.0,22.0,1,21,19.0,51,20,0.0
566,Portu,AM,2023-2024,31,Spain,Girona,La Liga,33,1188,13.2,11,22,270.0,1533.0,30.0,10.0,23.0,15.0,6.8,2.2,3.6,0.16,10.0,0.0,14.0,1.0,207.0,55.0,426.0,7.0,5.0,12,7.0,0.0,0,0.0,18.0,13,3.0,10,5,16.7,15.0,9.0,1,8,4.0,22,6,0.0
567,José Pozo,AM,2023-2024,27,Spain,Rayo Vallecano,La Liga,2,19,0.2,0,2,11.0,47.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.0,1,0,100.0,0.0,1.0,0,1,0.0,1,0,0.0
568,Beñat Prados,DM,2023-2024,22,Spain,Athletic Club,La Liga,26,1449,16.1,16,10,536.0,2501.0,21.0,1.0,19.0,19.0,1.0,1.0,-0.5,0.07,4.0,0.0,34.0,20.0,233.0,14.0,990.0,0.0,0.0,0,0.0,0.0,0,0.0,45.0,28,11.0,23,11,54.8,19.0,32.0,5,27,23.0,68,27,0.0
569,Matteo Prati,CM,2023-2024,19,Italy,Cagliari,Serie A,26,1972,21.9,19,7,407.0,1611.0,9.0,1.0,15.0,7.0,2.8,1.2,-1.0,0.06,10.0,2.0,43.0,25.0,164.0,22.0,945.0,1.0,1.0,2,1.0,0.0,0,0.0,45.0,25,15.0,27,3,61.9,16.0,29.0,6,23,15.0,60,26,1.0
570,Sanjin Prcić,CM,2023-2024,29,Bosnia and Herzegovina,Strasbourg,Ligue 1,3,88,1.0,1,2,40.0,223.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.01,0.0,0.0,4.0,4.0,9.0,0.0,54.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,1.0,2.0,1,1,3.0,3,1,0.0
571,Grischa Prömel,CM,2023-2024,28,Germany,Hoffenheim,Bundesliga,28,2139,23.8,27,1,672.0,3350.0,36.0,1.0,32.0,25.0,6.6,2.2,0.2,0.15,8.0,0.0,17.0,14.0,297.0,36.0,1209.0,4.0,5.0,9,4.0,0.0,0,0.0,32.0,18,11.0,15,6,43.8,18.0,22.0,6,16,22.0,54,36,0.0
572,Adrien Rabiot,CM,2023-2024,28,France,Juventus,Serie A,31,2651,29.5,30,1,893.0,5580.0,59.0,10.0,52.0,19.0,7.5,4.0,1.6,0.09,16.0,0.0,40.0,15.0,447.0,79.0,1525.0,5.0,3.0,8,5.0,0.0,0,0.0,58.0,39,22.0,30,6,66.7,15.0,26.0,6,20,25.0,83,34,0.0
573,Uroš Račić,DM,2023-2024,25,Serbia,Sassuolo,Serie A,22,820,9.1,8,14,240.0,1134.0,6.0,0.0,9.0,6.0,1.1,0.3,0.2,0.05,4.0,2.0,5.0,4.0,83.0,5.0,481.0,1.0,1.0,2,1.0,0.0,0,0.0,10.0,4,6.0,4,0,0.0,9.0,16.0,7,9,7.0,17,22,0.0
574,Nemanja Radonjić,AM,2023-2024,27,Serbia,Mallorca,La Liga,21,727,8.1,8,13,202.0,1652.0,11.0,19.0,28.0,8.0,1.9,0.9,-0.3,0.15,12.0,0.0,14.0,0.0,179.0,34.0,321.0,3.0,0.0,3,3.0,0.0,0,0.0,5.0,3,1.0,3,1,28.6,5.0,5.0,0,5,3.0,8,3,0.0
575,Hamza Rafia,CM,2023-2024,24,Tunisia,Lecce,Serie A,28,1204,13.4,17,11,399.0,1621.0,12.0,3.0,29.0,22.0,1.6,1.1,0.2,0.05,3.0,0.0,34.0,12.0,198.0,12.0,687.0,1.0,0.0,1,1.0,0.0,0,0.0,44.0,31,13.0,27,4,43.3,17.0,27.0,1,26,11.0,55,13,0.0
576,Jesurun Rak Sakyi,RM,2023-2024,20,England,Crystal Palace,Premier League,6,136,1.5,0,6,46.0,252.0,3.0,5.0,4.0,3.0,0.6,0.1,-0.4,0.08,1.0,0.0,0.0,0.0,48.0,13.0,77.0,0.0,0.0,0,0.0,0.0,0,0.0,4.0,1,3.0,1,0,66.7,1.0,2.0,0,2,3.0,7,1,0.0
