PositionGroup,n_players_modeled,avg_test_smape,median_test_smape,avg_test_mae,most_common_best_model,ETS_selected,Linear_selected,Prophet_selected,ARIMA_selected
GK,250,18.403078347813643,14.92558906761284,1543590.6937607895,ETS_damped_trend,73,18,29,130
DEF,489,20.01764861435611,14.367816092024114,7693601.065726638,ETS_damped_trend,133,42,76,238
MID,496,21.543227166226146,13.26218246592143,1166040400808.5283,ETS_damped_trend,150,57,71,218
FWD,482,21.838071537120406,14.412006739567342,9710122.411003092,ETS_damped_trend,132,57,92,201
