,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,,,,,,,,,,,Penalty Kicks,,,,
Rk,Player,Gls,GA,PKvs,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PKvs,PKA,PKsv,PKm,Save%,Pos
141,Kepa Arrizabalaga,0,2,0,2021-2022,26,es ESP,Chelsea,eng Premier League,4,360,4,4,0,34,0,0,0,0,0,0,0,2,13,11,84.6,2,1,1,2,50,0,0,0,0,,GK
142,Kepa Arrizabalaga,0,33,1,2022-2023,27,es ESP,Chelsea,eng Premier League,29,2565,28.5,29,0,7,0,0,0,0,0,0,0,33,123,91,74,8,9,12,9,31,1,1,0,0,0,GK
143,Kepa Arrizabalaga,0,9,0,2023-2024,28,es ESP,Real Madrid,es La Liga,14,1198,13.3,13,1,21,0,0,0,0,0,0,0,9,39,30,76.9,10,2,1,4,30.8,0,0,0,0,,GK
144,Kepa Arrizabalaga,0,39,4,2024-2025,29,es ESP,Bournemouth,eng Premier League,31,2790,31,31,0,1,0,0,0,0,0,0,0,39,132,97,73.5,13,7,11,8,25.8,4,4,0,0,0,GK
145,Paul Bernardoni,0,52,8,2021-2022,24,fr FRA,2 Teams,fr Ligue 1,32,2880,32,32,0,0,0,0,0,0,0,0,0,52,127,81,65.4,9,10,13,7,21.9,8,8,0,0,0,GK
146,Paul Bernardoni,0,62,9,2022-2023,25,fr FRA,Angers,fr Ligue 1,27,2430,27,27,0,11,0,0,0,0,0,0,0,62,139,85,61.2,1,5,21,3,11.1,9,8,0,1,0,GK
147,Fran Vieites,0,4,0,2023-2024,24,es ESP,Real Betis,es La Liga,4,315,3.5,3,1,28,0,0,0,0,0,0,0,4,18,14,77.8,1,2,0,1,33.3,0,0,0,0,,GK
148,Fran Vieites,0,5,0,2024-2025,25,es ESP,Real Betis,es La Liga,4,360,4,4,0,30,0,0,0,0,0,0,0,5,12,7,58.3,1,2,1,0,0,0,0,0,0,,GK
149,Wuilker Faríñez,0,15,1,2021-2022,23,ve VEN,Lens,fr Ligue 1,13,1105,12.3,11,2,23,0,0,0,0,0,0,0,15,45,30,68.9,7,3,1,3,27.3,1,1,0,0,0,GK
150,Paul Nardi,0,38,5,2021-2022,27,fr FRA,Lorient,fr Ligue 1,22,1980,22,22,0,16,0,0,0,0,0,0,0,38,91,56,62.6,3,8,11,4,18.2,5,4,0,1,0,GK
151,Marwin Hitz,0,12,2,2021-2022,33,ch SUI,Dortmund,de Bundesliga,5,405,4.5,4,1,28,0,0,0,0,0,0,0,12,24,14,58.3,1,0,3,0,0,2,2,0,0,0,GK
152,Matheo Raab,0,0,0,2025-2026,26,de GER,Union Berlin,de Bundesliga,1,90,1,1,0,24,0,0,0,0,0,0,0,0,6,6,100,1,0,0,1,100,0,0,0,0,,GK
153,Alphonse Areola,0,1,0,2021-2022,28,fr FRA,West Ham United,eng Premier League,1,90,1,1,0,37,0,0,0,0,0,0,0,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,GK
154,Alphonse Areola,0,7,2,2022-2023,29,fr FRA,West Ham United,eng Premier League,5,309,3.4,2,3,30,0,0,0,0,0,0,0,7,14,9,64.3,0,1,1,1,50,2,2,0,0,0,GK
155,Alphonse Areola,0,53,7,2023-2024,30,fr FRA,West Ham United,eng Premier League,31,2699,30,31,0,2,0,0,0,0,0,0,0,53,182,136,73.6,11,9,11,4,12.9,7,5,2,0,28.6,GK
156,Alphonse Areola,0,41,0,2024-2025,31,fr FRA,West Ham United,eng Premier League,26,2260,25.1,25,1,8,0,0,0,0,0,0,0,41,121,80,66.1,5,7,13,5,20,0,0,0,0,,GK
157,Alphonse Areola,0,37,6,2025-2026,32,fr FRA,West Ham United,eng Premier League,20,1800,20,20,0,14,0,1,1,0,0,0,0,37,108,76,70.4,4,5,11,0,0,6,5,0,1,0,GK
158,Benjamin Lecomte,0,36,3,2022-2023,31,fr FRA,2 Teams,2 Comps,29,2609,29,29,0,4,0,0,0,0,0,0,0,36,136,102,75,11,8,10,9,31,3,2,1,0,33.3,GK
159,Benjamin Lecomte,0,37,5,2023-2024,32,fr FRA,Montpellier,fr Ligue 1,30,2700,30,30,0,0,0,1,1,0,0,0,0,37,134,102,75.4,9,11,10,10,33.3,5,4,1,0,20,GK
160,Benjamin Lecomte,0,68,7,2024-2025,33,fr FRA,Montpellier,fr Ligue 1,30,2700,30,30,0,4,0,0,0,0,0,0,0,68,169,108,63.3,3,4,23,1,3.3,7,6,1,0,14.3,GK
161,Dominik Greif,0,3,0,2021-2022,24,sk SVK,Mallorca,es La Liga,1,90,1,1,0,13,0,0,0,0,0,0,0,3,6,3,50,0,0,1,0,0,0,0,0,0,,GK
162,Dominik Greif,0,3,0,2022-2023,25,sk SVK,Mallorca,es La Liga,1,90,1,1,0,24,0,0,0,0,0,0,0,3,8,5,62.5,0,0,1,0,0,0,0,0,0,,GK
163,Dominik Greif,0,0,0,2023-2024,26,sk SVK,Mallorca,es La Liga,1,90,1,1,0,37,0,0,0,0,0,0,0,0,4,4,100,0,1,0,1,100,0,0,0,0,,GK
164,Dominik Greif,0,34,2,2024-2025,27,sk SVK,Mallorca,es La Liga,31,2790,31,31,0,7,0,0,0,0,0,0,0,34,117,85,72.6,11,8,12,7,22.6,2,2,0,0,0,GK
165,Dominik Greif,0,29,5,2025-2026,28,sk SVK,Lyon,fr Ligue 1,26,2340,26,26,0,4,0,1,1,0,0,0,0,29,94,69,71.3,14,5,7,11,42.3,5,2,3,0,60,GK
166,Antonio Mirante,0,0,0,2022-2023,39,it ITA,Milan,it Serie A,1,2,0,0,1,37,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,GK
167,Antonio Mirante,0,3,0,2023-2024,40,it ITA,Milan,it Serie A,2,177,2,2,0,27,0,0,0,0,0,0,0,3,8,5,62.5,0,1,1,0,0,0,0,0,0,,GK
168,Andriy Lunin,0,2,2,2021-2022,22,ua UKR,Real Madrid,es La Liga,2,180,2,2,0,32,0,0,0,0,0,0,0,2,6,6,83.3,0,1,1,0,0,2,1,1,0,50,GK
169,Andriy Lunin,0,7,0,2022-2023,23,ua UKR,Real Madrid,es La Liga,7,630,7,7,0,30,0,0,0,0,0,0,0,7,19,12,63.2,4,1,2,3,42.9,0,0,0,0,,GK
170,Andriy Lunin,0,17,1,2023-2024,24,ua UKR,Real Madrid,es La Liga,21,1890,21,21,0,17,0,0,0,0,0,0,0,17,64,48,75,16,5,0,4,19,1,1,0,0,0,GK
171,Andriy Lunin,0,7,0,2024-2025,25,ua UKR,Real Madrid,es La Liga,7,630,7,7,0,29,0,1,1,0,0,0,0,7,20,13,65,6,0,1,4,57.1,0,0,0,0,,GK
172,Andriy Lunin,0,7,0,2025-2026,26,ua UKR,Real Madrid,es La Liga,5,450,5,5,0,25,0,0,0,0,0,0,0,7,20,13,65,2,2,1,0,0,0,0,0,0,,GK
173,Arnau Tenas,0,7,0,2023-2024,22,es ESP,Paris Saint-Germain,fr Ligue 1,6,529,5.9,5,1,13,0,1,1,0,0,0,0,7,26,19,73.1,2,2,1,1,20,0,0,0,0,,GK
174,Arnau Tenas,0,1,0,2024-2025,23,es ESP,Paris Saint-Germain,fr Ligue 1,1,90,1,1,0,11,0,1,1,0,0,0,0,1,4,3,75,1,0,0,0,0,0,0,0,0,,GK
175,Arnau Tenas,0,8,2,2025-2026,24,es ESP,Villarreal,es La Liga,5,450,5,5,0,26,0,0,0,0,0,0,0,8,17,11,64.7,2,2,1,0,0,2,2,0,0,0,GK
176,Massamba Ndiaye,0,6,1,2023-2024,21,sn SEN,Clermont Foot,fr Ligue 1,4,360,4,4,0,30,0,0,0,0,0,0,0,6,22,17,77.3,1,2,1,0,0,1,1,0,0,0,GK
177,Nícolas Andrade,0,14,1,2025-2026,37,br BRA,Pisa,it Serie A,6,540,6,6,0,28,0,0,0,0,0,0,0,14,26,12,46.2,1,0,5,0,0,1,0,0,1,,GK
178,Loris Karius,0,4,0,2023-2024,30,de GER,Newcastle United,eng Premier League,1,90,1,1,0,21,0,0,0,0,0,0,0,4,8,4,50,0,0,1,0,0,0,0,0,0,,GK
179,Luís Maximiano,0,55,7,2021-2022,22,pt POR,Granada,es La Liga,35,3136,34.8,35,0,2,0,0,0,0,0,0,0,55,173,123,71.1,8,12,15,7,20,7,5,2,0,28.6,GK
180,Luís Maximiano,0,0,0,2022-2023,23,pt POR,Lazio,it Serie A,1,5,0.1,1,0,36,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,GK
181,Luís Maximiano,0,63,7,2023-2024,24,pt POR,Almería,es La Liga,33,2970,33,33,0,4,0,0,0,0,0,0,0,63,171,112,65.5,2,11,20,3,9.1,7,4,1,2,20,GK
