Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1,Max Aarons,2023-2024,23,eng ENG,Bournemouth,eng Premier League,20,1237,13.7,13,7,5,0,1,1,450,581,77.5,7,25,13,2,43,7402,2789,220,248,88.7,188,235,80,34,63,54,364,2174,1121,22,12,7,13,8,371,26,711,43,252,303,165,11,711,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,5,11,31.3,DF
2,Max Aarons,2024-2025,24,eng ENG,2 Teams,2 Comps,7,206,2.3,2,5,25,0,0,0,97,129,75.2,1,10,0,0,14,1592,551,45,55,81.8,45,59,76.3,5,11,45.5,87,367,171,1,3,0,4,1,89,13,158,3,40,68,51,0,158,6,6,3,3,0,5,6,83.3,1,4,1,3,1,7,3,0,2,1,66.7,DF
3,Paxten Aaronson,2022-2023,18,us USA,Eint Frankfurt,de Bundesliga,7,173,1.9,0,7,6,0,0,0,51,71,71.8,1,3,0,0,6,659,109,36,38,94.7,14,23,60.9,1,6,16.7,55,314,143,8,2,2,5,2,65,15,99,2,6,41,53,17,99,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,1,1,50,"MF,DF"
4,James Abankwah,2022-2023,18,ie IRL,Udinese,it Serie A,2,63,0.7,1,1,33,0,0,0,23,29,79.3,0,0,0,0,0,375,79,14,15,93.3,6,8,75,2,5,40,18,48,19,0,0,0,1,1,21,0,39,8,26,13,0,0,39,1,1,0,1,0,0,0,,0,4,2,2,0,1,5,0,2,0,100,DF
5,James Abankwah,2024-2025,20,ie IRL,Udinese,it Serie A,6,88,1,0,6,12,0,0,0,36,46,78.3,0,2,0,0,4,614,206,13,15,86.7,18,21,85.7,3,8,37.5,29,219,165,3,1,1,1,3,34,1,65,8,37,22,7,2,65,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,2,2,50,"DF,MF"
6,Yunis Abdelhamid,2022-2023,34,ma MAR,Reims,fr Ligue 1,37,3330,37,37,0,0,1,2,3,1679,2031,82.7,13,155,5,0,215,32967,13407,490,571,85.8,1006,1117,90.1,155,279,55.6,1723,10871,6123,40,21,3,27,23,1499,10,2459,241,1088,1275,123,39,2459,82,50,47,33,2,39,52,75,13,65,27,38,64,146,116,1,93,51,64.6,DF
7,Yunis Abdelhamid,2023-2024,35,ma MAR,Reims,fr Ligue 1,31,2781,30.9,31,0,0,4,0,4,1552,1836,84.5,8,129,3,0,137,29618,9672,487,548,88.9,893,976,91.5,141,252,56,1506,8663,4921,36,19,0,23,4,1403,9,2185,293,976,1119,114,35,2184,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,61,37,62.2,DF
8,Yunis Abdelhamid,2024-2025,36,ma MAR,Saint-Étienne,fr Ligue 1,16,1033,11.5,11,5,17,0,0,0,438,505,86.7,2,28,0,0,22,7952,2404,147,160,91.9,263,287,91.6,23,48,47.9,322,1732,837,4,1,0,8,3,393,3,641,127,414,215,14,7,641,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1,19,10,65.5,DF
9,Mohamed Abdelmoneim,2024-2025,25,eg EGY,Nice,fr Ligue 1,12,855,9.5,10,2,12,0,0,0,471,521,90.4,0,41,1,0,52,8299,2620,195,207,94.2,241,259,93.1,27,44,61.4,342,1427,822,6,4,0,4,3,386,5,635,70,260,331,46,3,635,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,31,19,62,DF
10,Ali Abdi,2024-2025,30,tn TUN,Nice,fr Ligue 1,25,1393,15.5,17,8,1,5,2,7,502,678,74,20,19,21,7,42,7914,2701,269,314,85.7,188,245,76.7,33,72,45.8,391,1880,1003,35,15,9,32,14,481,101,886,51,230,349,315,50,886,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,22,14,61.1,"DF,MF"
