Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1801,Quentin Merlin,2024-2025,22,fr FRA,Marseille,fr Ligue 1,27,1589,17.7,21,6,1,1,3,4,943,1145,82.4,25,57,27,9,86,15694,3325,445,497,89.5,417,488,85.5,60,105,57.1,732,3338,1591,40,30,9,20,9,924,169,1296,17,207,566,535,49,1296,22,17,12,5,5,9,16,56.3,7,20,4,16,14,36,17,1,7,15,31.8,DF
1802,Rafik Messali,2024-2025,21,fr FRA,Toulouse,fr Ligue 1,13,456,5.1,5,8,14,0,1,1,166,227,73.1,11,15,8,3,21,2756,890,81,95,85.3,65,89,73,13,23,56.5,155,897,454,13,7,5,16,12,176,29,298,12,71,132,100,12,298,15,8,6,6,3,7,8,87.5,1,9,1,8,10,25,12,0,6,4,60,DF
1803,Junior Messias,2022-2023,31,br BRA,Milan,it Serie A,25,1498,16.6,19,6,4,5,2,7,430,563,76.4,13,33,8,2,54,6793,1803,232,277,83.8,156,191,81.7,30,57,52.6,466,3060,1659,45,42,18,32,14,530,137,765,32,122,336,323,54,765,24,18,9,9,6,5,19,26.3,14,20,4,16,7,31,28,0,25,41,37.9,"FW,DF"
1804,Junior Messias,2023-2024,32,br BRA,Genoa,it Serie A,18,1053,11.7,13,5,1,1,0,1,245,337,72.7,15,24,12,5,29,3861,1103,120,143,83.9,92,125,73.6,17,39,43.6,282,2069,1138,35,29,6,24,13,309,75,490,23,100,208,194,28,490,26,20,19,5,2,8,19,42.1,11,9,1,8,5,31,22,0,15,24,38.5,"MF,DF"
1805,Karol Mets,2024-2025,31,ee EST,St. Pauli,de Bundesliga,10,900,10,10,0,0,0,0,0,526,631,83.4,3,49,3,1,54,10181,3728,165,186,88.7,302,330,91.5,53,101,52.5,343,1424,736,5,6,0,4,0,466,2,736,99,360,346,32,8,736,13,8,6,7,0,4,7,57.1,3,9,3,6,12,25,60,0,24,10,70.6,DF
1806,Thomas Meunier,2022-2023,30,be BEL,Dortmund,de Bundesliga,10,585,6.5,7,3,6,0,0,0,322,435,74,6,27,11,5,30,5628,2069,146,173,84.4,130,170,76.5,34,59,57.6,273,1150,556,9,7,1,8,5,306,45,503,25,131,213,162,11,503,16,7,8,5,3,10,17,58.8,7,7,2,5,9,25,16,0,7,3,70,DF
1807,Thomas Meunier,2023-2024,31,be BEL,Dortmund,de Bundesliga,8,586,6.5,7,1,2,0,0,0,399,495,80.6,4,25,2,0,33,6833,2757,187,211,88.6,176,216,81.5,31,52,59.6,305,1788,925,21,13,2,6,4,356,25,560,30,214,246,106,11,560,5,1,3,2,0,3,13,23.1,10,8,2,6,4,9,22,0,7,6,53.8,DF
1808,Thomas Meunier,2024-2025,32,be BEL,Lille,fr Ligue 1,30,1928,21.4,21,9,1,2,0,2,1188,1477,80.4,13,123,31,7,136,20433,6391,527,592,89,543,656,82.8,95,168,56.5,899,5120,2521,64,49,5,24,11,1122,148,1736,71,393,840,514,58,1736,53,38,32,15,6,33,49,67.3,16,21,8,13,34,87,64,0,33,19,63.5,DF
1809,Nikola Milenković,2022-2023,24,rs SRB,Fiorentina,it Serie A,27,2137,23.7,23,4,9,2,1,3,1107,1292,85.7,6,62,3,0,78,21399,6777,397,443,89.6,570,634,89.9,129,182,70.9,816,3547,1782,9,10,0,7,0,902,3,1520,143,743,710,74,35,1520,40,25,20,17,3,18,27,66.7,9,27,14,13,22,62,72,0,73,30,70.9,DF
1810,Nikola Milenković,2023-2024,25,rs SRB,Fiorentina,it Serie A,34,2510,27.9,27,7,4,0,0,0,1341,1584,84.7,8,73,0,0,81,27355,9362,395,465,84.9,777,838,92.7,159,235,67.7,1004,4636,2412,8,12,1,6,2,1193,10,1810,160,941,803,67,28,1810,41,21,24,14,3,22,36,61.1,14,22,14,8,27,68,95,1,111,28,79.9,DF
