Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2401,Kingsley Schindler,2022-2023,29,gh GHA,Köln,de Bundesliga,29,1088,12.1,8,21,4,0,1,1,0,0,0,0,352,546,64.5,10,30,12,3,50,6455,2445,133,169,78.7,173,243,71.2,37,86,43,345,1642,684,20,14,5,27,15,382,75,699,37,165,305,234,25,699,23,12,13,8,2,18,28,64.3,10,14,2,12,15,38,24,0,24,11,68.6,"DF,MF"
2402,Joël Schingtienne,2024-2025,21,be BEL,Venezia,it Serie A,16,1122,12.5,12,4,16,0,0,0,0,0,0,0,420,487,86.2,3,16,2,0,28,6496,2235,205,230,89.1,186,206,90.3,16,32,50,299,1463,669,5,6,0,16,5,320,4,611,48,270,288,60,4,611,27,16,18,7,2,12,19,63.2,7,18,9,9,14,41,25,5,4,14,22.2,DF
2403,Keven Schlotterbeck,2022-2023,25,de GER,2 Teams,de Bundesliga,15,748,8.3,8,7,16,2,0,2,2,0,0,0,214,321,66.7,4,15,1,0,21,4491,1569,71,99,71.7,114,148,77,29,67,43.3,159,703,399,1,0,0,4,3,169,3,448,85,236,183,31,18,448,17,9,12,5,0,9,11,81.8,2,12,6,6,16,33,51,0,36,26,58.1,DF
2404,Keven Schlotterbeck,2023-2024,26,de GER,2 Teams,de Bundesliga,27,2185,24.3,24,3,3,5,1,6,5,0,0,0,802,1027,78.1,10,53,5,1,93,15211,6371,282,344,82,434,503,86.3,78,140,55.7,580,2496,1414,9,4,2,12,0,635,15,1329,200,655,573,108,66,1329,42,22,26,14,2,25,30,83.3,5,33,23,10,33,75,104,2,112,70,61.5,DF
2405,Keven Schlotterbeck,2024-2025,27,de GER,Augsburg,de Bundesliga,18,1297,14.4,15,3,10,3,1,4,3,0,0,0,577,683,84.5,7,40,3,1,59,11012,4463,213,230,92.6,308,337,91.4,53,106,50,424,1437,731,3,5,0,8,0,510,2,845,101,395,394,59,19,845,19,17,9,9,1,12,16,75,4,13,6,7,15,34,73,1,40,18,69,DF
2406,Nico Schlotterbeck,2022-2023,22,de GER,Dortmund,de Bundesliga,28,2252,25,27,1,3,4,5,9,4,0,0,0,1648,1910,86.3,14,137,11,0,159,33135,11360,558,609,91.6,860,920,93.5,215,335,64.2,1342,6598,4158,39,39,1,14,8,1510,14,2173,202,988,1097,111,23,2173,59,34,34,24,1,37,53,69.8,16,38,21,17,32,91,71,1,60,33,64.5,DF
2407,Nico Schlotterbeck,2023-2024,23,de GER,Dortmund,de Bundesliga,33,2859,31.8,32,1,1,2,1,3,2,0,0,0,2381,2681,88.8,16,193,19,0,186,46631,16883,822,869,94.6,1247,1339,93.1,282,399,70.7,1883,9985,6376,55,42,2,19,3,2160,11,3024,330,1351,1543,155,39,3024,70,50,36,27,7,41,65,63.1,24,52,25,27,45,115,101,3,58,41,58.6,DF
2408,Nico Schlotterbeck,2024-2025,24,de GER,Dortmund,de Bundesliga,23,1982,22,23,0,0,0,4,4,0,0,0,0,1856,2080,89.2,18,226,10,2,195,35474,13457,674,711,94.8,975,1042,93.6,190,282,67.4,1467,6646,4107,37,30,1,12,10,1674,14,2297,193,831,1338,150,21,2297,38,24,21,16,1,27,45,60,18,31,15,16,22,60,79,1,52,27,65.8,DF
2409,Jeffrey Schlupp,2024-2025,31,gh GHA,Crystal Palace,eng Premier League,12,103,1.1,0,12,12,0,0,0,0,0,0,0,39,50,78,3,4,2,0,5,591,144,16,19,84.2,18,23,78.3,2,4,50,30,150,67,4,1,1,7,0,41,9,79,2,9,31,41,6,79,2,0,1,0,1,0,3,0,3,6,0,6,0,2,2,0,3,4,42.9,"MF,DF"
2410,Kenneth Schmidt,2022-2023,20,de GER,Freiburg,de Bundesliga,5,251,2.8,3,2,4,0,0,0,0,0,0,0,166,187,88.8,0,13,1,0,13,3199,965,55,61,90.2,93,98,94.9,16,25,64,120,725,368,5,3,0,5,0,144,0,208,16,79,119,12,0,208,6,3,4,2,0,5,6,83.3,1,4,2,2,0,6,2,0,4,4,50,DF
2411,Kenneth Schmidt,2023-2024,21,de GER,Freiburg,de Bundesliga,5,68,0.8,0,5,7,0,0,0,0,0,0,0,43,48,89.6,2,2,1,1,4,749,239,18,18,100,22,25,88,2,2,100,29,143,37,2,0,0,0,1,28,3,55,4,20,30,6,0,55,2,2,2,0,0,2,4,50,2,1,0,1,1,3,2,0,1,1,50,DF
2412,Benno Schmitz,2022-2023,27,de GER,Köln,de Bundesliga,31,2420,26.9,30,1,0,1,0,1,1,0,0,0,938,1499,62.6,19,108,42,19,149,16734,8969,398,488,81.6,435,644,67.5,91,272,33.5,777,3363,1919,48,39,3,24,8,915,126,1757,83,485,799,483,22,1757,64,42,31,28,5,42,82,51.2,40,34,4,30,26,90,57,0,30,30,50,DF
2413,Benno Schmitz,2023-2024,28,de GER,Köln,de Bundesliga,22,1155,12.8,13,9,8,0,1,1,0,0,0,0,502,709,70.8,5,41,16,6,70,7950,3765,258,301,85.7,189,261,72.4,39,88,44.3,349,1573,847,27,22,2,6,0,433,47,821,37,216,378,237,11,821,27,15,20,7,0,17,34,50,17,19,4,15,7,34,29,0,14,22,38.9,DF
2414,Marvin Schulz,2024-2025,29,de GER,Holstein Kiel,de Bundesliga,12,306,3.4,3,9,12,0,0,0,0,0,0,0,128,164,78,4,7,3,2,11,2387,704,43,48,89.6,71,84,84.5,12,26,46.2,95,536,300,5,4,1,8,2,114,2,220,22,91,100,32,1,220,6,5,2,2,2,2,8,25,6,12,8,4,0,6,17,0,2,4,33.3,"MF,DF"
2415,Perr Schuurs,2022-2023,22,nl NED,Torino,it Serie A,30,2326,25.8,28,2,4,0,2,2,0,0,0,0,1058,1201,88.1,7,35,3,0,56,20819,6259,320,358,89.4,622,671,92.7,108,142,76.1,768,3730,1812,14,16,1,21,7,814,2,1479,145,759,671,67,17,1479,51,25,29,17,5,14,26,53.8,12,28,16,12,28,79,102,0,60,49,55,DF
2416,Perr Schuurs,2023-2024,23,nl NED,Torino,it Serie A,9,770,8.6,9,0,0,1,0,1,1,0,0,0,359,406,88.4,0,17,1,1,19,6478,1868,141,155,91,187,199,94,27,41,65.9,285,1289,562,9,6,0,9,5,296,4,500,42,239,233,34,7,500,20,12,11,8,1,3,9,33.3,6,10,2,8,9,29,23,0,15,9,62.5,DF
2417,Aleksandar Sedlar,2023-2024,31,rs SRB,Alavés,es La Liga,11,946,10.5,11,0,1,1,0,1,1,0,0,0,343,405,84.7,2,31,0,0,26,6944,2813,115,129,89.1,178,201,88.6,46,67,68.7,247,1442,794,6,4,0,3,2,264,1,497,76,277,204,18,6,497,14,10,10,4,0,10,16,62.5,6,8,4,4,13,27,43,0,17,18,48.6,DF
2418,Aleksandar Sedlar,2024-2025,32,rs SRB,Alavés,es La Liga,9,594,6.6,7,2,25,0,0,0,0,0,0,0,195,236,82.6,0,14,0,0,12,3966,1454,58,64,90.6,105,123,85.4,30,43,69.8,141,793,489,2,2,0,0,0,156,1,296,27,138,156,3,2,296,18,10,7,11,0,8,10,80,2,2,1,1,10,28,24,1,9,6,60,DF
2419,Alidu Seidu,2022-2023,22,gh GHA,Clermont Foot,fr Ligue 1,28,2458,27.3,28,0,0,0,0,0,0,0,0,0,1152,1375,83.8,7,52,11,6,65,20609,6267,470,517,90.9,537,612,87.7,110,184,59.8,1168,7389,3574,27,34,2,34,15,970,35,1646,109,710,805,158,3,1646,52,31,35,14,3,31,51,60.8,20,28,14,14,52,104,50,2,26,9,74.3,DF
2420,Alidu Seidu,2023-2024,23,gh GHA,2 Teams,fr Ligue 1,25,1724,19.2,20,5,3,0,1,1,0,0,0,0,932,1118,83.4,8,60,4,0,56,16513,4733,397,433,91.7,428,502,85.3,79,142,55.6,938,6011,2673,30,33,1,24,9,827,27,1344,91,493,703,164,3,1344,53,33,34,18,1,38,50,76,12,26,10,16,35,88,50,0,22,13,62.9,DF
2421,Alidu Seidu,2024-2025,24,gh GHA,Rennes,fr Ligue 1,11,803,8.9,10,1,0,0,0,0,0,0,0,0,426,518,82.2,5,33,8,0,41,7350,2223,189,206,91.7,195,227,85.9,34,63,54,338,2129,1091,23,18,4,5,10,337,17,616,41,205,329,90,5,616,22,18,14,6,2,12,15,80,3,13,6,7,14,36,17,0,9,11,45,DF
2422,Nicolas Seiwald,2024-2025,23,at AUT,RB Leipzig,de Bundesliga,30,2084,23.2,20,10,2,0,0,0,0,0,0,0,1115,1348,82.7,20,123,27,3,140,18798,6983,541,585,92.5,481,573,83.9,84,149,56.4,760,2905,1400,17,20,2,9,8,1025,30,1607,107,442,948,226,8,1607,53,31,19,29,5,25,50,50,25,43,10,33,31,84,76,2,24,34,41.4,"MF,DF"
2423,Hiroki Sekine,2024-2025,21,jp JPN,Reims,fr Ligue 1,15,887,9.9,9,6,1,0,0,0,0,0,0,0,407,504,80.8,3,32,9,5,39,6476,2340,218,238,91.6,146,176,83,34,58,58.6,328,1758,931,22,14,2,12,10,384,40,628,68,247,246,142,10,628,9,7,6,2,1,7,17,41.2,10,22,11,11,5,14,51,1,11,11,50,DF
