Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2424,Nélson Semedo,2022-2023,28,pt POR,Wolves,eng Premier League,36,2632,29.2,31,5,1,0,1,1,0,0,0,0,1211,1499,80.8,11,103,15,5,110,18149,6122,706,772,91.5,427,525,81.3,59,126,46.8,998,5308,2691,50,42,5,42,19,1087,147,1858,139,589,837,451,29,1858,71,42,48,19,4,33,64,51.6,31,42,15,27,29,100,83,2,30,37,44.8,DF
2425,Nélson Semedo,2023-2024,29,pt POR,Wolves,eng Premier League,36,3084,34.3,36,0,0,0,1,1,0,0,0,0,1474,1849,79.7,24,101,25,10,138,21759,7306,876,969,90.4,495,616,80.4,69,158,43.7,1237,7650,4324,103,63,14,57,36,1376,150,2233,136,743,993,528,37,2233,79,48,52,19,8,38,64,59.4,26,44,8,36,36,115,85,1,22,27,44.9,"DF,MF"
2426,Nélson Semedo,2024-2025,30,pt POR,Wolves,eng Premier League,34,2886,32.1,32,2,0,0,4,4,0,0,0,0,1096,1357,80.8,25,70,28,13,80,16627,5130,598,653,91.6,409,490,83.5,59,128,46.1,901,5223,2688,67,41,10,42,21,995,119,1717,123,483,788,467,27,1717,62,36,32,21,9,34,57,59.6,23,32,10,22,23,85,104,3,28,42,40,DF
2427,Marvin Senaya,2023-2024,22,tg TOG,Strasbourg,fr Ligue 1,32,2138,23.8,23,9,1,1,1,2,1,0,0,0,871,1120,77.8,21,63,21,18,74,15097,5149,369,431,85.6,416,518,80.3,67,127,52.8,875,5438,2495,48,43,6,37,12,802,81,1465,81,458,693,329,27,1465,72,53,38,25,9,42,68,61.8,26,40,13,27,41,113,68,0,41,28,59.4,"DF,MF"
2428,Marvin Senaya,2024-2025,23,tg TOG,Strasbourg,fr Ligue 1,10,227,2.5,1,9,7,0,0,0,0,0,0,0,110,138,79.7,2,6,1,1,5,1854,596,48,51,94.1,52,65,80,7,14,50,72,231,109,1,1,0,0,1,86,2,173,12,88,73,15,0,173,8,3,5,2,1,6,12,50,6,6,2,4,7,15,12,0,3,3,50,DF
2429,Marcos Senesi,2022-2023,25,ar ARG,Bournemouth,eng Premier League,31,2491,27.7,29,2,5,2,0,2,2,0,0,0,1064,1322,80.5,5,86,4,1,66,21380,9358,360,399,90.2,551,625,88.2,137,245,55.9,929,4383,2386,9,12,1,15,4,983,3,1647,340,1037,568,57,16,1647,50,35,28,22,0,23,44,52.3,21,38,20,18,43,93,146,2,26,22,54.2,DF
2430,Marcos Senesi,2023-2024,26,ar ARG,Bournemouth,eng Premier League,31,2242,24.9,26,5,1,4,5,9,4,0,0,0,1005,1297,77.5,22,156,31,11,127,21763,9395,307,340,90.3,511,570,89.6,181,345,52.5,910,4789,3098,31,34,3,19,11,950,4,1614,184,743,762,129,20,1614,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1,37,40,48.1,DF
2431,Marcos Senesi,2024-2025,27,ar ARG,Bournemouth,eng Premier League,17,1106,12.3,13,4,4,0,0,0,0,0,0,0,561,735,76.3,3,79,13,3,62,11536,5815,199,228,87.3,267,311,85.9,89,180,49.4,554,2862,1677,12,16,0,7,6,565,7,889,73,391,427,82,16,889,39,21,23,14,2,14,31,45.2,17,16,7,9,14,53,58,0,32,29,52.5,DF
2432,Sergi,2024-2025,32,es ESP,Leganés,es La Liga,36,2957,32.9,33,3,1,2,0,2,2,0,0,0,1271,1518,83.7,5,59,5,0,77,25210,9824,395,426,92.7,710,767,92.6,156,290,53.8,977,4046,2161,3,3,0,7,2,1199,2,1875,243,1054,790,35,22,1875,40,29,22,16,2,18,32,56.3,14,38,29,9,39,79,185,2,63,58,52.1,DF
2433,Leonardo Sernicola,2022-2023,25,it ITA,Cremonese,it Serie A,32,2317,25.7,27,5,4,2,2,4,2,0,0,0,615,945,65.1,25,50,29,21,62,10638,4546,293,352,83.2,239,389,61.4,64,143,44.8,592,3716,2045,60,45,5,28,21,610,95,1220,67,352,498,387,24,1220,45,33,25,13,7,29,43,67.4,14,23,6,17,38,83,55,0,29,21,58,DF
2434,Ryan Sessegnon,2022-2023,22,eng ENG,Tottenham,eng Premier League,17,813,9,9,8,4,2,0,2,2,0,0,0,280,390,71.8,6,16,11,3,22,4093,1075,178,213,83.6,81,120,67.5,16,29,55.2,233,1435,815,24,11,5,11,10,270,64,493,29,157,170,168,27,493,16,11,9,7,0,6,12,50,6,8,1,7,6,22,17,1,10,10,50,DF
2435,Ryan Sessegnon,2024-2025,24,eng ENG,Fulham,eng Premier League,16,580,6.4,7,9,16,4,2,6,4,0,0,0,189,241,78.4,12,18,7,2,22,2728,859,118,136,86.8,58,73,79.5,8,13,61.5,180,1054,549,18,14,10,19,8,210,59,363,15,88,131,149,45,363,27,13,11,11,5,9,20,45,11,13,1,12,3,30,18,0,8,11,42.1,"FW,DF"
2436,Stephan El Shaarawy,2022-2023,29,it ITA,Roma,it Serie A,29,1523,16.9,14,15,5,7,2,9,7,0,0,0,665,825,80.6,27,36,21,3,66,10633,2974,357,403,88.6,245,298,82.2,47,77,61,619,3834,1842,58,41,20,35,11,681,136,1032,16,185,467,395,63,1032,21,9,8,10,3,6,22,27.3,16,11,1,10,15,36,11,0,16,18,47.1,"DF,MF"
2437,Stephan El Shaarawy,2023-2024,30,it ITA,Roma,it Serie A,33,1738,19.3,19,14,5,3,4,7,3,0,0,0,545,662,82.3,20,23,12,5,44,8516,1723,305,350,87.1,194,228,85.1,37,51,72.5,545,3423,1574,46,29,22,27,17,604,131,843,28,159,368,328,60,843,21,13,14,4,3,6,15,40,9,11,4,7,13,34,15,2,9,15,37.5,"FW,DF"
2438,Stephan El Shaarawy,2024-2025,31,it ITA,Roma,it Serie A,31,1098,12.2,12,19,5,3,4,7,3,0,0,0,399,504,79.2,15,19,21,3,49,5710,1604,238,269,88.5,133,169,78.7,16,30,53.3,381,2565,1222,42,37,12,22,10,429,77,635,14,91,254,305,45,635,16,12,4,6,6,6,12,50,6,4,0,4,10,26,13,0,5,19,20.8,"DF,MF"
2439,Luke Shaw,2022-2023,27,eng ENG,Manchester Utd,eng Premier League,31,2552,28.4,30,1,4,1,2,3,1,0,0,0,1757,2098,83.7,34,169,28,14,140,27648,10568,962,1047,91.9,641,732,87.6,112,205,54.6,1298,6356,3352,53,44,3,24,8,1459,76,2388,175,810,1124,475,22,2388,55,36,31,22,2,32,46,69.6,14,51,17,34,36,91,55,2,46,29,61.3,DF
2440,Luke Shaw,2023-2024,28,eng ENG,Manchester Utd,eng Premier League,12,959,10.7,12,0,0,0,0,0,0,0,0,0,531,648,81.9,13,33,7,0,45,8242,3114,273,306,89.2,201,237,84.8,31,65,47.7,398,1854,832,10,11,1,14,6,435,30,754,81,283,326,148,12,754,11,8,7,3,1,9,15,60,6,18,11,7,6,17,39,0,13,10,56.5,DF
2441,Luke Shaw,2024-2025,29,eng ENG,Manchester Utd,eng Premier League,7,349,3.9,4,3,1,0,0,0,0,0,0,0,249,290,85.9,5,20,3,1,24,4252,1388,118,127,92.9,108,119,90.8,20,33,60.6,226,1102,548,7,8,0,2,0,248,7,317,26,128,149,42,4,317,4,3,2,2,0,2,2,100,0,6,1,5,2,6,7,0,3,2,60,DF
2442,Djibril Sidibé,2024-2025,32,fr FRA,Toulouse,fr Ligue 1,28,2101,23.3,24,4,0,0,3,3,0,0,0,0,1018,1277,79.7,18,89,30,12,121,17651,8086,431,480,89.8,480,571,84.1,79,164,48.2,817,3000,1693,16,17,0,24,9,898,50,1475,80,497,741,253,15,1475,65,36,34,22,9,31,50,62,19,11,3,8,20,85,64,1,17,10,63,DF
2443,Tim Siersleben,2023-2024,23,de GER,Heidenheim,de Bundesliga,14,910,10.1,10,4,19,0,0,0,0,0,0,0,456,559,81.6,3,39,0,0,48,9924,4378,127,145,87.6,246,270,91.1,81,137,59.1,362,2266,1424,12,4,0,7,2,452,1,668,59,349,309,14,6,668,27,11,21,6,0,8,20,40,12,16,10,6,21,48,29,1,13,11,54.2,DF
2444,Tim Siersleben,2024-2025,24,de GER,Heidenheim,de Bundesliga,16,1182,13.1,14,2,18,0,0,0,0,0,0,0,581,719,80.8,6,35,8,2,31,12037,5686,177,199,88.9,318,355,89.6,81,144,56.3,472,2077,990,8,8,1,5,4,560,12,869,113,505,309,59,7,869,21,14,12,8,1,7,17,41.2,10,19,6,13,20,41,66,0,20,21,48.8,DF
2445,Kiliann Sildillia,2022-2023,20,fr FRA,Freiburg,de Bundesliga,27,1977,22,23,4,4,0,2,2,0,0,0,0,787,1103,71.4,10,69,9,4,81,14814,5194,316,402,78.6,333,448,74.3,118,183,64.5,650,3159,1546,20,24,2,21,15,693,47,1306,67,337,706,271,18,1306,33,20,10,19,4,18,30,60,12,24,9,15,21,54,47,1,42,43,49.4,"DF,MF"
2446,Kiliann Sildillia,2023-2024,21,fr FRA,Freiburg,de Bundesliga,27,1806,20.1,20,7,4,0,1,1,0,0,0,0,847,1167,72.6,11,61,19,12,70,15116,5689,394,459,85.8,338,452,74.8,100,197,50.8,716,4057,1865,22,20,1,24,10,778,58,1412,113,470,709,250,22,1412,43,19,28,8,7,26,42,61.9,16,33,15,18,22,65,64,0,32,37,46.4,DF
2447,Kiliann Sildillia,2024-2025,22,fr FRA,Freiburg,de Bundesliga,21,801,8.9,8,13,8,2,0,2,2,0,0,0,336,459,73.2,7,20,6,4,29,6274,2162,147,176,83.5,135,175,77.1,50,83,60.2,253,1207,553,11,10,2,8,6,315,34,576,38,191,276,111,11,576,17,10,8,6,3,7,13,53.8,6,16,5,11,11,28,38,0,21,22,48.8,DF
2448,Caio Henrique Oliveira Silva,2022-2023,25,br BRA,Monaco,fr Ligue 1,35,2896,32.2,32,3,1,1,9,10,1,0,0,0,1478,1963,75.3,51,137,34,9,197,24343,9841,713,792,90,608,763,79.7,114,312,36.5,1413,8270,4299,56,49,9,27,10,1253,141,2218,105,621,1025,595,36,2218,74,51,42,28,4,44,76,57.9,32,28,8,20,26,100,68,1,16,27,37.2,DF
2449,Caio Henrique Oliveira Silva,2023-2024,26,br BRA,Monaco,fr Ligue 1,9,623,6.9,7,2,2,0,5,5,0,0,0,0,376,464,81,13,26,15,2,33,6295,2068,175,196,89.3,168,197,85.3,28,53,52.8,354,1956,828,16,15,7,11,3,329,54,528,13,105,231,200,19,528,13,7,3,7,3,6,9,66.7,3,8,2,6,6,19,9,0,2,5,28.6,DF
2450,Caio Henrique Oliveira Silva,2024-2025,27,br BRA,Monaco,fr Ligue 1,27,1929,21.4,21,6,6,0,6,6,0,0,0,0,1025,1383,74.1,35,84,38,12,102,16220,5772,569,633,89.9,359,476,75.4,77,205,37.6,787,4052,2352,57,58,5,26,7,916,142,1571,53,366,719,513,36,1571,37,26,16,19,2,23,44,52.3,21,26,8,18,22,59,59,0,13,16,44.8,DF
2451,Thiago Silva,2022-2023,37,br BRA,Chelsea,eng Premier League,27,2352,26.1,26,1,2,0,2,2,0,0,0,0,1856,2042,90.9,5,115,13,0,104,34998,13939,678,718,94.4,993,1035,95.9,172,258,66.7,1460,6608,3887,8,14,0,6,1,1674,2,2302,348,1167,1081,58,24,2302,41,27,24,17,0,21,31,67.7,10,38,29,9,34,75,111,3,61,23,72.6,DF
2452,Thiago Silva,2023-2024,38,br BRA,Chelsea,eng Premier League,31,2527,28.1,28,3,5,3,1,4,3,0,0,0,2166,2287,94.7,9,125,10,1,102,38542,15513,887,918,96.6,1119,1157,96.7,143,186,76.9,1623,6862,3867,2,11,0,7,1,1891,5,2549,398,1280,1198,79,24,2549,29,15,22,6,1,20,34,58.8,14,33,24,9,26,55,153,4,51,26,66.2,DF
2453,Mohamed Simakan,2022-2023,22,fr FRA,RB Leipzig,de Bundesliga,24,1454,16.2,18,6,5,1,1,2,1,0,0,0,901,1108,81.3,11,81,16,2,88,14885,5523,451,508,88.8,368,431,85.4,65,120,54.2,768,3765,2170,32,23,2,22,6,869,72,1301,89,434,668,211,28,1301,21,14,12,5,4,14,21,66.7,7,21,4,17,16,37,55,0,38,25,60.3,DF
2454,Mohamed Simakan,2023-2024,23,fr FRA,RB Leipzig,de Bundesliga,32,2138,23.8,23,9,0,2,3,5,2,0,0,0,1347,1573,85.6,15,107,5,2,106,23904,8042,530,594,89.2,720,790,91.1,83,152,54.6,1132,5202,2747,34,22,8,27,9,1253,76,1852,168,647,987,232,61,1852,48,29,28,19,1,32,44,72.7,12,36,14,22,29,77,69,0,60,36,62.5,DF
2455,Jan-Carlo Simic,2023-2024,18,rs SRB,Milan,it Serie A,4,146,1.6,0,4,13,1,0,1,1,0,0,0,59,64,92.2,0,3,0,0,6,1039,291,18,18,100,40,40,100,1,6,16.7,43,245,125,0,0,0,0,0,54,0,76,9,32,40,4,2,76,1,1,1,0,0,0,0,,0,5,4,1,0,1,3,0,2,2,50,DF
2456,Simo,2022-2023,17,es ESP,Espanyol,es La Liga,7,148,1.6,0,7,15,0,0,0,0,0,0,0,58,61,95.1,0,11,0,0,11,998,384,31,32,96.9,21,21,100,6,7,85.7,46,241,143,2,0,0,0,2,47,1,79,14,32,46,2,0,79,3,1,3,0,0,2,3,66.7,1,5,4,1,0,3,3,0,2,4,33.3,DF
2457,Jahmai Simpson-Pusey,2024-2025,18,eng ENG,Manchester City,eng Premier League,2,96,1.1,1,1,8,0,0,0,0,0,0,0,107,115,93,0,3,0,0,3,1754,549,47,49,95.9,57,59,96.6,3,7,42.9,79,376,190,1,0,0,1,0,101,0,123,9,61,59,3,1,123,1,0,1,0,0,0,1,0,1,1,1,0,0,1,2,0,1,3,25,DF
2458,Wilfried Singo,2022-2023,21,ci CIV,Torino,it Serie A,31,2046,22.7,24,7,3,2,1,3,2,0,0,0,853,1138,75,23,46,24,10,67,14659,4321,393,458,85.8,376,492,76.4,67,131,51.1,708,3749,1789,54,34,9,33,17,849,93,1354,46,299,649,420,59,1354,27,17,14,10,3,12,19,63.2,7,15,2,13,12,39,33,1,53,23,69.7,DF
2459,Wilfried Singo,2023-2024,22,ci CIV,Monaco,fr Ligue 1,25,2187,24.3,24,1,0,1,1,2,1,0,0,0,1282,1490,86,14,125,15,3,145,24364,8674,460,508,90.6,633,706,89.7,158,229,69,1289,7409,3456,38,48,3,18,7,1122,31,1754,144,616,961,196,27,1754,34,25,18,14,2,17,26,65.4,9,27,14,13,51,85,81,2,63,29,68.5,DF
2460,Wilfried Singo,2024-2025,23,ci CIV,Monaco,fr Ligue 1,27,2096,23.3,23,4,1,1,2,3,1,0,0,0,1252,1452,86.2,7,102,11,1,118,23389,7968,449,487,92.2,698,756,92.3,92,176,52.3,951,5285,3094,35,22,4,11,7,1091,27,1703,141,637,965,125,29,1703,37,23,24,10,3,20,28,71.4,8,17,9,8,43,80,110,2,51,29,63.8,DF
2461,Daley Sinkgraven,2022-2023,27,nl NED,Leverkusen,de Bundesliga,12,344,3.8,4,8,17,0,2,2,0,0,0,0,159,209,76.1,6,12,1,1,8,2513,753,94,106,88.7,48,63,76.2,15,33,45.5,129,606,300,8,6,1,4,7,161,17,260,13,81,119,61,7,260,10,7,7,3,0,7,9,77.8,2,8,4,4,5,15,7,0,3,5,37.5,"DF,MF"
2462,Daley Sinkgraven,2023-2024,28,nl NED,Las Palmas,es La Liga,10,374,4.2,6,4,18,0,0,0,0,0,0,0,237,276,85.9,0,19,3,0,17,3245,930,157,165,95.2,62,77,80.5,8,16,50,168,660,285,3,4,0,3,2,198,8,319,17,90,181,49,1,319,11,5,6,5,0,2,8,25,6,5,3,2,6,17,9,0,5,1,83.3,DF
2463,Daley Sinkgraven,2024-2025,29,nl NED,Las Palmas,es La Liga,2,91,1,1,1,3,0,0,0,0,0,0,0,50,66,75.8,1,2,1,0,3,682,211,31,31,100,17,25,68,1,7,14.3,46,262,95,2,2,1,1,1,50,7,77,4,22,35,20,1,77,5,1,3,2,0,1,3,33.3,2,1,0,1,1,6,2,0,1,0,100,DF
2464,Jailson Siqueira,2023-2024,27,br BRA,Celta Vigo,es La Liga,14,897,10,9,5,5,0,1,1,0,0,0,0,406,488,83.2,2,48,4,1,38,6877,2995,179,197,90.9,186,213,87.3,29,51,56.9,377,2080,1358,16,12,1,9,9,383,8,607,49,238,330,49,6,607,27,18,22,5,0,13,24,54.2,11,13,5,8,12,39,32,0,17,25,40.5,"DF,MF"
2465,Jailson Siqueira,2024-2025,28,br BRA,Celta Vigo,es La Liga,13,614,6.8,6,7,10,0,0,0,0,0,0,0,435,481,90.4,1,33,0,0,43,7809,2959,162,173,93.6,238,252,94.4,32,46,69.6,369,1861,1091,10,10,2,1,5,414,3,551,56,214,306,34,8,551,13,11,9,3,1,9,11,81.8,2,6,4,2,9,22,28,1,18,17,51.4,"DF,MF"
2466,Tim Skarke,2023-2024,26,de GER,Darmstadt 98,de Bundesliga,30,2404,26.7,29,1,0,8,0,8,8,0,0,0,622,855,72.7,31,38,33,14,80,10477,2900,307,364,84.3,219,294,74.5,72,127,56.7,640,3890,1888,61,35,20,55,23,761,190,1134,32,199,470,482,71,1134,26,16,12,10,4,10,28,35.7,18,25,2,23,6,32,20,0,11,50,18,"FW,DF"
2467,Oliver Skipp,2023-2024,22,eng ENG,Tottenham,eng Premier League,21,707,7.9,5,16,10,0,0,0,0,0,0,0,351,383,91.6,7,37,3,0,37,5258,1454,199,210,94.8,123,131,93.9,19,24,79.2,226,831,399,8,4,1,9,6,319,25,448,14,90,257,102,13,448,18,12,9,6,3,11,18,61.1,7,12,1,11,3,21,9,0,3,10,23.1,"MF,DF"
