Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2801,Noah Weißhaupt,2022-2023,20,de GER,Freiburg,de Bundesliga,18,427,4.7,3,15,14,0,1,1,0,0,0,0,111,162,68.5,8,9,6,2,14,1810,410,57,71,80.3,36,50,72,13,27,48.1,132,763,359,14,4,4,12,3,136,31,214,14,59,98,58,8,214,11,6,3,7,1,2,7,28.6,5,4,0,4,6,17,8,0,4,5,44.4,"MF,DF"
2802,Noah Weißhaupt,2023-2024,21,de GER,Freiburg,de Bundesliga,24,759,8.4,6,18,3,1,2,3,1,0,0,0,284,392,72.4,16,16,16,11,26,4698,1210,141,157,89.8,109,149,73.2,26,58,44.8,326,2513,1303,41,27,9,18,4,349,84,503,13,94,217,194,24,503,9,4,6,0,3,5,11,45.5,6,8,1,7,8,17,12,0,3,10,23.1,"DF,FW"
2803,Shon Weissman,2023-2024,27,il ISR,Salernitana,it Serie A,11,494,5.5,5,6,4,1,0,1,1,0,0,0,49,67,73.1,2,2,0,0,4,650,61,31,40,77.5,9,13,69.2,4,5,80,61,178,43,0,1,0,10,5,78,22,118,7,22,51,45,10,118,4,3,2,0,2,0,4,0,4,2,1,1,3,7,4,0,6,15,28.6,"FW,DF"
2804,Welington,2024-2025,23,br BRA,Southampton,eng Premier League,10,482,5.4,6,4,3,0,0,0,0,0,0,0,145,186,78,3,8,5,4,11,2273,695,71,79,89.9,61,79,77.2,8,16,50,100,389,197,5,4,1,9,4,120,19,276,31,113,102,64,3,276,21,9,15,5,1,12,19,63.2,7,5,1,4,7,28,36,0,5,4,55.6,DF
2805,Ben White,2022-2023,24,eng ENG,Arsenal,eng Premier League,38,3055,33.9,36,2,0,2,5,7,2,0,0,0,1888,2242,84.2,26,226,42,12,249,31271,10700,893,974,91.7,851,972,87.6,107,205,52.2,1448,6506,3565,64,46,3,27,7,1698,124,2533,103,554,1306,685,48,2533,60,31,23,30,7,42,70,60,28,47,11,36,22,82,79,1,33,41,44.6,DF
2806,Ben White,2023-2024,25,eng ENG,Arsenal,eng Premier League,37,2988,33.2,35,2,0,4,4,8,4,0,0,0,1828,2177,84,38,172,45,10,192,28002,9801,999,1099,90.9,713,832,85.7,85,171,49.7,1321,4867,2672,44,34,9,26,9,1675,162,2456,120,633,1165,676,64,2456,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1,36,22,62.1,DF
2807,Ben White,2024-2025,26,eng ENG,Arsenal,eng Premier League,17,1198,13.3,13,4,3,0,2,2,0,0,0,0,580,692,83.8,10,55,11,2,59,9173,2998,309,337,91.7,234,276,84.8,24,50,48,394,1617,953,23,16,4,10,6,494,42,813,55,214,367,238,28,813,20,14,10,4,6,16,38,42.1,22,10,8,2,16,36,44,0,18,9,66.7,DF
2808,Silvan Widmer,2022-2023,29,ch SUI,Mainz 05,de Bundesliga,26,1688,18.8,19,7,0,2,2,4,2,0,0,0,597,873,68.4,15,43,17,5,54,9838,4441,314,374,84,222,323,68.7,47,122,38.5,464,1820,847,14,9,3,22,12,508,91,1049,38,266,504,287,50,1049,26,17,15,10,1,20,39,51.3,19,22,8,14,31,57,28,0,17,25,40.5,DF
2809,Silvan Widmer,2023-2024,30,ch SUI,Mainz 05,de Bundesliga,20,1242,13.8,13,7,5,1,3,4,1,0,0,0,490,677,72.4,16,57,10,5,54,8090,3637,249,296,84.1,185,261,70.9,44,82,53.7,307,1425,786,31,16,6,14,8,418,63,827,48,220,400,214,38,827,23,10,12,8,3,17,28,60.7,11,18,5,13,16,39,37,0,19,32,37.3,DF
2810,Silvan Widmer,2024-2025,31,ch SUI,Mainz 05,de Bundesliga,27,504,5.6,3,24,6,0,1,1,0,0,0,0,208,281,74,2,15,6,2,23,3639,1198,102,121,84.3,79,110,71.8,24,40,60,146,478,112,3,3,1,8,3,190,36,363,26,101,145,119,12,363,11,5,3,6,2,8,12,66.7,4,7,1,6,5,16,27,0,12,14,46.2,DF
2811,Mats Wieffer,2024-2025,24,nl NED,Brighton,eng Premier League,25,1015,11.3,10,15,3,1,3,4,1,0,0,0,594,698,85.1,16,53,9,2,62,9762,2650,286,317,90.2,258,298,86.6,38,50,76,483,2351,1051,18,20,1,19,9,533,23,867,55,223,450,206,22,867,58,34,27,27,4,32,47,68.1,15,18,2,16,17,75,28,3,32,25,56.1,"DF,MF"
2812,Mateusz Wieteska,2022-2023,25,pl POL,Clermont Foot,fr Ligue 1,35,3117,34.6,35,0,0,0,1,1,0,0,0,0,1344,1631,82.4,3,80,5,0,99,25000,10745,518,587,88.2,670,756,88.6,128,239,53.6,1358,8189,4515,15,10,0,11,6,1211,8,1925,256,1017,868,57,31,1925,41,23,28,13,0,19,33,57.6,14,44,28,16,56,97,97,4,78,41,65.5,DF
2813,Mateusz Wieteska,2023-2024,26,pl POL,2 Teams,2 Comps,21,1139,12.7,12,9,16,1,1,2,1,0,0,0,463,576,80.4,5,39,5,1,39,9154,4116,144,164,87.8,270,301,89.7,46,99,46.5,388,2240,1444,16,2,0,5,3,426,2,700,91,364,314,28,10,700,18,12,12,4,2,6,15,40,9,14,7,7,19,37,56,0,31,20,60.8,DF
2814,Mateusz Wieteska,2024-2025,27,pl POL,Cagliari,it Serie A,5,184,2,1,4,13,0,0,0,0,0,0,0,82,95,86.3,1,3,1,0,5,1672,723,19,21,90.5,56,60,93.3,6,11,54.5,69,426,205,1,0,0,1,0,70,0,116,18,64,51,2,2,116,1,0,0,1,0,1,1,100,0,3,2,1,7,8,6,0,2,7,22.2,DF
2815,Neco Williams,2022-2023,21,wls WAL,Nott'ham Forest,eng Premier League,31,1882,20.9,20,11,2,1,0,1,1,0,0,0,533,840,63.5,15,29,14,9,33,9565,3461,254,307,82.7,196,286,68.5,68,177,38.4,555,3620,2064,51,33,5,31,17,532,67,1153,82,445,422,309,23,1153,72,47,49,17,6,38,71,53.5,33,33,8,25,33,105,48,0,17,27,38.6,DF
2816,Neco Williams,2023-2024,22,wls WAL,Nott'ham Forest,eng Premier League,26,1637,18.2,18,8,5,0,1,1,0,0,0,0,519,785,66.1,11,43,17,11,47,8061,3375,287,331,86.7,185,288,64.2,32,99,32.3,496,3101,1631,48,24,6,38,27,526,86,1080,71,378,422,298,30,1080,69,40,42,18,9,35,56,62.5,21,44,13,31,22,91,53,0,31,20,60.8,DF
2817,Neco Williams,2024-2025,23,wls WAL,Nott'ham Forest,eng Premier League,35,2594,28.8,28,7,3,1,3,4,1,0,0,0,843,1116,75.5,18,69,22,10,89,12607,5011,488,540,90.4,282,391,72.1,40,107,37.4,650,3952,2169,68,28,16,36,21,744,103,1565,155,558,574,453,45,1565,90,57,63,19,8,53,86,61.6,33,42,10,32,31,121,137,3,40,30,57.1,DF
2818,Josh Wilson-Esbrand,2023-2024,20,eng ENG,Reims,fr Ligue 1,11,461,5.1,5,6,0,1,1,2,1,0,0,0,186,252,73.8,5,12,5,1,19,3191,823,91,108,84.3,75,93,80.6,18,38,47.4,196,1058,569,11,10,3,9,8,186,20,304,9,66,163,77,10,304,5,4,2,3,0,2,8,25,6,5,2,3,6,11,7,0,4,3,57.1,"DF,MF"
2819,Frederik Winther,2022-2023,21,dk DEN,Augsburg,de Bundesliga,1,90,1,1,0,7,0,1,1,0,0,0,0,22,35,62.9,1,1,1,0,1,456,203,5,8,62.5,12,15,80,4,8,50,15,94,50,0,0,0,0,0,18,0,49,11,31,16,2,0,49,2,2,1,1,0,0,2,0,2,1,1,0,0,2,7,0,6,3,66.7,DF
2820,Przemysław Wiśniewski,2022-2023,24,pl POL,Spezia,it Serie A,14,1003,11.1,11,3,5,1,0,1,1,0,0,0,417,502,83.1,3,22,3,0,24,8258,2784,127,144,88.2,234,251,93.2,51,91,56,322,1643,771,2,1,0,6,4,373,1,635,99,389,215,33,7,635,13,6,7,6,0,6,18,33.3,12,16,8,8,11,24,66,0,40,16,71.4,DF
2821,Axel Witsel,2022-2023,33,be BEL,Atlético Madrid,es La Liga,33,2258,25.1,25,8,4,0,0,0,0,0,0,0,1229,1328,92.5,4,84,1,0,82,19963,6886,568,597,95.1,565,595,95,59,85,69.4,949,4096,1965,6,9,0,8,3,1059,11,1521,168,634,810,82,18,1521,36,22,22,11,3,17,31,54.8,14,20,11,9,23,59,76,0,41,36,53.2,"DF,MF"
2822,Axel Witsel,2023-2024,34,be BEL,Atlético Madrid,es La Liga,35,2783,30.9,30,5,1,2,0,2,2,0,0,0,1687,1835,91.9,3,72,0,0,89,29499,11338,710,753,94.3,834,888,93.9,111,144,77.1,1364,6335,3215,17,16,0,14,6,1467,8,2107,283,1091,950,71,22,2107,35,21,23,12,0,17,24,70.8,7,40,21,19,16,51,119,0,55,26,67.9,DF
2823,Axel Witsel,2024-2025,35,be BEL,Atlético Madrid,es La Liga,14,852,9.5,9,5,24,0,1,1,0,0,0,0,494,545,90.6,2,17,0,0,21,8980,3351,181,198,91.4,277,300,92.3,33,40,82.5,405,2146,1194,2,3,1,9,0,418,1,645,82,325,306,16,4,645,16,12,4,10,2,12,14,85.7,2,15,8,7,11,27,34,1,23,16,59,DF
2824,Maximilian Wittek,2023-2024,27,de GER,Bochum,de Bundesliga,21,1070,11.9,13,8,11,3,1,4,3,0,0,0,312,499,62.5,24,35,19,7,49,5570,2500,131,178,73.6,137,205,66.8,33,80,41.3,278,1291,623,17,9,4,14,5,316,64,642,30,146,284,216,18,642,23,17,9,11,3,13,21,61.9,8,12,1,11,18,41,23,0,15,26,36.6,"DF,FW"
2825,Maximilian Wittek,2024-2025,28,de GER,Bochum,de Bundesliga,33,2706,30.1,32,1,0,0,0,0,0,0,0,0,1077,1525,70.6,46,114,37,18,141,20095,8995,429,513,83.6,510,648,78.7,122,289,42.2,769,3496,1783,47,43,7,38,12,860,83,1882,105,510,877,512,20,1882,65,42,40,19,6,38,54,70.4,16,54,8,46,27,92,89,3,23,23,50,DF
2826,Maximilian Wöber,2022-2023,24,at AUT,Leeds United,eng Premier League,16,1266,14.1,14,2,1,0,0,0,0,0,0,0,483,684,70.6,6,63,3,2,54,9430,4157,175,221,79.2,255,319,79.9,50,122,41,426,2270,1309,15,9,0,6,2,438,15,858,110,381,400,81,17,858,25,18,9,15,1,16,24,66.7,8,32,14,18,27,52,67,1,27,21,56.3,DF
2827,Maximilian Wöber,2023-2024,25,at AUT,Gladbach,de Bundesliga,25,2066,23,24,1,0,2,3,5,2,0,0,0,1224,1485,82.4,12,101,12,7,128,22076,8449,500,548,91.2,606,696,87.1,107,196,54.6,975,5004,2743,32,19,2,6,2,1066,23,1798,232,906,757,146,25,1798,66,31,40,25,1,31,53,58.5,22,47,26,21,38,104,111,0,47,32,59.5,DF
2828,Marius Wolf,2022-2023,27,de GER,Dortmund,de Bundesliga,25,1570,17.4,17,8,2,1,1,2,1,0,0,0,834,1061,78.6,22,60,29,14,91,13553,4900,428,484,88.4,302,366,82.5,75,129,58.1,711,3580,1960,60,45,13,27,12,826,151,1265,42,350,522,411,50,1265,25,18,9,12,4,16,29,55.2,13,40,10,30,18,43,22,1,6,6,50,DF
2829,Marius Wolf,2023-2024,28,de GER,Dortmund,de Bundesliga,22,1166,13,12,10,10,0,1,1,0,0,0,0,687,896,76.7,11,61,16,7,59,11614,4213,313,362,86.5,307,367,83.7,53,115,46.1,535,2426,1513,36,34,3,19,5,673,79,1013,25,282,469,266,22,1013,20,12,8,11,1,11,23,47.8,12,12,2,10,8,28,20,0,6,8,42.9,DF
2830,Marius Wolf,2024-2025,29,de GER,Augsburg,de Bundesliga,32,2144,23.8,28,4,0,1,3,4,1,0,0,0,826,1205,68.5,45,76,25,13,117,14566,6535,388,469,82.7,331,455,72.7,93,201,46.3,627,2489,1362,36,19,8,25,16,769,95,1427,54,302,599,544,46,1427,27,16,13,11,3,16,43,37.2,27,29,5,24,24,51,51,1,8,8,50,DF
2831,Nathan Wood-Gordon,2024-2025,22,eng ENG,Southampton,eng Premier League,11,773,8.6,9,2,14,0,0,0,0,0,0,0,444,476,93.3,1,11,0,0,17,7532,1915,183,192,95.3,240,248,96.8,17,27,63,313,1352,535,2,6,0,5,1,419,0,564,75,282,255,28,3,564,14,8,8,5,1,8,11,72.7,3,9,6,3,5,19,39,2,15,8,65.2,DF
2832,Christopher Wooh,2022-2023,20,cm CMR,Rennes,fr Ligue 1,13,1006,11.2,12,1,11,0,0,0,0,0,0,0,569,618,92.1,1,24,0,0,38,12081,3249,119,130,91.5,382,398,96,65,85,76.5,572,3208,1774,6,2,0,7,1,541,0,722,70,290,419,15,8,722,16,7,8,8,0,9,11,81.8,2,11,5,6,6,22,49,0,21,12,63.6,DF
2833,Christopher Wooh,2023-2024,21,cm CMR,Rennes,fr Ligue 1,18,1388,15.4,15,3,12,1,0,1,1,0,0,0,675,789,85.6,6,57,3,0,61,13895,5198,181,206,87.9,402,438,91.8,80,123,65,655,4133,2261,8,3,1,10,3,609,4,931,105,411,492,42,19,931,18,12,12,6,0,8,15,53.3,7,19,9,10,18,36,51,0,35,19,64.8,DF
2834,Christopher Wooh,2024-2025,22,cm CMR,Rennes,fr Ligue 1,20,1456,16.2,17,3,11,0,0,0,0,0,0,0,749,860,87.1,2,51,2,0,59,14386,5490,232,259,89.6,456,489,93.3,56,99,56.6,558,2873,1657,14,6,0,12,4,695,2,1028,118,477,516,45,13,1028,36,19,21,13,2,18,27,66.7,9,22,8,14,23,59,63,0,42,18,70,DF
2835,Luke Woolfenden,2024-2025,25,eng ENG,Ipswich Town,eng Premier League,15,1187,13.2,12,3,13,0,0,0,0,0,0,0,496,562,88.3,0,31,0,0,15,9196,3071,178,184,96.7,274,292,93.8,39,74,52.7,368,2118,1249,7,3,0,4,0,442,0,694,147,407,278,9,3,694,9,6,5,4,0,2,5,40,3,21,14,7,19,28,76,0,15,15,50,DF
2836,Joe Worrall,2022-2023,25,eng ENG,Nott'ham Forest,eng Premier League,30,2224,24.7,21,9,8,1,0,1,1,0,0,0,891,1157,77,5,75,6,0,67,18605,7188,265,322,82.3,475,560,84.8,143,250,57.2,684,2948,1604,5,5,1,6,4,796,1,1408,213,813,524,75,29,1408,53,25,39,12,2,25,35,71.4,10,33,23,10,26,79,111,1,55,33,62.5,DF
2837,Joe Worrall,2023-2024,26,eng ENG,Nott'ham Forest,eng Premier League,7,439,4.9,5,2,7,0,0,0,0,0,0,0,138,164,84.1,2,5,0,0,8,2910,1068,25,30,83.3,98,105,93.3,14,27,51.9,105,410,111,0,0,0,0,0,124,1,216,55,138,72,8,7,216,7,5,6,1,0,3,6,50,3,5,4,1,3,10,32,1,12,10,54.5,DF
