Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2601,Kenny Tete,2022-2023,26,nl NED,Fulham,eng Premier League,31,2569,28.5,29,2,1,1,5,6,1,0,0,0,1110,1530,72.5,23,75,25,18,103,17550,7197,598,691,86.5,403,563,71.6,81,165,49.1,821,4563,2401,75,55,4,22,24,946,69,1896,107,556,877,489,30,1896,83,46,41,29,13,38,51,74.5,13,48,17,31,52,135,81,1,33,29,53.2,DF
2602,Kenny Tete,2023-2024,27,nl NED,Fulham,eng Premier League,14,867,9.6,10,4,14,1,0,1,1,0,0,0,418,523,79.9,3,45,10,7,54,6413,2614,236,269,87.7,146,181,80.7,27,44,61.4,303,1400,650,20,15,2,10,3,366,38,647,40,215,278,161,11,647,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0,5,5,50,DF
2603,Kenny Tete,2024-2025,28,nl NED,Fulham,eng Premier League,22,1774,19.7,21,1,2,0,2,2,0,0,0,0,772,956,80.8,9,65,13,6,63,12358,4026,405,443,91.4,285,353,80.7,61,108,56.5,611,2851,1336,34,21,7,17,10,695,54,1205,79,402,484,329,37,1205,56,38,29,14,13,23,38,60.5,15,31,12,19,32,88,67,0,24,22,52.2,DF
2604,Jordan Teze,2024-2025,24,nl NED,Monaco,fr Ligue 1,16,569,6.3,8,8,3,1,0,1,1,0,0,0,287,363,79.1,13,28,9,3,31,4858,1860,131,149,87.9,138,170,81.2,17,29,58.6,171,797,452,9,11,2,8,3,237,41,434,15,100,215,124,15,434,18,9,8,9,1,7,16,43.8,9,12,1,11,6,24,15,0,7,8,46.7,DF
2605,Arthur Theate,2022-2023,22,be BEL,Rennes,fr Ligue 1,35,3127,34.7,35,0,1,4,0,4,4,0,0,0,2296,2568,89.4,9,216,4,0,248,46250,15551,631,684,92.3,1361,1449,93.9,266,366,72.7,2313,14175,8082,37,35,0,15,5,2163,4,2856,222,1081,1644,141,40,2856,29,19,17,8,4,17,30,56.7,13,26,14,12,30,59,114,3,70,38,64.8,DF
2606,Arthur Theate,2023-2024,23,be BEL,Rennes,fr Ligue 1,28,2296,25.5,27,1,3,2,0,2,2,0,0,0,1444,1640,88,6,129,7,4,151,28379,10833,445,479,92.9,821,880,93.3,153,237,64.6,1413,9027,5220,33,36,3,16,3,1307,24,1882,201,810,949,135,28,1882,30,17,19,6,5,24,37,64.9,13,40,23,17,31,61,90,2,41,22,65.1,DF
2607,Arthur Theate,2024-2025,24,be BEL,Eint Frankfurt,de Bundesliga,31,2704,30,31,0,0,0,0,0,0,0,0,0,1539,1863,82.6,13,184,22,5,171,28003,10918,631,679,92.9,735,845,87,149,283,52.7,1321,6297,3611,50,36,1,21,7,1431,24,2230,237,902,1134,213,33,2230,36,25,19,16,1,22,44,50,22,42,19,23,39,75,170,3,54,44,55.1,DF
2608,Norman Theuerkauf,2023-2024,36,de GER,Heidenheim,de Bundesliga,25,1259,14,14,11,8,0,1,1,0,0,0,0,462,590,78.3,13,42,7,2,46,9518,3473,167,196,85.2,211,253,83.4,75,112,67,336,2206,961,15,12,2,11,5,394,17,709,48,257,347,111,16,709,24,16,13,7,4,13,22,59.1,9,16,6,10,14,38,21,0,12,10,54.5,"MF,DF"
2609,Malick Thiaw,2022-2023,20,de GER,2 Teams,2 Comps,23,1632,18.1,18,5,14,0,0,0,0,0,0,0,1040,1179,88.2,2,57,5,0,70,21164,7186,300,341,88,613,655,93.6,123,168,73.2,808,3668,2013,7,10,0,4,4,915,2,1367,144,651,675,48,18,1367,34,27,24,10,0,12,22,54.5,10,15,8,7,21,55,89,2,62,31,66.7,DF
2610,Malick Thiaw,2023-2024,21,de GER,Milan,it Serie A,21,1619,18,19,2,3,0,1,1,0,0,0,0,1084,1184,91.6,4,62,2,0,70,20626,6291,366,389,94.1,628,664,94.6,85,115,73.9,900,4823,2501,15,6,0,7,5,983,1,1347,107,608,698,45,11,1347,34,17,15,17,2,12,25,48,13,23,13,10,13,47,55,0,37,21,63.8,DF
