Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
601,Jaume Costa,2023-2024,35,es ESP,Mallorca,es La Liga,30,1682,18.7,19,11,6,0,1,1,615,834,73.7,19,36,21,14,50,9676,4167,345,385,89.6,217,291,74.6,43,115,37.4,457,2191,1221,34,22,3,14,5,525,104,987,40,285,402,306,21,987,38,22,23,10,5,18,29,62.1,11,14,4,10,16,54,35,0,13,16,44.8,DF
602,Logan Costa,2022-2023,21,cv CPV,Toulouse,fr Ligue 1,6,415,4.6,4,2,30,0,0,0,194,230,84.3,2,15,2,0,18,3783,1708,65,74,87.8,93,103,90.3,31,44,70.5,207,1138,632,5,3,1,5,0,186,0,280,40,150,119,15,8,280,9,4,7,1,1,6,9,66.7,3,6,3,3,4,13,12,0,5,3,62.5,DF
603,Logan Costa,2023-2024,22,cv CPV,Toulouse,fr Ligue 1,31,2650,29.4,29,2,0,1,1,2,1491,1784,83.6,6,129,6,2,145,29121,12198,511,559,91.4,768,868,88.5,181,302,59.9,1455,7829,3931,19,30,2,18,3,1360,14,2059,298,932,1001,138,30,2059,40,24,31,9,0,15,24,62.5,9,42,27,15,23,63,120,1,64,37,63.4,DF
604,Logan Costa,2024-2025,23,cv CPV,2 Teams,2 Comps,33,2677,29.7,29,4,3,2,1,3,1401,1600,87.6,5,111,7,1,120,27087,10277,521,549,94.9,696,747,93.2,168,277,60.6,1074,5657,3109,26,16,0,7,1,1251,11,1854,307,999,791,72,12,1854,40,22,25,14,1,25,30,83.3,5,27,16,11,23,63,119,2,50,39,56.2,DF
605,Vladimír Coufal,2022-2023,29,cz CZE,West Ham,eng Premier League,27,2136,23.7,24,3,7,0,1,1,730,1174,62.2,26,68,19,14,82,12756,6471,347,421,82.4,279,438,63.7,83,226,36.7,578,3284,1710,53,33,2,25,21,665,109,1433,104,435,580,424,21,1433,58,31,37,15,6,36,51,70.6,15,24,6,18,38,96,70,0,40,22,64.5,DF
606,Vladimír Coufal,2023-2024,30,cz CZE,West Ham,eng Premier League,36,3132,34.8,36,0,0,0,7,7,1154,1665,69.3,33,98,38,21,119,18778,9229,596,669,89.1,448,627,71.5,84,254,33.1,885,4956,2431,68,35,4,28,13,1010,126,2025,163,728,814,501,26,2025,64,41,50,12,2,38,75,50.7,37,49,15,34,43,107,97,0,40,37,51.9,DF
607,Vladimír Coufal,2024-2025,31,cz CZE,West Ham,eng Premier League,22,1067,11.9,11,11,11,0,0,0,470,598,78.6,8,44,13,8,39,7419,2842,247,272,90.8,184,228,80.7,28,72,38.9,298,1754,888,26,10,2,12,8,400,33,736,61,262,318,159,14,736,22,15,13,7,2,10,22,45.5,12,13,11,2,8,30,39,1,23,16,59,DF
608,Soumaïla Coulibaly,2024-2025,20,fr FRA,Brest,fr Ligue 1,7,438,4.9,5,2,6,0,0,0,281,317,88.6,1,12,1,0,16,5923,1657,83,89,93.3,159,168,94.6,36,56,64.3,226,940,471,1,2,0,3,0,247,0,370,50,211,150,10,5,370,4,2,2,2,0,1,1,100,0,7,2,5,5,9,26,0,8,6,57.1,DF
609,Woyo Coulibaly,2024-2025,25,ml MLI,2 Teams,2 Comps,18,1193,13.3,13,5,9,0,1,1,562,650,86.5,8,47,4,0,44,8708,3344,302,329,91.8,222,258,86,27,42,64.3,452,2780,1558,40,17,10,23,11,475,25,782,42,240,419,130,16,782,19,14,13,4,2,7,13,53.8,6,22,3,19,13,32,26,0,9,12,42.9,DF
610,Marius Courcoul,2024-2025,17,fr FRA,Angers,fr Ligue 1,8,309,3.4,3,5,11,0,0,0,133,155,85.8,1,7,1,0,7,2427,519,48,54,88.9,68,73,93.2,12,20,60,90,462,191,5,1,0,4,0,116,7,191,10,59,100,34,1,191,5,2,3,2,0,2,5,40,3,4,0,4,5,10,9,0,4,1,80,"MF,DF"
