Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
801,Tim Drexler,2024-2025,19,de GER,Hoffenheim,de Bundesliga,8,357,4,5,3,3,0,0,0,153,180,85,1,13,2,0,16,2669,1021,76,82,92.7,61,69,88.4,14,21,66.7,128,483,208,2,2,0,3,5,143,2,223,18,91,125,11,0,223,17,7,11,6,0,9,12,75,3,6,4,2,1,18,9,1,2,12,14.3,DF
802,Domingos Duarte,2022-2023,27,pt POR,Getafe,es La Liga,31,2657,29.5,30,1,5,0,2,2,742,963,77.1,4,52,1,0,63,15659,6506,238,281,84.7,369,442,83.5,130,225,57.8,583,2704,1231,6,2,0,6,3,621,0,1246,178,677,538,35,22,1246,26,18,21,5,0,19,26,73.1,7,29,23,6,39,65,145,0,47,30,61,DF
803,Domingos Duarte,2023-2024,28,pt POR,Getafe,es La Liga,15,907,10.1,11,4,12,0,0,0,294,380,77.4,2,40,1,1,47,6753,2583,67,87,77,168,201,83.6,59,85,69.4,211,1150,728,7,1,0,5,2,236,0,453,45,173,264,20,6,453,7,4,6,0,1,5,7,71.4,2,7,5,2,8,15,27,0,14,10,58.3,DF
804,Domingos Duarte,2024-2025,29,pt POR,Getafe,es La Liga,22,1859,20.7,21,1,15,1,0,1,497,633,78.5,2,42,0,0,47,11101,3730,113,141,80.1,296,330,89.7,85,154,55.2,373,1673,626,3,2,0,2,2,394,3,878,110,454,412,22,9,878,28,15,22,4,2,17,21,81,4,28,16,12,18,46,152,1,28,18,60.9,DF
805,Rubén Duarte,2023-2024,27,es ESP,Alavés,es La Liga,28,1878,20.9,21,7,6,2,1,3,566,827,68.4,17,58,15,10,81,11070,5341,226,262,86.3,254,331,76.7,80,198,40.4,395,1913,981,16,15,2,10,4,468,39,1024,88,405,429,197,12,1024,39,20,21,16,2,21,31,67.7,10,21,6,15,23,62,69,0,27,26,50.9,DF
806,Denzel Dumfries,2022-2023,26,nl NED,Inter,it Serie A,34,2218,24.6,25,9,4,1,4,5,745,1004,74.2,32,32,32,18,59,12394,3688,358,416,86.1,313,409,76.5,56,111,50.5,674,3940,1928,62,32,23,39,20,785,172,1263,42,266,551,467,99,1263,35,18,17,13,5,22,34,64.7,12,33,9,24,12,47,26,0,41,41,50,DF
807,Denzel Dumfries,2023-2024,27,nl NED,Inter,it Serie A,31,1639,18.2,19,12,3,4,4,8,614,801,76.7,27,34,29,13,51,9956,2925,287,345,83.2,265,335,79.1,41,70,58.6,502,2532,1121,50,19,11,29,9,626,147,977,32,231,385,367,73,977,22,13,9,11,2,9,23,39.1,14,15,6,9,12,34,33,1,36,18,66.7,DF
808,Denzel Dumfries,2024-2025,28,nl NED,Inter,it Serie A,29,1955,21.7,20,9,4,7,2,9,603,831,72.6,21,22,21,9,51,9776,2992,322,377,85.4,229,332,69,45,76,59.2,534,2737,1311,55,27,15,27,14,665,173,1047,35,182,423,457,95,1047,25,18,12,9,4,14,27,51.9,13,31,8,23,6,31,26,1,57,18,76,"DF,FW"
809,Paul Dummett,2023-2024,31,wls WAL,Newcastle Utd,eng Premier League,5,20,0.2,0,5,24,0,0,0,21,23,91.3,0,2,0,0,1,320,76,10,10,100,11,12,91.7,0,1,0,12,54,33,1,0,0,0,0,20,0,26,3,7,16,3,1,26,1,0,1,0,0,1,1,100,0,0,0,0,0,1,1,0,1,0,100,DF
810,Lewis Dunk,2022-2023,30,eng ENG,Brighton,eng Premier League,36,3239,36,36,0,2,1,0,1,2911,3223,90.3,9,178,9,1,158,54839,19942,1066,1128,94.5,1525,1600,95.3,279,428,65.2,2294,11410,6327,19,21,0,13,5,2586,5,3461,428,1665,1712,97,34,3461,30,19,19,9,2,18,41,43.9,23,37,27,10,34,64,81,1,68,47,59.1,DF
811,Lewis Dunk,2023-2024,31,eng ENG,Brighton,eng Premier League,33,2869,31.9,33,0,0,3,1,4,2977,3233,92.1,13,204,8,1,152,50791,19478,1343,1382,97.2,1340,1417,94.6,216,340,63.5,2417,10752,5605,33,18,2,9,2,2681,13,3481,554,1811,1542,145,51,3481,27,14,17,9,1,13,36,36.1,23,49,37,12,31,58,90,1,57,32,64,DF
812,Lewis Dunk,2024-2025,32,eng ENG,Brighton,eng Premier League,25,2083,23.1,23,2,2,0,0,0,1778,1953,91,6,157,6,0,142,32940,10612,668,693,96.4,954,1002,95.2,143,228,62.7,1341,6155,3345,20,19,0,9,3,1556,3,2127,258,993,1031,113,21,2127,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2,51,31,62.2,DF
813,Jean-Kevin Duverne,2022-2023,25,ht HAI,Brest,fr Ligue 1,34,2515,27.9,27,7,4,0,0,0,1059,1480,71.6,10,113,14,8,149,18165,7953,521,601,86.7,385,531,72.5,117,248,47.2,1099,7192,3960,80,71,10,39,20,979,134,1776,96,487,887,434,18,1776,72,38,44,24,4,42,73,57.5,31,33,5,28,28,100,65,1,33,22,60,DF
814,Jean-Kevin Duverne,2023-2024,26,ht HAI,Nantes,fr Ligue 1,19,1348,15,15,4,8,0,0,0,597,743,80.3,3,45,8,3,64,10059,4272,273,302,90.4,263,315,83.5,47,94,50,621,3240,1644,18,28,1,21,8,556,23,894,53,324,444,133,6,894,37,19,16,17,4,18,44,40.9,26,17,5,12,18,55,34,0,15,15,50,DF
815,Jean-Kevin Duverne,2024-2025,27,ht HAI,Nantes,fr Ligue 1,9,537,6,7,2,6,0,0,0,238,304,78.3,1,22,2,2,22,3826,1571,123,141,87.2,96,112,85.7,17,37,45.9,161,670,327,6,8,1,6,3,198,8,378,28,132,185,61,3,378,21,12,13,4,4,15,27,55.6,12,10,3,7,8,29,23,0,9,3,75,DF
816,Stefan Džodić,2024-2025,19,rs SRB,Montpellier,fr Ligue 1,7,242,2.7,2,5,6,0,0,0,158,176,89.8,0,13,0,0,10,2852,874,63,71,88.7,83,86,96.5,10,16,62.5,127,702,406,2,3,0,0,1,153,0,210,19,80,110,20,2,210,8,5,3,5,0,5,8,62.5,3,5,4,1,5,13,10,1,2,6,25,"DF,MF"
817,Adam Dźwigała,2024-2025,28,pl POL,St. Pauli,de Bundesliga,16,373,4.1,2,14,15,0,0,0,173,212,81.6,0,11,1,0,14,2935,1208,71,78,91,85,93,91.4,12,30,40,110,363,164,1,0,0,2,2,152,4,280,30,106,138,36,6,280,20,10,13,6,1,11,16,68.8,5,6,1,5,4,24,28,0,13,4,76.5,"DF,MF"
818,Festy Ebosele,2022-2023,19,ie IRL,Udinese,it Serie A,17,411,4.6,4,13,18,0,1,1,101,151,66.9,5,9,9,5,17,1691,748,52,64,81.3,39,56,69.6,9,17,52.9,129,1242,644,27,18,6,17,9,125,22,233,16,64,82,97,13,233,15,10,8,7,0,4,10,40,6,5,0,5,2,17,5,0,6,4,60,DF
819,Festy Ebosele,2023-2024,20,ie IRL,Udinese,it Serie A,31,1700,18.9,20,11,6,0,0,0,278,419,66.3,15,22,11,5,35,4631,1636,140,182,76.9,98,149,65.8,27,51,52.9,406,3692,1887,67,45,30,56,34,405,98,707,35,166,246,314,46,707,33,20,23,9,1,21,35,60,14,33,2,31,10,43,27,0,16,18,47.1,DF
820,Enzo Ebosse,2022-2023,23,cm CMR,Udinese,it Serie A,20,930,10.3,9,11,4,0,0,0,453,557,81.3,1,43,4,1,51,8801,3202,179,201,89.1,203,240,84.6,65,102,63.7,338,1593,868,11,7,1,8,3,383,20,667,51,292,306,72,0,667,15,9,11,4,0,9,13,69.2,4,27,6,21,11,26,29,0,15,14,51.7,DF
821,Tyronne Ebuehi,2022-2023,26,ng NGA,Empoli,it Serie A,26,1923,21.4,22,4,7,2,4,6,688,881,78.1,12,26,11,7,41,11680,4092,301,347,86.7,316,380,83.2,54,102,52.9,558,2977,1483,31,21,5,16,14,604,42,1089,105,452,437,210,28,1089,22,14,11,7,4,9,13,69.2,4,23,12,11,12,34,79,1,19,32,37.3,DF
822,Tyronne Ebuehi,2023-2024,27,ng NGA,Empoli,it Serie A,15,1099,12.2,11,4,7,0,1,1,426,570,74.7,11,22,9,4,37,6790,2586,233,260,89.6,152,205,74.1,29,66,43.9,345,2020,1217,34,14,6,19,4,360,35,668,44,266,258,150,20,668,14,9,9,5,0,7,11,63.6,4,9,4,5,6,20,27,1,8,18,30.8,DF
823,Tyronne Ebuehi,2024-2025,28,ng NGA,Empoli,it Serie A,4,74,0.8,0,4,5,0,0,0,33,46,71.7,0,3,1,1,4,463,189,20,27,74.1,10,13,76.9,1,1,100,20,93,45,3,0,2,3,2,19,3,59,1,5,30,24,3,59,3,2,1,2,0,1,1,100,0,1,0,1,2,5,0,0,3,2,60,"DF,MF"
824,John Egan,2023-2024,30,ie IRL,Sheffield Utd,eng Premier League,6,482,5.4,6,0,0,0,0,0,128,185,69.2,0,5,1,0,5,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,106,485,233,0,2,0,2,1,133,1,257,58,163,81,13,9,257,6,4,4,2,0,4,11,36.4,7,10,4,6,13,19,39,1,14,8,63.6,DF
825,Kingsley Ehizibue,2022-2023,27,nl NED,2 Teams,2 Comps,28,1596,17.7,17,11,3,2,0,2,427,589,72.5,8,33,13,7,42,7094,2685,199,240,82.9,172,222,77.5,42,74,56.8,415,2389,1051,30,18,7,22,11,425,72,812,52,279,296,243,31,812,47,31,28,13,6,29,45,64.4,16,22,3,19,12,59,43,1,16,17,48.5,DF
826,Kingsley Ehizibue,2023-2024,28,nl NED,Udinese,it Serie A,23,955,10.6,11,12,1,0,1,1,175,257,68.1,8,10,7,5,15,2722,928,100,119,84,57,84,67.9,11,25,44,200,1268,596,18,10,7,17,10,198,44,414,44,133,146,139,28,414,22,14,16,4,2,11,18,61.1,7,21,3,18,8,30,36,0,12,13,48,DF
827,Kingsley Ehizibue,2024-2025,29,nl NED,Udinese,it Serie A,33,2498,27.8,30,3,1,0,1,1,753,982,76.7,22,29,21,16,55,12800,4096,350,404,86.6,319,399,79.9,63,122,51.6,576,2970,1506,54,36,9,29,21,629,116,1272,81,381,520,386,35,1272,55,35,31,18,6,25,41,61,16,41,14,27,23,78,70,5,29,33,46.8,DF
828,Hjalmar Ekdal,2023-2024,24,se SWE,Burnley,eng Premier League,8,437,4.9,5,3,12,0,0,0,191,217,88,1,8,0,0,11,3404,938,66,71,93,109,120,90.8,12,17,70.6,142,885,523,5,4,0,2,1,150,1,268,36,131,124,15,3,268,4,2,2,2,0,2,4,50,2,10,5,5,6,10,21,0,4,9,30.8,DF
829,Jacques Ekomie,2024-2025,20,ga GAB,Angers,fr Ligue 1,18,697,7.7,7,11,10,0,0,0,183,260,70.4,0,10,3,0,20,2542,1089,112,129,86.8,57,79,72.2,8,26,30.8,135,751,375,13,14,0,9,12,161,24,358,18,99,128,134,7,358,22,14,9,10,3,8,12,66.7,4,16,5,11,4,26,14,0,11,13,45.8,"DF,FW"
830,Mikael Ellertsson,2022-2023,20,is ISL,Spezia,it Serie A,11,171,1.9,1,10,6,0,0,0,24,40,60,1,3,0,0,3,322,82,16,18,88.9,7,14,50,0,5,0,21,209,80,3,2,0,2,2,25,4,60,3,11,31,19,0,60,4,2,1,3,0,0,3,0,3,2,1,1,2,6,0,0,2,2,50,"MF,DF"
831,Mikael Ellertsson,2024-2025,22,is ISL,Venezia,it Serie A,36,2470,27.4,29,7,1,2,2,4,431,607,71,20,23,8,1,36,6351,2076,242,301,80.4,159,214,74.3,15,50,30,460,2324,1153,33,21,10,48,19,518,92,938,59,263,365,323,51,938,58,26,37,14,7,33,61,54.1,28,42,5,37,17,75,79,0,16,16,50,"DF,MF"
832,Aritz Elustondo,2022-2023,28,es ESP,Real Sociedad,es La Liga,25,1449,16.1,16,9,4,0,1,1,653,809,80.7,4,39,7,2,52,10994,4008,302,337,89.6,296,359,82.5,42,81,51.9,470,2264,1160,21,12,1,13,7,547,19,952,68,360,488,107,14,952,26,17,15,10,1,14,26,53.8,12,15,6,9,20,46,43,1,18,23,43.9,DF
833,Aritz Elustondo,2023-2024,29,es ESP,Real Sociedad,es La Liga,15,812,9,7,8,10,0,1,1,402,468,85.9,7,22,0,0,31,7493,2576,141,163,86.5,232,255,91,26,43,60.5,273,1407,661,4,5,1,3,3,322,2,545,47,225,282,41,14,545,11,7,5,4,2,6,14,42.9,8,12,10,2,7,18,26,0,29,13,69,DF
834,Aritz Elustondo,2024-2025,30,es ESP,Real Sociedad,es La Liga,22,1457,16.2,16,6,8,0,0,0,775,907,85.4,4,58,2,0,51,14645,4879,286,303,94.4,406,449,90.4,75,127,59.1,624,3425,1854,17,6,1,14,6,709,4,1092,100,462,581,53,12,1092,20,11,15,3,2,11,19,57.9,8,17,12,5,11,31,96,0,29,25,53.7,DF
835,Nico Elvedi,2022-2023,25,ch SUI,Gladbach,de Bundesliga,32,2826,31.4,32,0,0,3,0,3,1967,2149,91.5,5,50,1,0,83,36425,11114,704,749,94,1082,1140,94.9,157,209,75.1,1517,7687,4018,20,19,1,8,3,1748,5,2492,366,1398,1042,61,27,2492,46,24,32,12,2,27,41,65.9,14,31,16,15,35,81,149,3,71,48,59.7,DF
836,Nico Elvedi,2023-2024,26,ch SUI,Gladbach,de Bundesliga,30,2482,27.6,28,2,1,2,1,3,1500,1690,88.8,3,74,4,1,109,26281,8034,585,646,90.6,821,874,93.9,72,124,58.1,1184,6532,3837,37,19,0,7,4,1270,6,1999,289,1047,881,79,25,1999,33,18,22,10,1,18,24,75,6,40,25,15,43,76,150,2,72,46,61,DF
837,Nico Elvedi,2024-2025,27,ch SUI,Gladbach,de Bundesliga,25,2135,23.7,25,0,2,1,1,2,1400,1522,92,5,52,2,0,55,22765,6356,685,718,95.4,624,670,93.1,70,100,70,953,4744,2540,20,12,0,6,1,1152,5,1827,352,1052,730,48,17,1827,38,23,28,6,4,17,23,73.9,6,35,27,8,30,68,163,0,46,44,51.1,DF
838,Rodrigo Ely,2022-2023,28,br BRA,Almería,es La Liga,36,3155,35.1,36,0,0,0,1,1,1197,1475,81.2,6,54,3,0,52,26201,10151,292,339,86.1,705,777,90.7,192,336,57.1,964,3809,1958,6,8,1,16,2,1084,4,1857,376,1164,646,54,30,1857,30,21,26,4,0,18,25,72,7,46,33,13,31,61,203,1,79,38,67.5,DF
