Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1401,Derrick Köhn,2024-2025,25,gh GHA,Werder Bremen,de Bundesliga,27,1343,14.9,14,13,4,2,2,4,581,733,79.3,16,22,16,6,39,8631,2102,313,352,88.9,228,282,80.9,18,40,45,549,2550,1333,36,24,7,23,12,587,122,908,34,232,360,325,31,908,20,10,7,10,3,10,14,71.4,4,21,4,17,10,30,26,0,8,13,38.1,"DF,FW"
1402,Dominik Kohr,2023-2024,29,de GER,Mainz 05,de Bundesliga,31,2184,24.3,27,4,0,1,0,1,876,1159,75.6,15,87,15,5,99,16488,5668,326,390,83.6,454,540,84.1,82,181,45.3,632,2818,1235,19,10,2,22,4,811,26,1414,81,541,726,156,28,1414,65,42,36,25,4,36,57,63.2,21,27,6,21,43,108,58,0,42,41,50.6,"DF,MF"
1403,Dominik Kohr,2024-2025,30,de GER,Mainz 05,de Bundesliga,28,2295,25.5,28,0,0,2,0,2,1109,1368,81.1,11,76,13,3,101,20892,7386,421,477,88.3,531,590,90,133,238,55.9,835,3853,1745,26,20,4,20,7,998,31,1693,220,814,744,143,22,1693,62,46,34,21,7,35,55,63.6,20,43,24,19,42,104,127,0,38,34,52.8,"DF,MF"
1404,Sead Kolašinac,2022-2023,29,ba BIH,Marseille,fr Ligue 1,33,2214,24.6,26,7,0,4,1,5,1135,1333,85.1,11,93,11,2,109,17773,4570,572,628,91.1,478,549,87.1,48,84,57.1,1140,6231,3393,49,37,6,25,6,994,86,1547,67,408,831,322,48,1547,52,36,24,22,6,24,37,64.9,13,19,2,17,43,95,35,1,36,37,49.3,DF
1405,Sead Kolašinac,2023-2024,30,ba BIH,Atalanta,it Serie A,30,2178,24.2,25,5,2,1,0,1,1077,1278,84.3,8,79,7,2,94,16702,6039,583,638,91.4,433,494,87.7,41,86,47.7,749,3441,1917,32,24,5,19,9,926,30,1472,75,607,716,161,27,1472,44,32,23,19,2,30,49,61.2,19,22,9,13,21,65,47,0,34,32,51.5,DF
1406,Sead Kolašinac,2024-2025,31,ba BIH,Atalanta,it Serie A,23,1903,21.1,23,0,0,0,2,2,1115,1275,87.5,17,105,12,2,142,17226,6037,599,641,93.4,448,507,88.4,46,77,59.7,878,4210,2812,52,52,2,17,16,1001,47,1458,71,483,761,230,27,1458,41,26,21,20,0,16,30,53.3,14,16,7,9,25,66,53,1,34,26,56.7,DF
1407,Marco Komenda,2024-2025,27,hr CRO,Holstein Kiel,de Bundesliga,19,1307,14.5,17,2,6,0,0,0,592,751,78.8,9,66,9,5,53,11619,5591,209,227,92.1,309,362,85.4,71,146,48.6,440,1831,1096,13,8,1,3,0,596,16,905,109,462,390,54,11,905,26,17,12,13,1,11,15,73.3,4,23,11,12,6,32,68,0,15,31,32.6,DF
1408,Cheick Konaté,2022-2023,18,ml MLI,Clermont Foot,fr Ligue 1,9,572,6.4,6,3,7,0,0,0,228,314,72.6,2,14,3,1,21,4007,1579,96,118,81.4,107,136,78.7,20,43,46.5,252,1643,882,12,15,2,5,8,222,9,377,17,156,188,46,5,377,19,12,10,7,2,13,22,59.1,9,7,1,6,13,32,8,1,3,5,37.5,DF
1409,Cheick Konaté,2023-2024,19,ml MLI,Clermont Foot,fr Ligue 1,19,1068,11.9,12,7,2,1,1,2,319,484,65.9,16,27,13,6,37,5214,1779,162,210,77.1,125,175,71.4,24,70,34.3,412,2487,1113,22,19,8,19,13,375,86,631,34,128,310,202,20,631,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,7,12,36.8,DF
1410,Ibrahima Konaté,2022-2023,23,fr FRA,Liverpool,eng Premier League,18,1552,17.2,17,1,3,0,0,0,988,1135,87,1,56,2,0,56,17712,6925,374,413,90.6,539,588,91.7,59,109,54.1,830,3628,1871,7,7,0,12,4,918,5,1317,107,589,691,43,22,1317,38,26,25,13,0,16,27,59.3,11,12,5,7,26,64,61,4,46,14,76.7,DF
