Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1201,Martin Hongla,2022-2023,24,cm CMR,Valladolid,es La Liga,16,1306,14.5,15,1,0,0,0,0,520,634,82,2,33,4,1,50,11242,3295,147,172,85.5,265,285,93,98,151,64.9,455,2458,1302,6,7,1,14,1,463,5,745,84,333,371,46,1,745,18,13,13,5,0,11,21,52.4,10,15,12,3,8,26,46,1,7,16,30.4,"DF,MF"
1202,Martin Hongla,2023-2024,25,cm CMR,Granada,es La Liga,13,562,6.2,6,7,3,0,0,0,237,283,83.7,0,20,1,0,16,4465,1179,87,95,91.6,118,131,90.1,29,48,60.4,197,898,397,3,3,0,8,0,214,5,327,18,113,191,27,1,327,7,3,2,5,0,3,9,33.3,6,6,3,3,6,13,13,1,3,12,20,"MF,DF"
1203,Franck Honorat,2023-2024,26,fr FRA,Gladbach,de Bundesliga,32,2345,26.1,28,4,0,3,9,12,802,1207,66.4,89,37,56,28,93,13080,5175,432,520,83.1,246,365,67.4,84,211,39.8,775,4677,2675,97,60,26,26,18,881,242,1413,28,249,501,680,66,1413,25,13,13,10,2,11,20,55,9,22,3,19,9,34,35,1,17,19,47.2,"DF,FW"
1204,Mathias Honsak,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,1181,13.1,12,10,0,5,1,6,324,462,70.1,14,22,12,9,29,5737,1580,147,189,77.8,139,182,76.4,34,65,52.3,338,2014,987,37,28,9,38,12,376,58,646,39,162,288,205,33,646,15,8,10,5,0,10,23,43.5,13,19,4,15,10,25,31,0,22,21,51.2,"FW,DF"
1205,Cédric Hountondji,2022-2023,28,bj BEN,Angers,fr Ligue 1,36,3095,34.4,35,1,0,0,0,0,1251,1446,86.5,4,50,3,0,84,24457,8657,407,444,91.7,704,768,91.7,127,202,62.9,1217,6039,2978,5,9,2,8,3,1075,1,1774,235,925,814,39,23,1774,50,36,31,17,2,19,29,65.5,10,44,22,22,59,109,132,1,63,31,67,DF
1206,Cédric Hountondji,2024-2025,30,bj BEN,Angers,fr Ligue 1,3,270,3,3,0,10,0,0,0,85,100,85,0,3,0,0,1,1652,391,25,30,83.3,53,57,93,6,12,50,48,201,63,0,0,0,2,0,64,0,127,20,65,58,4,1,127,6,4,4,2,0,3,7,42.9,4,3,3,0,4,10,14,0,5,3,62.5,DF
1207,Petko Hristov,2022-2023,23,bg BUL,Spezia,it Serie A,9,365,4.1,4,5,8,0,0,0,160,207,77.3,0,11,2,1,8,2653,997,82,90,91.1,64,79,81,11,29,37.9,112,510,270,2,2,0,3,0,133,3,251,19,101,122,29,3,251,6,4,2,4,0,5,8,62.5,3,4,2,2,4,10,12,0,10,5,66.7,DF
1208,Timo Hübers,2022-2023,26,de GER,Köln,de Bundesliga,29,2559,28.4,28,1,0,3,0,3,1400,1702,82.3,2,60,4,0,84,28853,9551,334,381,87.7,908,1010,89.9,149,274,54.4,1146,5506,2832,10,7,0,10,2,1217,2,2020,272,1191,787,57,24,2020,43,28,35,8,0,24,52,46.2,28,27,13,14,58,101,153,0,94,65,59.1,DF
1209,Timo Hübers,2023-2024,27,de GER,Köln,de Bundesliga,31,2778,30.9,31,0,0,0,0,0,1473,1743,84.5,6,105,7,1,104,28520,10485,448,501,89.4,879,951,92.4,130,250,52,1203,6033,3442,19,14,1,11,7,1280,3,2143,267,1200,897,65,31,2143,68,47,51,14,3,49,80,61.3,31,54,28,26,63,131,168,1,99,49,66.9,DF
1210,Dean Huijsen,2023-2024,18,es ESP,2 Teams,it Serie A,14,522,5.8,4,10,21,2,0,2,418,478,87.4,1,16,1,0,20,7521,2538,163,180,90.6,213,231,92.2,37,50,74,325,1501,752,4,3,0,3,2,407,15,545,63,212,294,41,8,545,10,5,5,5,0,1,4,25,3,7,4,3,4,14,27,2,9,7,56.3,DF
