Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1001,Ryan Giles,2023-2024,23,eng ENG,Luton Town,eng Premier League,11,503,5.6,5,6,9,0,0,0,140,218,64.2,5,10,10,6,17,2294,949,74,85,87.1,56,85,65.9,9,39,23.1,116,517,241,9,5,2,7,1,129,30,273,20,81,74,119,4,273,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0,3,0,100,"DF,MF"
1002,Benedikt Gimber,2023-2024,26,de GER,Heidenheim,de Bundesliga,24,2021,22.5,24,0,5,1,1,2,681,846,80.5,3,14,0,0,25,14351,4173,160,192,83.3,429,476,90.1,91,156,58.3,568,3261,1456,3,1,0,13,4,588,6,1095,146,712,353,42,26,1095,40,24,25,14,1,19,35,54.3,16,27,17,10,16,56,101,1,48,41,53.9,DF
1003,Benedikt Gimber,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,2671,29.7,32,0,1,0,0,0,1058,1282,82.5,3,47,2,0,46,21955,7019,260,303,85.8,669,721,92.8,124,217,57.1,865,3784,1673,7,9,0,25,7,965,8,1643,199,939,664,59,22,1643,72,46,48,23,1,38,63,60.3,25,53,19,34,31,103,131,1,66,52,55.9,DF
1004,Matthias Ginter,2022-2023,28,de GER,Freiburg,de Bundesliga,34,3060,34,34,0,0,4,1,5,1566,1903,82.3,13,122,12,1,122,32228,12401,436,506,86.2,903,1006,89.8,216,350,61.7,1305,7344,4228,23,12,0,12,4,1412,11,2231,240,1151,994,94,46,2231,43,20,29,12,2,26,40,65,14,40,24,16,35,78,153,3,119,69,63.3,DF
1005,Matthias Ginter,2023-2024,29,de GER,Freiburg,de Bundesliga,23,1913,21.3,22,1,0,0,2,2,1039,1250,83.1,5,86,9,2,136,19708,7154,346,378,91.5,605,682,88.7,82,165,49.7,886,5290,3308,23,15,0,8,2,965,20,1458,148,563,826,77,17,1458,29,15,19,9,1,16,29,55.2,13,40,26,14,16,45,93,0,50,29,63.3,DF
1006,Matthias Ginter,2024-2025,30,de GER,Freiburg,de Bundesliga,32,2561,28.5,28,4,1,2,1,3,1256,1521,82.6,9,97,8,1,113,24307,9697,439,484,90.7,688,763,90.2,119,241,49.4,991,5064,2819,11,12,1,10,0,1205,16,1816,198,845,866,113,56,1816,30,17,15,11,4,15,28,53.6,13,35,23,12,19,49,146,5,98,61,61.6,DF
1007,Andrei Girotto,2022-2023,30,br BRA,Nantes,fr Ligue 1,36,3149,35,36,0,1,1,1,2,1445,1750,82.6,13,129,6,3,140,29344,9608,475,538,88.3,700,795,88.1,231,351,65.8,1474,7367,3598,14,13,0,11,6,1341,7,2260,303,982,1157,131,31,2260,122,73,71,45,6,74,132,56.1,58,55,24,31,73,195,176,1,78,42,65,"DF,MF"
1008,Klaus Gjasula,2023-2024,33,al ALB,Darmstadt 98,de Bundesliga,22,1363,15.1,17,5,5,0,0,0,615,746,82.4,6,58,13,3,70,12270,4995,211,237,89,308,354,87,86,128,67.2,462,2524,1196,8,8,0,7,6,560,7,921,81,379,465,78,12,921,44,22,18,25,1,17,30,56.7,13,26,14,12,19,63,42,2,34,27,55.7,"DF,MF"
1009,Ben Godfrey,2022-2023,24,eng ENG,Everton,eng Premier League,13,802,8.9,10,3,5,0,1,1,182,281,64.8,3,24,1,1,19,3067,1252,90,111,81.1,73,111,65.8,16,41,39,162,830,426,9,8,0,12,3,159,7,391,55,159,175,63,8,391,20,11,13,5,2,11,29,37.9,18,12,6,6,8,28,33,1,15,17,46.9,DF
1010,Ben Godfrey,2023-2024,25,eng ENG,Everton,eng Premier League,15,1120,12.4,13,2,23,0,0,0,336,484,69.4,3,32,6,2,43,5725,2373,147,180,81.7,157,204,77,23,62,37.1,233,1158,571,11,12,0,10,6,283,26,655,67,221,265,172,19,655,30,20,17,8,5,15,28,53.6,13,14,8,6,16,46,57,0,25,24,51,DF
